row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,blank02.mzXML Peak area,blank06.mzXML Peak area,CQ04.mzXML Peak area,A27_3.mzXML Peak area,A23_1.mzXML Peak area,P49_1.mzXML Peak area,E05_3.mzXML Peak area,blank04.mzXML Peak area,A23_2.mzXML Peak area,E09_3.mzXML Peak area,A32_2.mzXML Peak area,P51_1.mzXML Peak area,A19_1.mzXML Peak area,E13_2.mzXML Peak area,E09_1.mzXML Peak area,E17_1.mzXML Peak area,E11_2.mzXML Peak area,P38_1.mzXML Peak area,P55_2.mzXML Peak area,P38_2.mzXML Peak area,A31_3.mzXML Peak area,P53_1.mzXML Peak area,A27_1.mzXML Peak area,E12_2.mzXML Peak area,P41_1.mzXML Peak area,A28_1.mzXML Peak area,E15_1.mzXML Peak area,A25_3.mzXML Peak area,A33_1.mzXML Peak area,P54_2.mzXML Peak area,blank03.mzXML Peak area,E04_3.mzXML Peak area,P55_3.mzXML Peak area,A34_3.mzXML Peak area,A21_1.mzXML Peak area,P54_1.mzXML Peak area,A31_2.mzXML Peak area,A22_2.mzXML Peak area,P37_3.mzXML Peak area,A30_1.mzXML Peak area,A30_2.mzXML Peak area,P41_3.mzXML Peak area,A30_3.mzXML Peak area,blank05.mzXML Peak area,A21_3.mzXML Peak area,P48_2.mzXML Peak area,E04_2.mzXML Peak area,E13_1.mzXML Peak area,A28_3.mzXML Peak area,P47_3.mzXML Peak area,E12_3.mzXML Peak area,CQ01.mzXML Peak area,A33_3.mzXML Peak area,E18_3.mzXML Peak area,A25_1.mzXML Peak area,P41_2.mzXML Peak area,A27_2.mzXML Peak area,P54_3.mzXML Peak area,E12_1.mzXML Peak area,A32_1.mzXML Peak area,E17_3.mzXML Peak area,A31_1.mzXML Peak area,E09_2.mzXML Peak area,P48_3.mzXML Peak area,P53_3.mzXML Peak area,P55_1.mzXML Peak area,P48_1.mzXML Peak area,CQ03.mzXML Peak area,A32_3.mzXML Peak area,blank01.mzXML Peak area,E11_3.mzXML Peak area,P49_2.mzXML Peak area,E05_1.mzXML Peak area,E18_1.mzXML Peak area,E18_2.mzXML Peak area,CQ02.mzXML Peak area,A22_3.mzXML Peak area,P51_3.mzXML Peak area,A23_3.mzXML Peak area,P49_3.mzXML Peak area,A25_2.mzXML Peak area,P37_1.mzXML Peak area,P38_3.mzXML Peak area,P37_2.mzXML Peak area,A33_2.mzXML Peak area,A22_1.mzXML Peak area,P47_2.mzXML Peak area,A20_2.mzXML Peak area,A34_2.mzXML Peak area,P51_2.mzXML Peak area,E04_1.mzXML Peak area,A20_1.mzXML Peak area,P53_2.mzXML Peak area,A21_2.mzXML Peak area,E15_3.mzXML Peak area,A19_2.mzXML Peak area,E17_2.mzXML Peak area,E11_1.mzXML Peak area,A28_2.mzXML Peak area,E15_2.mzXML Peak area,E05_2.mzXML Peak area,A19_3.mzXML Peak area,E13_3.mzXML Peak area,P47_1.mzXML Peak area,A20_3.mzXML Peak area,A34_1.mzXML Peak area,
1469,100.02494550684787,0.70135427,,,,,,,,,,,2508.6646,1914.6401,43592.547,378814.97,634131.8,666800.56,583210.94,1848.2527,618192.0,345200.66,691565.2,630182.9,778846.25,531680.1,649377.9,461166.72,646438.75,666404.0,690918.6,646295.5,666105.1,708424.3,645476.56,693977.8,540377.94,654556.5,659815.8,660757.8,768114.1,623305.94,2355.8171,330622.4,653236.3,643675.9,603895.8,577182.94,713384.06,708367.94,673901.5,536501.2,538541.3,502522.28,559402.75,3351.7996,605835.1,638288.8,562694.75,717045.8,662248.75,570275.1,706444.25,486500.7,617922.44,597036.5,708113.0,509472.7,637333.9,565712.2,697200.94,736842.56,684339.94,671292.7,633980.75,594700.1,730207.25,711425.6,611948.44,210463.39,727167.25,3373.3184,666945.6,610853.1,578746.44,623078.4,642823.7,287277.72,737450.44,689673.6,423562.66,613118.2,654414.75,667676.06,646941.8,673993.5,642785.2,715473.25,584379.2,693378.75,660492.5,500940.66,561423.25,690035.5,629183.6,619128.9,655570.4,779879.1,695761.94,662455.0,671255.94,700354.25,562261.25,822423.44,684025.94,574145.6,725106.44,649004.9,
6276,101.0238806202422,1.6233042,,,,,,,,,,,0,0,96977.99,25955.371,34110.453,66539.41,62385.703,0,37499.395,35073.85,36984.246,66274.18,49610.152,33318.293,66378.42,2464.2544,75565.375,55583.797,51764.887,48091.47,31298.705,88004.59,51607.6,83040.74,61384.75,39987.383,75599.23,41680.176,35318.207,78354.484,0,31510.486,70272.48,54964.496,40925.277,61727.332,28652.768,60301.746,54410.72,62397.273,61053.938,70737.23,50688.895,0,63592.605,67062.695,45238.246,64359.15,45437.332,63298.2,70717.46,36630.33,35522.316,152796.08,34406.62,65882.586,52992.562,81319.82,79037.78,39054.445,116327.69,43320.805,74992.79,75420.336,96920.64,58862.875,60250.016,17244.787,44741.777,0,75898.05,59804.473,50332.293,112496.19,149660.22,27430.295,70705.34,82640.58,19226.53,90823.85,40323.926,42545.594,68937.18,43944.477,30856.432,57534.715,51374.92,39063.56,46284.508,37532.41,44058.824,40352.27,61887.92,40231.49,92984.234,63040.1,104514.58,71121.65,48554.95,65267.91,60737.715,55213.793,59862.34,66697.21,53887.176,58762.51,
6637,101.02392706612967,1.7684295,,,,,,,,,,,0,0,1106.0552,0,1526.2112,9787.138,1019.4123,0,915.2773,0,0,926.35724,910.0725,0,3700.2808,323709.25,975.973,1044.0232,2511.9248,2944.4521,0,1009.6964,927.32104,3835.3987,3365.3372,934.8057,2919.6216,1193.6063,1131.9268,2576.9539,0,0,3322.763,899.1899,960.81604,984.98834,0,1093.835,0,944.78625,1016.6321,1827.8115,0,0,0,1014.5595,948.1971,4234.765,2122.712,2607.4563,6447.5913,0,925.12244,12356.436,957.6693,3736.9077,4621.8345,5420.2544,3277.526,974.9939,16445.527,2667.7937,1858.6598,3868.1821,5046.164,3918.59,2928.7214,0,0,0,1153.0325,1157.8939,967.499,5303.2954,8896.347,925.7977,952.8425,6190.83,0,4549.3613,3987.883,964.2002,3474.1836,0,3878.5176,1698.3738,962.13763,1056.7224,947.9717,924.13727,0,1514.3253,1008.0867,0,7104.402,920.832,6962.3784,1107.2642,991.68384,3033.981,2845.0737,3549.929,1031.2747,1576.6548,1078.393,1850.0635,
4387,101.06023752497659,1.0710938,,,,,,,,,,,128776.97,115365.15,187606.6,29435.602,38565.28,68795.6,1202847.8,130186.4,57015.016,11079.353,34802.742,79087.73,76268.52,49069.03,84101.76,114028.65,45287.996,36852.6,1230305.5,53775.91,62340.34,43675.414,34624.812,39004.004,83563.68,22301.422,46812.973,37495.918,36661.492,57774.094,133717.02,54844.117,53471.473,23313.549,28279.877,102372.44,51213.836,25115.797,41871.305,47584.395,36164.594,59068.844,38247.4,119067.34,81145.31,38370.35,85066.234,66911.64,89544.125,40741.445,59279.977,62309.574,25130.703,96070.33,18420.004,30651.168,34136.223,75833.31,55712.54,39287.75,67920.08,39711.445,77067.72,1291944.0,68961.414,55207.97,42514.14,108773.96,52097.44,73139.53,84547.67,1242735.0,87985.78,37665.71,29011.566,9862.839,53535.754,30219.266,72346.01,78305.27,12451.136,59321.293,13932.987,23688.996,40469.133,33744.297,34989.53,28851.28,9497.686,16308.867,30909.398,32784.492,50848.13,62733.84,93215.97,40291.363,57301.215,34931.363,57093.21,58727.434,19058.096,46477.85,39865.28,43576.984,31572.719,11953.601,
27,101.0603227437165,0.11682971,,,,,,,,,,,1532885.0,1225439.2,2401686.5,1169447.5,1318515.4,1339902.4,83190.85,1424477.1,78014.05,1150118.6,1213654.0,1347017.1,1320502.8,1246418.4,1398825.9,2433232.2,89335.26,1358102.0,86174.99,1244192.4,1193186.5,1360105.2,1324125.2,81308.13,1408371.1,1320818.6,1358687.2,98834.55,1242103.5,88591.555,1491732.2,1188496.1,1241773.9,1211281.4,1295857.5,1516111.9,1193770.0,1290146.2,1199597.1,1296681.5,1242359.1,1252127.8,1186283.8,1383389.0,1210112.0,89709.336,1206101.0,118699.18,81428.41,77612.39,102390.375,1639543.0,1182961.8,1286660.5,1364515.2,1306865.4,88724.695,1276477.1,1385595.9,1255845.5,1316680.1,1281692.9,85332.34,91857.61,1280724.9,1339872.8,1339668.9,1758045.2,1245877.9,1542670.8,100899.65,82175.76,1419316.6,1651242.0,1261838.6,1674066.5,1205800.8,101548.52,1163806.6,1207851.5,80805.13,1332123.9,1270205.4,1404090.0,1184585.6,1329666.2,93198.59,1334443.1,1190210.4,1230609.9,1366488.8,1314682.0,1205988.1,1171029.1,93592.88,1194516.4,92941.125,1402967.9,93938.46,90615.875,1337127.8,1224761.5,105726.0,1406905.4,1171337.0,1264313.8,
7150,101.06033886886894,3.0400949,,,,,,,,,,,113683.336,88734.85,160421.34,85830.734,127692.88,128428.31,93620.195,101888.16,1190239.6,100300.22,110606.67,98805.836,111198.28,119155.76,108475.61,155015.64,1352055.9,128281.69,109516.64,101833.9,104346.445,126582.77,133085.66,1292159.4,130977.65,108493.555,130340.766,1238685.1,98999.66,1246919.9,105876.27,83428.06,115382.1,92084.31,111271.66,145371.42,106526.48,75779.125,84984.49,122889.14,115130.99,102551.54,107166.15,100544.56,88210.44,1257492.5,98895.9,1441249.2,1183763.6,1189298.2,1315645.5,135045.08,101287.484,122793.305,135951.31,112310.836,1203581.5,117301.84,115626.64,85137.93,115293.56,102591.61,1331024.4,102933.06,139451.19,106243.734,119174.81,128047.516,105461.7,110283.99,1315730.2,124909.34,116952.86,145629.66,121138.88,130705.47,101474.39,1318725.4,76053.58,109455.56,1226373.5,107405.2,96342.11,120530.81,101443.86,115865.086,1293252.0,114613.29,105066.05,111661.164,126019.95,87603.09,128308.72,103613.88,1303176.0,103334.06,1277975.6,122490.586,1263841.2,1329672.0,123321.266,101794.71,1379962.5,118401.5,109270.93,109458.71,
657,102.01361551928882,0.4829642,,,,,,,,,,,1965879.2,2230154.0,24601.957,124740.62,90715.46,116942.33,113553.86,1677755.5,110829.375,126050.81,113350.41,112629.59,91176.414,109050.39,98076.086,78321.266,108181.336,33938.336,115843.72,112289.64,1382725.1,35527.465,96460.89,112322.734,96702.06,24438.576,110318.93,124201.55,109717.62,77586.2,1805787.5,121539.766,124753.05,119096.18,95010.34,101879.26,39864.496,111495.28,118720.24,106064.24,1293028.8,117846.35,119405.43,1754364.9,124381.71,120691.53,114590.95,115348.4,116128.17,116638.3,1339713.0,88633.37,1404222.9,118540.27,1074679.2,56281.06,119734.766,124313.65,39389.824,113187.74,1329144.1,63518.594,108849.805,119002.766,69368.49,1103146.0,112193.94,69472.95,120417.58,2161633.2,115898.26,111919.38,1052968.0,98664.66,1344658.0,67115.3,25358.28,115128.945,99507.734,121176.98,108864.6,28810.523,117434.96,1221540.8,120440.49,90824.57,1285028.9,106300.89,111707.695,118889.914,1047551.9,98264.96,121789.9,1330071.0,118634.2,1320393.8,1296211.5,95849.414,110589.875,112443.93,108316.25,117371.35,117738.58,80914.04,122090.05,41163.4,
1172,102.03443323464248,0.69322556,,,,,,,,,,,1.0165747E7,8532026.0,9060642.0,1.4274952E7,1.5130941E7,1.0117489E7,1.3817189E7,9535242.0,1.433447E7,1.4631834E7,1.1874741E7,1.1905034E7,1.1393093E7,1.1085935E7,1.2416024E7,9694288.0,1.1974092E7,1.2103947E7,1.0882952E7,1.1528017E7,1.0662799E7,1.1320917E7,1.4000035E7,1.0692054E7,1.6284664E7,1.3704311E7,1.2602691E7,1.0814384E7,1.2798385E7,1.2236429E7,9830116.0,1.4583792E7,1.019639E7,1.0923239E7,1.3246022E7,1.1438496E7,1.1111528E7,1.3100372E7,1.2397425E7,1.4614009E7,1.357499E7,1.4545586E7,1.3505225E7,9220763.0,1.1916224E7,1.1377993E7,1.2521698E7,1.129409E7,1.3210041E7,1.1529266E7,1.0263425E7,1.4928966E7,1.0836148E7,1.1553159E7,1.2056383E7,1.5541074E7,1.2838567E7,1.1550728E7,1.1404505E7,1.2662841E7,1.1818057E7,1.1758792E7,1.2266866E7,1.0410687E7,1.0095708E7,1.1300324E7,1.2121641E7,1.4192089E7,1.1933527E7,1.0762705E7,1.1730101E7,9597508.0,1.4502606E7,1.1712838E7,1.2522749E7,1.4845941E7,1.2940289E7,1.1084654E7,1.4925557E7,9478212.0,1.1431665E7,1.3290247E7,1.0744823E7,1.2344317E7,1.1788164E7,1.368176E7,1.1574556E7,1.2546499E7,1.1948317E7,1.3074126E7,1.3255652E7,1.3261189E7,1.1095392E7,1.2909759E7,1.1453837E7,1.089722E7,1.2104856E7,1.2662908E7,1.3364782E7,1.1997568E7,1.3898442E7,1.011923E7,1.0696772E7,1.1880303E7,1.2785861E7,1.1985542E7,
3679,102.05320244444133,0.9007629,,,,,,,,,,,0,0,66954.07,309224.22,164754.67,284792.16,216555.11,0,236433.61,292756.3,236158.03,238216.78,319675.72,314126.75,160307.19,287124.16,279669.9,234111.38,278804.34,270017.25,236389.2,248771.27,258978.8,265731.06,244082.45,198204.08,273031.25,174623.8,338255.47,226100.12,0,365798.4,147314.55,204839.06,226447.86,329672.66,224864.9,278176.84,254109.66,221389.8,154646.1,334652.7,273876.12,0,289626.22,223009.39,222630.45,215453.9,259595.67,257584.77,209133.06,310958.47,217852.55,219662.28,143375.4,230303.92,269587.03,271792.97,241725.19,200334.05,264519.38,271374.44,276997.2,307870.3,223449.66,206073.33,242994.8,103541.43,232344.98,0,266410.03,307824.7,210664.14,234972.89,230883.4,231930.66,282731.9,294337.47,206194.3,297543.3,226230.2,272578.16,257889.05,235810.17,243550.47,199920.77,229402.94,223593.34,217205.5,278134.38,281665.6,204900.4,214024.83,176059.98,222017.42,266788.22,224640.6,149389.12,220349.2,277533.88,249629.2,220518.98,190930.92,313412.9,219802.03,262046.11,
3756,102.05541149741535,0.9056659,,,,,,,,,,,65374.16,411306.62,3534448.2,8276035.5,6340611.0,8270088.0,8667390.0,102641.5,8162136.0,8451544.0,8147866.5,8222892.0,5459479.0,8195931.0,6917638.0,6616051.5,8129056.0,5570247.5,8687676.0,8444774.0,8327923.0,7542837.0,6776987.5,8590755.0,6922901.5,6996231.5,8060174.5,9228066.0,7919228.0,8783353.0,73178.695,9161156.0,8998683.0,9221364.0,5881653.0,7126256.5,8837115.0,7203672.0,9188968.0,7473317.0,8326597.0,9550218.0,9267884.0,84138.62,8858700.0,8755639.0,8527833.0,7855603.0,8492534.0,8907198.0,8297064.0,4881384.5,8712650.0,9089012.0,6805307.5,7770275.5,8353475.0,9123924.0,7604212.0,7907459.0,9436873.0,7935452.0,7822101.5,8898292.0,8506585.0,7461697.0,7565099.0,4058091.8,9005353.0,92985.59,9188180.0,8569299.0,6264449.0,6802173.5,8729380.0,4707308.0,8926351.0,9451500.0,8439564.0,9825944.0,8667777.0,5365716.5,9361241.0,7254092.0,8505598.0,6000454.5,8422337.0,7199300.0,8038715.5,8387193.5,6243602.5,5293814.5,8534503.0,8374935.5,9615296.0,8435407.0,8456707.0,7446466.0,7763848.0,8228497.0,7415336.5,9220952.0,9067105.0,7681989.5,8595441.0,8029257.5,
