filename	ATTRIBUTE_sampleName	ATTRIBUTE_SampleType	ATTRIBUTE_injectionOrder	ATTRIBUTE_class	ATTRIBUTE_Traitement	ATTRIBUTE_InutilePourStat
A19_1.mzXML	A19_1	sample	14	sample	A	NA
A19_2.mzXML	A19_2	sample	69	sample	A	NA
A19_3.mzXML	A19_3	sample	105	sample	A	NA
A20_1.mzXML	A20_1	sample	16	sample	A	NA
A20_2.mzXML	A20_2	sample	51	sample	A	NA
A20_3.mzXML	A20_3	sample	86	sample	A	NA
A21_1.mzXML	A21_1	sample	18	sample	A	NA
A21_2.mzXML	A21_2	sample	71	sample	A	NA
A21_3.mzXML	A21_3	sample	114	sample	A	NA
A22_1.mzXML	A22_1	sample	20	sample	A	NA
A22_2.mzXML	A22_2	sample	52	sample	A	NA
A22_3.mzXML	A22_3	sample	97	sample	A	NA
A23_1.mzXML	A23_1	sample	23	sample	A	NA
A23_2.mzXML	A23_2	sample	73	sample	A	NA
A23_3.mzXML	A23_3	sample	108	sample	A	NA
A25_1.mzXML	A25_1	sample	25	sample	A	NA
A25_2.mzXML	A25_2	sample	74	sample	A	NA
A25_3.mzXML	A25_3	sample	115	sample	A	NA
A27_1.mzXML	A27_1	sample	27	sample	A	NA
A27_2.mzXML	A27_2	sample	75	sample	A	NA
A27_3.mzXML	A27_3	sample	109	sample	A	NA
A28_1.mzXML	A28_1	sample	28	sample	A	NA
A28_2.mzXML	A28_2	sample	56	sample	A	NA
A28_3.mzXML	A28_3	sample	89	sample	A	NA
A30_1.mzXML	A30_1	sample	34	sample	A	NA
A30_2.mzXML	A30_2	sample	60	sample	A	NA
A30_3.mzXML	A30_3	sample	100	sample	A	NA
A31_1.mzXML	A31_1	sample	37	sample	A	NA
A31_2.mzXML	A31_2	sample	80	sample	A	NA
A31_3.mzXML	A31_3	sample	111	sample	A	NA
A32_1.mzXML	A32_1	sample	39	sample	A	NA
A32_2.mzXML	A32_2	sample	63	sample	A	NA
A32_3.mzXML	A32_3	sample	92	sample	A	NA
A33_1.mzXML	A33_1	sample	42	sample	A	NA
A33_2.mzXML	A33_2	sample	81	sample	A	NA
A33_3.mzXML	A33_3	sample	118	sample	A	NA
A34_1.mzXML	A34_1	sample	44	sample	A	NA
A34_2.mzXML	A34_2	sample	66	sample	A	NA
A34_3.mzXML	A34_3	sample	104	sample	A	NA
blank01.mzXML	blank01	blank	5	blank	blank	inutile
blank02.mzXML	blank02	blank	6	blank	blank	inutile
blank03.mzXML	blank03	blank	7	blank	blank	inutile
blank04.mzXML	blank04	blank	9	blank	blank	inutile
blank05.mzXML	blank05	blank	13	blank	blank	inutile
blank06.mzXML	blank06	blank	122	blank	blank	inutile
blank07.mzXML	blank07	blank	123	blank	blank	inutile
CQ01.mzXML	CQ01	pool	4	pool	pool	inutile
CQ02.mzXML	CQ02	pool	3	pool	pool	inutile
CQ03.mzXML	CQ03	pool	2	pool	pool	inutile
CQ04.mzXML	CQ04	pool	1	pool	pool	inutile
E04_1.mzXML	E04_1	sample	19	sample	E	NA
E04_2.mzXML	E04_2	sample	72	sample	E	NA
E04_3.mzXML	E04_3	sample	107	sample	E	NA
E05_1.mzXML	E05_1	sample	21	sample	E	NA
E05_2.mzXML	E05_2	sample	53	sample	E	NA
E05_3.mzXML	E05_3	sample	87	sample	E	NA
E09_1.mzXML	E09_1	sample	26	sample	E	NA
E09_2.mzXML	E09_2	sample	55	sample	E	NA
E09_3.mzXML	E09_3	sample	88	sample	E	NA
E11_1.mzXML	E11_1	sample	29	sample	E	NA
E11_2.mzXML	E11_2	sample	57	sample	E	NA
E11_3.mzXML	E11_3	sample	99	sample	E	NA
E12_1.mzXML	E12_1	sample	33	sample	E	NA
E12_2.mzXML	E12_2	sample	78	sample	E	NA
E12_3.mzXML	E12_3	sample	110	sample	E	NA
E13_1.mzXML	E13_1	sample	36	sample	E	NA
E13_2.mzXML	E13_2	sample	61	sample	E	NA
E13_3.mzXML	E13_3	sample	91	sample	E	NA
E15_1.mzXML	E15_1	sample	41	sample	E	NA
E15_2.mzXML	E15_2	sample	64	sample	E	NA
E15_3.mzXML	E15_3	sample	102	sample	E	NA
E17_1.mzXML	E17_1	sample	46	sample	E	NA
E17_2.mzXML	E17_2	sample	68	sample	E	NA
E17_3.mzXML	E17_3	sample	95	sample	E	NA
E18_1.mzXML	E18_1	sample	47	sample	E	NA
E18_2.mzXML	E18_2	sample	83	sample	E	NA
E18_3.mzXML	E18_3	sample	120	sample	E	NA
P37_1.mzXML	P37_1	sample	15	sample	P	NA
P37_2.mzXML	P37_2	sample	50	sample	P	NA
P37_3.mzXML	P37_3	sample	96	sample	P	NA
P38_1.mzXML	P38_1	sample	17	sample	P	NA
P38_2.mzXML	P38_2	sample	70	sample	P	NA
P38_3.mzXML	P38_3	sample	106	sample	P	NA
P41_1.mzXML	P41_1	sample	24	sample	P	NA
P41_2.mzXML	P41_2	sample	54	sample	P	NA
P41_3.mzXML	P41_3	sample	98	sample	P	NA
P47_1.mzXML	P47_1	sample	32	sample	P	NA
P47_2.mzXML	P47_2	sample	59	sample	P	NA
P47_3.mzXML	P47_3	sample	90	sample	P	NA
P48_1.mzXML	P48_1	sample	35	sample	P	NA
P48_2.mzXML	P48_2	sample	79	sample	P	NA
P48_3.mzXML	P48_3	sample	117	sample	P	NA
P49_1.mzXML	P49_1	sample	38	sample	P	NA
P49_2.mzXML	P49_2	sample	62	sample	P	NA
P49_3.mzXML	P49_3	sample	101	sample	P	NA
P51_1.mzXML	P51_1	sample	43	sample	P	NA
P51_2.mzXML	P51_2	sample	65	sample	P	NA
P51_3.mzXML	P51_3	sample	93	sample	P	NA
P53_1.mzXML	P53_1	sample	45	sample	P	NA
P53_2.mzXML	P53_2	sample	82	sample	P	NA
P53_3.mzXML	P53_3	sample	119	sample	P	NA
P54_1.mzXML	P54_1	sample	48	sample	P	NA
P54_2.mzXML	P54_2	sample	84	sample	P	NA
P54_3.mzXML	P54_3	sample	113	sample	P	NA
P55_1.mzXML	P55_1	sample	30	sample	P	NA
P55_2.mzXML	P55_2	sample	77	sample	P	NA
P55_3.mzXML	P55_3	sample	116	sample	P	NA
QC01.mzXML	QC01	pool	8	pool	Pool	inutile
QC02.mzXML	QC02	pool	10	pool	Pool	inutile
QC03.mzXML	QC03	pool	11	pool	Pool	inutile
QC04.mzXML	QC04	pool	12	pool	Pool	inutile
QC05.mzXML	QC05	pool	22	pool	Pool	inutile
QC06.mzXML	QC06	pool	31	pool	Pool	inutile
QC07.mzXML	QC07	pool	40	pool	Pool	inutile
QC08.mzXML	QC08	pool	49	pool	Pool	inutile
QC09.mzXML	QC09	pool	58	pool	Pool	inutile
QC10.mzXML	QC10	pool	67	pool	Pool	inutile
QC11.mzXML	QC11	pool	76	pool	Pool	inutile
QC12.mzXML	QC12	pool	85	pool	Pool	inutile
QC13.mzXML	QC13	pool	94	pool	Pool	inutile
QC14.mzXML	QC14	pool	103	pool	Pool	inutile
QC15.mzXML	QC15	pool	112	pool	Pool	inutile
QC16.mzXML	QC16	pool	121	pool	Pool	inutile
