id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
2_sirius_8	CH6O6P2	[M - H2O + H]+	CH4O5P2	Amino acids and Peptides	0.534338653087616	Small peptides	0.8819065690040588	Aminoacids	0.8074222207069397	Organic phosphonic acids	0.9380449652671814			Organic phosphonic acids	0.9380449652671814	Organic phosphonic acids and derivatives	0.9483659863471985	Organic acids and derivatives	0.995276689529419	Organic compounds; Organic acids and derivatives; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic anions; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	8
3_sirius_13	C2H6NO3P2	[M + Na]+	C2H6NO3P2	Amino acids and Peptides	0.8358712196350098	Small peptides	0.9334304928779602	Aminoacids	0.850848913192749	Azacyclic compounds	0.8482557535171509					Azacyclic compounds	0.8482557535171509	Organoheterocyclic compounds	0.9061447381973267	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organophosphorus compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	13
4_sirius_15	C3H6NO4P2	[M + Na]+	C3H6NO4P2	Amino acids and Peptides	0.501293420791626	Small peptides	0.8872990012168884	Aminoacids	0.6383023858070374	Azacyclic compounds	0.8462953567504883					Azacyclic compounds	0.8462953567504883	Organoheterocyclic compounds	0.9402745962142944	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Phosphacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	15
5_sirius_24	C6H8ClNO2	[M + K]+	C6H8ClNO2	Fatty acids	0.5999496579170227	Pseudoalkaloids	0.14595796167850494	Dipeptides	0.489994615316391	Fatty Acyls	0.6226882338523865					Fatty Acyls	0.6226882338523865	Lipids and lipid-like molecules	0.44727984070777893	Organic compounds; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Carbonyl compounds; Alkyl halides; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	24
6_sirius_30	C11H19NO4	[M - H4O2 + H]+	C11H15NO2	Alkaloids	0.4338608384132385	Peptide alkaloids	0.05477272719144821	Arylnaphthalene and aryltetralin lignans	0.03254033625125885	Benzodioxoles	0.7447293996810913					Benzodioxoles	0.7447293996810913	Organoheterocyclic compounds	0.9982044696807861	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Benzodioxoles; Organooxygen compounds; Acetals; Secondary alcohols; 1,2-aminoalcohols; Amines; Alkanolamines; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	30
7_sirius_32	C3H3N6OPS3	[M + K]+	C3H3N6OPS3	Alkaloids	0.9786312580108643	Pseudoalkaloids	0.7381321787834167	pteridine alkaloids	0.6204193234443665	Thiadiazoles	0.9667492508888245			Thiadiazoles	0.9667492508888245	Azoles	0.9969004392623901	Organoheterocyclic compounds	0.9991973042488098	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Triazoles; Organonitrogen compounds; Azoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	32
8_sirius_34	C4H8NO2P	[M + K]+	C4H8NO2P	Amino acids and Peptides	0.7262468338012695	Small peptides	0.9339030981063843	Aminoacids	0.6872975826263428	Organonitrogen compounds	0.9844951033592224					Organonitrogen compounds	0.9844951033592224	Organic nitrogen compounds	0.9999284744262695	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	34
10_sirius_38	C7H10N2O3	[M + H]+	C7H10N2O3	Amino acids and Peptides	0.8005217909812927	Small peptides	0.49821680784225464	Dipeptides	0.22158947587013245	Alpha amino acids and derivatives	0.7777299284934998	Amino acids and derivatives	0.5086032152175903	Amino acids, peptides, and analogues	0.5264929533004761	Carboxylic acids and derivatives	0.9013596177101135	Organic acids and derivatives	0.9654921293258667	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	38
11_sirius_54	CH7NO7	[M - H2O + H]+	CH5NO6	Amino acids and Peptides	0.010282326489686966	Ornithine alkaloids	0.05867873504757881	Aminoacids	0.1331072747707367	Alkanolamines	0.8524973392486572	Alkanolamines	0.8524973392486572	Amines	0.9990654587745667	Organonitrogen compounds	0.8531733751296997	Organic nitrogen compounds	0.9999998807907104	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	54
12_sirius_55	C3H8N2O6	[M + H]+	C3H8N2O6	Amino acids and Peptides	0.9032784700393677	Small peptides	0.8143410682678223	Aminoacids	0.3944673240184784	Alpha amino acids	0.5544668436050415	Amino acids and derivatives	0.3604844808578491	Amino acids, peptides, and analogues	0.38194674253463745	Carboxylic acids and derivatives	0.6374036073684692	Organic acids and derivatives	0.9214205145835876	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Alpha amino acids; Amines; Primary amines; Alkanolamines; Organic zwitterions; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	55
