ID1,ID2,EdgeType,Score,Annotation
281,296,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9738
284,320,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9739
284,346,MS1 annotation,3.000,[M+H]+ [M+K]+ dm/z=37.9558
296,302,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9820
611,613,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
611,614,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
649,651,MS1 annotation,4.500,[M+K]+ [2M+Na]+ dm/z=203.1363
649,654,MS1 annotation,4.500,[M+H]+ [2M+Na]+ dm/z=241.0921
651,652,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9741
651,654,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9559
652,654,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9818
756,793,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
756,795,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9819
793,795,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
873,878,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
873,875,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
873,878,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
873,875,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
875,878,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
1154,1158,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
1154,1158,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
1156,1158,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
1678,1681,MS1 annotation,4.500,[2M+Na]+ [M+K]+ dm/z=262.1097
1678,1683,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9739
1678,1679,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9557
1679,1683,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9818
1903,1917,MS1 annotation,5.500,[M+K]+ [2M+Na]+ dm/z=254.0505
1904,1917,MS1 annotation,5.500,[M+K]+ [2M+H]+ dm/z=232.0687
1904,1910,MS1 annotation,5.500,[M+Na]+ [2M+H]+ dm/z=248.0426
1910,1917,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9740
1910,1911,MS1 annotation,5.500,[2M+K]+ [M+Na]+ dm/z=285.9983
2068,2072,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
2068,2071,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
2114,2119,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9818
2114,2123,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9558
2116,2119,MS1 annotation,4.500,[M+Na]+ [2M+H]+ dm/z=262.0313
2116,2123,MS1 annotation,4.500,[M+K]+ [2M+H]+ dm/z=246.0574
2119,2123,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9740
2189,2193,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9739
2189,2192,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9819
