Order,File Name,Position,Inj Vol
1,Blank_1,R:A12,5
2,Blank_2,R:A12,5
3,Blank_3,R:A12,5
4,sixmix_1,R:B12,5
5,srm_1,R:C12,5
6,Pool_qc_brains_1,R:D12,1
7,Pool_qc_brains_2,R:D12,1
8,Pool_qc_brains_3,R:D12,1
9,Pool_qc_brains_4,R:D12,1
10,B5xfad_1,R:A1,5
11,B3xtg_130,G:D9,5
12,B3xtg_19,Y:B8,5
13,B3xtg_81,Y:H4,5
14,B3xtg_114,G:C4,5
15,B5xfad_24,R:C2,5
16,B5xfad_55,R:E11,5
17,B5xfad_98,B:B3,5
18,B3xtg_54,Y:E10,5
19,B5xfad_48,R:E4,5
20,Pool_qc_brains_5,R:D12,1
21,sixmix_2,R:B12,5
22,B3xtg_52,Y:E8,5
23,B3xtg_120,G:C10,5
24,B3xtg_126,G:D5,5
25,B3xtg_129,G:D8,5
26,B3xtg_91,G:A3,5
27,B3xtg_117,G:C7,5
28,B5xfad_87,B:A3,5
29,B3xtg_155,G:G1,5
30,B5xfad_49,R:E5,5
31,B3xtg_34,Y:D1,5
32,B3xtg_75,Y:G9,5
33,Pool_qc_brains_6,R:D12,1
34,srm_2,R:C12,5
35,sixmix_3,R:B12,5
36,B5xfad_61,R:F6,5
37,B3xtg_103,G:B4,5
38,B3xtg_110,G:B11,5
39,B3xtg_100,G:B1,5
40,B3xtg_14,Y:B3,5
41,B3xtg_31,Y:C9,5
42,B3xtg_86,Y:H9,5
43,B3xtg_109,G:B10,5
44,B3xtg_58,Y:F3,5
45,B3xtg_102,G:B3,5
46,Pool_qc_brains_7,R:D12,1
47,sixmix_4,R:B12,5
48,B5xfad_129,B:E1,5
49,B3xtg_115,G:C5,5
50,B5xfad_143,B:F4,5
51,B5xfad_43,R:D10,5
52,B5xfad_81,R:H4,5
53,B3xtg_156,G:G2,5
54,B3xtg_2,Y:A2,5
55,B5xfad_50,R:E6,5
56,B3xtg_42,Y:D9,5
57,B3xtg_20,Y:B9,5
58,B3xtg_45,Y:E1,5
59,Pool_qc_brains_8,R:D12,1
60,sixmix_5,R:B12,5
61,B5xfad_9,R:A9,5
62,B5xfad_3,R:A3,5
63,B5xfad_74,R:G8,5
64,B5xfad_69,R:G3,5
65,B5xfad_4,R:A4,5
66,B5xfad_5,R:A5,5
67,B5xfad_82,R:H5,5
68,B3xtg_127,G:D6,5
69,B5xfad_108,B:C2,5
70,B3xtg_87,Y:H10,5
71,Pool_qc_brains_9,R:D12,1
72,srm_3,B:A12,5
73,sixmix_6,R:B12,5
74,B3xtg_154,G:F11,5
75,B3xtg_89,G:A1,5
76,B3xtg_30,Y:C8,5
77,B5xfad_68,R:G2,5
78,B5xfad_65,R:F10,5
79,B3xtg_80,Y:H3,5
80,B5xfad_120,B:D3,5
81,B3xtg_157,G:G3,5
82,B3xtg_111,G:C1,5
83,B5xfad_36,R:D3,5
84,B3xtg_71,Y:G5,5
85,Pool_qc_brains_10,R:E12,1
86,sixmix_7,R:B12,5
87,B3xtg_27,Y:C5,5
88,B3xtg_8,Y:A8,5
89,B3xtg_38,Y:D5,5
90,B5xfad_35,R:D2,5
91,B3xtg_144,G:F1,5
92,B5xfad_100,B:B5,5
93,B3xtg_17,Y:B6,5
94,B5xfad_91,B:A7,5
95,B5xfad_38,R:D5,5
96,B3xtg_95,G:A7,5
97,Pool_qc_brains_11,R:E12,1
98,sixmix_8,R:B12,5
99,B3xtg_24,Y:C2,5
100,B3xtg_25,Y:C3,5
101,B5xfad_19,R:B8,5
102,B5xfad_14,R:B3,5
103,B3xtg_1,Y:A1,5
104,B3xtg_158,G:G4,5
105,B3xtg_64,Y:F9,5
106,B3xtg_90,G:A2,5
107,B3xtg_128,G:D7,5
108,B5xfad_63,R:F8,5
109,B5xfad_45,R:E1,5
110,Pool_qc_brains_12,R:E12,1
111,srm_4,B:A12,5
112,sixmix_9,R:B12,5
113,B5xfad_115,B:C9,5
