ID,VIP,GroupContrib,mz,RT,SpectrumID,Compound_Name,EffectSize,LowerLimitCI,UpperLimitCI,Category
507,2.53,WT,204.0866,0.4557,CCMSLIB00012716137,aminoadipic acid-c2:0,-0.5796,-0.7568,-0.3231,N-Acyl Lipds
,,,,,,,,,,
3685,1.27,WT,518.3213,5.1746,CCMSLIB00003139839,LysoPC(16:0),-0.2267,-0.4782,0.0591,Lipids
4956,1.27,WT,678.4693,6.5949,CCMSLIB00003139059,PC(14:0/14:0),-0.2057,-0.3903,-0.0052,Lipids
5111,1.06,WT,834.5966,6.9797,CCMSLIB00010057443,PC(18:2/22:4),-0.2252,-0.4598,0.0387,Lipids
4042,1.64,WT,546.352,5.709,CCMSLIB00003137470,LysoPC(18:0),-0.3048,-0.5294,-0.0404,Lipids
3983,1.89,WT,303.2314,5.5584,CCMSLIB00003137704,8-HETE,-0.4407,-0.6447,-0.1782,Lipids
4092,1.39,WT,482.3234,5.6583,CCMSLIB00010089759,LysoPE(18:0),-0.2477,-0.48,0.017,Lipids
3657,1.13,WT,454.2924,5.1712,CCMSLIB00005738632,LysoPE(16:0),-0.2147,-0.452,0.0509,Lipids
,,,,,,,,,,
654,1.64,WT,220.1177,0.6126,CCMSLIB00000578020,pantothenic acid,-0.3318,-0.5539,-0.0656,B Vitamin
,,,,,,,,,,
5608,2.53,WT,585.2698,7.3678,CCMSLIB00003136956,bilirubin,-0.4489,-0.6222,-0.2338,Heme
,,,,,,,,,,
600,3.08,Mut,269.0877,0.3721,CCMSLIB00005883664,inosine,0.6261,0.3862,0.7867,Purine
383,4.57,Mut,284.0986,0.3671,CCMSLIB00005883820,guanosine,0.973,0.9127,0.9918,Purine
510,1.05,WT,285.0826,0.4539,CCMSLIB00005884131,xanthosine,-0.1967,-0.4338,0.0659,Purine
,,,,,,,,,,
223,1.79,WT,147.0763,0.2669,CCMSLIB00000479624,glutamine,-0.3168,-0.5296,-0.0666,Amino Acids
633,1.09,WT,166.0861,0.5144,CCMSLIB00005885031,phenylalanine,-0.2462,-0.4765,0.0156,Amino Acids
442,1.89,WT,182.0811,0.346,CCMSLIB00005885092,tyrosine,-0.494,-0.6859,-0.2378,Amino Acids
879,1.2,WT,188.0704,1.1105,CCMSLIB00003139125,tryptophan,-0.3093,-0.5347,-0.0428,Amino Acids
639,1.16,WT,132.1019,0.3683,CCMSLIB00000479722,norleucine,-0.2718,-0.4998,-0.0085,Amino Acids
,,,,,,,,,,
80,1.8,WT,203.223,0.2165,CCMSLIB00005884402,spermine,-0.3859,-0.6081,-0.1076,Other
81,1.06,WT,146.1651,0.2166,CCMSLIB00006680539,spermidine,-0.2568,-0.503,0.0281,Other
214,1.41,WT,132.0768,0.2621,CCMSLIB00005883809,creatine,-0.2312,-0.4592,0.0253,Other
