ID1,ID2,EdgeType,Score,Annotation
1072,1752,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0263
1930,1938,MS1 annotation,4.500,[2M+Na]+ [M+H]+ dm/z=241.0920
1930,1933,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9558
3086,3092,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
3286,3289,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
4756,4775,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
4943,4961,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
5150,5156,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
5153,5156,MS1 annotation,3.500,[M+H]+ [2M+Na]+ dm/z=229.0346
5958,5966,MS1 annotation,3.500,[2M+H]+ [M+Na]+ dm/z=327.1270
5958,5963,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9820
6759,6772,MS1 annotation,4.500,[2M+Na]+ [M+K]+ dm/z=262.1096
6759,6768,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9556
6759,6780,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9739
6768,6772,MS1 annotation,4.500,[2M+Na]+ [M+H]+ dm/z=300.0652
6768,6780,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9817
6779,6783,MS1 annotation,3.500,[2M+H]+ [M+Na]+ dm/z=139.0656
6779,6782,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9820
7464,7469,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0266
7515,7516,MS1 annotation,6.500,[M+Na]+ [2M+H]+ dm/z=248.0424
7515,7539,MS1 annotation,6.500,[M+K]+ [2M+H]+ dm/z=232.0685
7516,7518,MS1 annotation,6.000,[M+H]+ [M+Na]+ dm/z=21.9818
7516,7539,MS1 annotation,6.000,[M+K]+ [M+Na]+ dm/z=15.9739
7518,7529,MS1 annotation,6.500,[2M+Na]+ [M+H]+ dm/z=292.0060
7518,7539,MS1 annotation,6.000,[M+K]+ [M+H]+ dm/z=37.9557
