box,sample_name,sample_type,collection_timestamp,host_age,host_subject_id,sex,mouse_strain,intervention,Alias
BOX 8,MOUSE1.CAGE8.FGFB6.CC,caecal contents,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,CC3xtg_1
BOX 8,MOUSE2.CAGE8.FGFB6.CC,caecal contents,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,CC3xtg_2
BOX 6,MOUSE3.CAGE8.FGFB6.CC,caecal contents,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,CC3xtg_3
BOX 6,MOUSE4.CAGE8.FGFB6.CC,caecal contents,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,CC3xtg_4
BOX 6,MOUSE5.CAGE8.FGFB6.CC,caecal contents,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,CC3xtg_5
BOX 7,MOUSE6.CAGE4.FGF3XTG.CC,caecal contents,2020-09-17T00:00:00Z,15,CAGE 4,female,GF 3XTG,Sacrifice,CC3xtg_6
BOX 6,MOUSE7.CAGE4.FGF3XTG.CC,caecal contents,2020-09-17T00:00:00Z,15,CAGE 4,female,GF 3XTG,Sacrifice,CC3xtg_7
BOX 7,MOUSE8.CAGE4.FGF3XTG.CC,caecal contents,2020-09-17T00:00:00Z,15,CAGE 4,female,GF 3XTG,Sacrifice,CC3xtg_8
BOX 7,MOUSE9.CAGE3.FSPF3XTG.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 3,female,SPF 3XTG,Sacrifice,CC3xtg_9
BOX 6,MOUSE10.CAGE3.FSPF3XTG.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 3,female,SPF 3XTG,Sacrifice,CC3xtg_10
BOX 8,MOUSE11.CAGE6.FSPFB6.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,CC3xtg_11
BOX 6,MOUSE12.CAGE6.FSPFB6.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,CC3xtg_12
BOX 6,MOUSE13.CAGE6.FSPFB6.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,CC3xtg_13
BOX 6,MOUSE14.CAGE6.FSPFB6.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,CC3xtg_14
BOX 6,MOUSE15.CAGE7.FSPFB6.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 7,female,SPF B6,Sacrifice,CC3xtg_15
BOX 8,MOUSE16.CAGE7.FSPFB6.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 7,female,SPF B6,Sacrifice,CC3xtg_16
BOX 6,MOUSE17.CAGE1.FSPF3XTG.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 1,female,SPF 3XTG,Sacrifice,CC3xtg_17
BOX 8,MOUSE18.CAGE1.FSPF3XTG.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 1,female,SPF 3XTG,Sacrifice,CC3xtg_18
BOX 8,MOUSE19.CAGE2.FSPF3XTG.CC,caecal contents,2020-09-18T00:00:00Z,15,CAGE 2,female,SPF 3XTG,Sacrifice,CC3xtg_19
BOX 6,MOUSE20.CAGE13.FGF3XTG.CC,caecal contents,2020-10-26T00:00:00Z,15,CAGE 13,female,GF 3XTG,Sacrifice,CC3xtg_20
BOX 8,MOUSE21.CAGE13.FGF3XTG.CC,caecal contents,2020-10-26T00:00:00Z,15,CAGE 13,female,GF 3XTG,Sacrifice,CC3xtg_21
BOX 8,MOUSE22.CAGE14.FGF3XTG.CC,caecal contents,2020-10-26T00:00:00Z,15,CAGE 14,female,GF 3XTG,Sacrifice,CC3xtg_22
BOX 8,MOUSE23.CAGE14.FGF3XTG.CC,caecal contents,2020-10-26T00:00:00Z,15,CAGE 14,female,GF 3XTG,Sacrifice,CC3xtg_23
BOX 6,MOUSE24.CAGE14.FGF3XTG.CC,caecal contents,2020-10-26T00:00:00Z,15,CAGE 14,female,GF 3XTG,Sacrifice,CC3xtg_24
BOX 6,MOUSE25.CAGE15.FGF3XTG.CC,caecal contents,2020-10-26T00:00:00Z,15,CAGE 15,female,GF 3XTG,Sacrifice,CC3xtg_25
BOX 7,MOUSE26.CAGE15.FGF3XTG.CC,caecal contents,2020-10-26T00:00:00Z,15,CAGE 15,female,GF 3XTG,Sacrifice,CC3xtg_26
NA,MOUSE27.CAGE15.FGF3XTG.CC,caecal contents,2020-10-26T00:00:00Z,15,CAGE 15,female,GF 3XTG,Sacrifice,CC3xtg_27
BOX 7,MOUSE28.CAGE18.FGFB6.CC,caecal contents,2020-10-28T00:00:00Z,15,CAGE 18,female,GF B6,Sacrifice,CC3xtg_28
BOX 7,MOUSE29.CAGE18.FGFB6.CC,caecal contents,2020-10-28T00:00:00Z,15,CAGE 18,female,GF B6,Sacrifice,CC3xtg_29
BOX 7,MOUSE30.CAGE19.FGFB6.CC,caecal contents,2020-10-28T00:00:00Z,15,CAGE 19,female,GF B6,Sacrifice,CC3xtg_30
BOX 7,MOUSE31.CAGE19.FGFB6.CC,caecal contents,2020-10-28T00:00:00Z,15,CAGE 19,female,GF B6,Sacrifice,CC3xtg_31
BOX 6,MOUSE32.CAGE12.FSPF3XTG.CC,caecal contents,2020-10-28T00:00:00Z,15,CAGE 12,female,SPF 3XTG,Sacrifice,CC3xtg_32
BOX 6,MOUSE33.CAGE12.FSPF3XTG.CC,caecal contents,2020-10-28T00:00:00Z,15,CAGE 12,female,SPF 3XTG,Sacrifice,CC3xtg_33
NA,MOUSE34.CAGE16.FSPFB6.CC,caecal contents,2020-10-28T00:00:00Z,15,CAGE 16,female,SPF B6,Sacrifice,CC3xtg_34
NA,MOUSE35.CAGE16.FSPFB6.CC,caecal contents,2020-10-28T00:00:00Z,15,CAGE 16,female,SPF B6,Sacrifice,CC3xtg_35
BOX 6,MOUSE36.CAGE16.FSPFB6.CC,caecal contents,2020-10-28T00:00:00Z,15,CAGE 16,female,SPF B6,Sacrifice,CC3xtg_36
BOX 8,MOUSE37.CAGE51.FGF3XTG.CC,caecal contents,2020-11-16T00:00:00Z,7,CAGE 51,female,GF 3XTG,Sacrifice,CC3xtg_37
BOX 8,MOUSE38.CAGE51.FGF3XTG.CC,caecal contents,2020-11-16T00:00:00Z,7,CAGE 51,female,GF 3XTG,Sacrifice,CC3xtg_38
BOX 6,MOUSE39.CAGE52.FGF3XTG.CC,caecal contents,2020-11-16T00:00:00Z,7,CAGE 52,female,GF 3XTG,Sacrifice,CC3xtg_39
BOX 8,MOUSE40.CAGE52.FGF3XTG.CC,caecal contents,2020-11-16T00:00:00Z,7,CAGE 52,female,GF 3XTG,Sacrifice,CC3xtg_40
BOX 7,MOUSE41.CAGE52.FGF3XTG.CC,caecal contents,2020-11-16T00:00:00Z,7,CAGE 52,female,GF 3XTG,Sacrifice,CC3xtg_41
BOX 7,MOUSE42.CAGE52.FGF3XTG.CC,caecal contents,2020-11-16T00:00:00Z,7,CAGE 52,female,GF 3XTG,Sacrifice,CC3xtg_42
BOX 7,MOUSE43.CAGE56.FGF3XTG.CC,caecal contents,2020-11-16T00:00:00Z,7,CAGE 56,female,GF B6,Sacrifice,CC3xtg_43
BOX 6,MOUSE44.CAGE56.FGF3XTG.CC,caecal contents,2020-11-16T00:00:00Z,7,CAGE 56,female,GF B6,Sacrifice,CC3xtg_44
BOX 6,MOUSE45.CAGE56.FGF3XTG.CC,caecal contents,2020-11-18T00:00:00Z,7,CAGE 56,female,GF B6,Sacrifice,CC3xtg_45
NA,MOUSE46.CAGE56.FGF3XTG.CC,caecal contents,2020-11-18T00:00:00Z,7,CAGE 56,female,GF B6,Sacrifice,CC3xtg_46
BOX 6,MOUSE47.CAGE57.FGFB6.CC,caecal contents,2020-11-18T00:00:00Z,7,CAGE 57,female,GF B6,Sacrifice,CC3xtg_47
BOX 6,MOUSE48.CAGE57.FGFB6.CC,caecal contents,2020-11-18T00:00:00Z,7,CAGE 57,female,GF B6,Sacrifice,CC3xtg_48
BOX 6,MOUSE49.CAGE57.FGFB6.CC,caecal contents,2020-11-18T00:00:00Z,7,CAGE 57,female,GF B6,Sacrifice,CC3xtg_49
BOX 6,MOUSE50.CAGE50.FSPF3XTG.CC,caecal contents,2020-11-18T00:00:00Z,7,CAGE 50,female,SPF 3XTG,Sacrifice,CC3xtg_50
BOX 6,MOUSE51.CAGE50.FSPF3XTG.CC,caecal contents,2020-11-18T00:00:00Z,7,CAGE 50,female,SPF 3XTG,Sacrifice,CC3xtg_51
BOX 6,MOUSE52.CAGE50.FSPF3XTG.CC,caecal contents,2020-11-18T00:00:00Z,7,CAGE 50,female,SPF 3XTG,Sacrifice,CC3xtg_52
BOX 8,MOUSE53.CAGE50.FSPF3XTG.CC,caecal contents,2020-11-18T00:00:00Z,7,CAGE 50,female,SPF 3XTG,Sacrifice,CC3xtg_53
BOX 6,MOUSE54.CAGE50.FSPF3XTG.CC,caecal contents,2020-11-18T00:00:00Z,7,CAGE 50,female,SPF 3XTG,Sacrifice,CC3xtg_54
BOX 8,MOUSE55.CAGE53.FSPFB6.CC,caecal contents,2020-11-20T00:00:00Z,7,CAGE 53,female,SPF B6,Sacrifice,CC3xtg_55
BOX 8,MOUSE56.CAGE53.FSPFB6.CC,caecal contents,2020-11-20T00:00:00Z,7,CAGE 53,female,SPF B6,Sacrifice,CC3xtg_56
BOX 7,MOUSE57.CAGE53.FSPFB6.CC,caecal contents,2020-11-20T00:00:00Z,7,CAGE 53,female,SPF B6,Sacrifice,CC3xtg_57
BOX 7,MOUSE58.CAGE53.FSPFB6.CC,caecal contents,2020-11-20T00:00:00Z,7,CAGE 53,female,SPF B6,Sacrifice,CC3xtg_58
BOX 6,MOUSE59.CAGE54.FSPFB6.CC,caecal contents,2020-11-20T00:00:00Z,7,CAGE 54,female,SPF B6,Sacrifice,CC3xtg_59
BOX 8,MOUSE60.CAGE54.FSPFB6.CC,caecal contents,2020-11-20T00:00:00Z,7,CAGE 54,female,SPF B6,Sacrifice,CC3xtg_60
BOX 7,MOUSE61.CAGE54.FSPFB6.CC,caecal contents,2020-11-20T00:00:00Z,7,CAGE 54,female,SPF B6,Sacrifice,CC3xtg_61
BOX 6,MOUSE62.CAGE25.FGF3XTG.CC,caecal contents,2021-01-25T00:00:00Z,12,CAGE 25,female,GF 3XTG,Sacrifice,CC3xtg_62
NA,MOUSE63.CAGE25.FGF3XTG.CC,caecal contents,2021-01-25T00:00:00Z,12,CAGE 25,female,GF 3XTG,Sacrifice,CC3xtg_63
BOX 6,MOUSE64.CAGE25.FGF3XTG.CC,caecal contents,2021-01-25T00:00:00Z,12,CAGE 25,female,GF 3XTG,Sacrifice,CC3xtg_64
NA,MOUSE65.CAGE25.FGF3XTG.CC,caecal contents,2021-01-25T00:00:00Z,12,CAGE 25,female,GF 3XTG,Sacrifice,CC3xtg_65
BOX 6,MOUSE66.CAGE25.FGF3XTG.CC,caecal contents,2021-01-25T00:00:00Z,12,CAGE 25,female,GF 3XTG,Sacrifice,CC3xtg_66
BOX 6,MOUSE67.CAGE29.FGFB6.CC,caecal contents,2021-01-25T00:00:00Z,12,CAGE 29,female,GF B6,Sacrifice,CC3xtg_67
BOX 6,MOUSE68.CAGE29.FGFB6.CC,caecal contents,2021-01-25T00:00:00Z,12,CAGE 29,female,GF B6,Sacrifice,CC3xtg_68
BOX 6,MOUSE69.CAGE29.FGFB6.CC,caecal contents,2021-01-25T00:00:00Z,12,CAGE 29,female,GF B6,Sacrifice,CC3xtg_69
BOX 6,MOUSE70.CAGE29.FGFB6.CC,caecal contents,2021-01-25T00:00:00Z,12,CAGE 29,female,GF B6,Sacrifice,CC3xtg_70
BOX 7,MOUSE71.CAGE29.FGFB6.CC,caecal contents,2021-01-25T00:00:00Z,12,CAGE 29,female,GF B6,Sacrifice,CC3xtg_71
BOX 7,MOUSE72.CAGE20.FSPF3XTG.CC,caecal contents,2021-01-27T00:00:00Z,12,CAGE 20,female,SPF 3XTG,Sacrifice,CC3xtg_72
NA,MOUSE73.CAGE24.FGF3XTG.CC,caecal contents,2021-01-27T00:00:00Z,12,CAGE 24,female,GF 3XTG,Sacrifice,CC3xtg_73
BOX 7,MOUSE74.CAGE24.FGF3XTG.CC,caecal contents,2021-01-27T00:00:00Z,12,CAGE 24,female,GF 3XTG,Sacrifice,CC3xtg_74
BOX 7,MOUSE75.CAGE24.FGF3XTG.CC,caecal contents,2021-01-27T00:00:00Z,12,CAGE 24,female,GF 3XTG,Sacrifice,CC3xtg_75
BOX 6,MOUSE76.CAGE24.FGF3XTG.CC,caecal contents,2021-01-27T00:00:00Z,12,CAGE 24,female,GF 3XTG,Sacrifice,CC3xtg_76
BOX 6,MOUSE77.CAGE27.FSPFB6.CC,caecal contents,2021-01-27T00:00:00Z,12,CAGE 27,female,SPF B6,Sacrifice,CC3xtg_77
BOX 8,MOUSE78.CAGE27.FSPFB6.CC,caecal contents,2021-01-27T00:00:00Z,12,CAGE 27,female,SPF B6,Sacrifice,CC3xtg_78
BOX 6,MOUSE79.CAGE27.FSPFB6.CC,caecal contents,2021-01-27T00:00:00Z,12,CAGE 27,female,SPF B6,Sacrifice,CC3xtg_79
BOX 6,MOUSE80.CAGE27.FSPFB6.CC,caecal contents,2021-01-27T00:00:00Z,12,CAGE 27,female,SPF B6,Sacrifice,CC3xtg_80
BOX 7,MOUSE81.CAGE27.FSPFB6.CC,caecal contents,2021-01-27T00:00:00Z,12,CAGE 27,female,SPF B6,Sacrifice,CC3xtg_81
BOX 6,MOUSE82.CAGE28.FGFB6.CC,caecal contents,2021-01-29T00:00:00Z,12,CAGE 28,female,GF B6,Sacrifice,CC3xtg_82
BOX 6,MOUSE83.CAGE28.FGFB6.CC,caecal contents,2021-01-29T00:00:00Z,12,CAGE 28,female,GF B6,Sacrifice,CC3xtg_83
BOX 8,MOUSE84.CAGE20.FSPF3XTG.CC,caecal contents,2021-01-29T00:00:00Z,12,CAGE 20,female,SPF 3XTG,Sacrifice,CC3xtg_84
BOX 7,MOUSE85.CAGE20.FSPF3XTG.CC,caecal contents,2021-01-29T00:00:00Z,12,CAGE 20,female,SPF 3XTG,Sacrifice,CC3xtg_85
BOX 7,MOUSE86.CAGE21.FSPF3XTG.CC,caecal contents,2021-01-29T00:00:00Z,12,CAGE 21,female,SPF 3XTG,Sacrifice,CC3xtg_86
BOX 6,MOUSE87.CAGE21.FSPF3XTG.CC,caecal contents,2021-01-29T00:00:00Z,12,CAGE 21,female,SPF 3XTG,Sacrifice,CC3xtg_87
BOX 7,MOUSE88.CAGE21.FSPF3XTG.CC,caecal contents,2021-01-29T00:00:00Z,12,CAGE 21,female,SPF 3XTG,Sacrifice,CC3xtg_88
BOX 6,MOUSE89.CAGE22.FSPF3XTG.CC,caecal contents,2021-01-29T00:00:00Z,12,CAGE 22,female,SPF 3XTG,Sacrifice,CC3xtg_89
BOX 7,MOUSE90.CAGE22.FSPF3XTG.CC,caecal contents,2021-01-29T00:00:00Z,12,CAGE 22,female,SPF 3XTG,Sacrifice,CC3xtg_90
BOX 6,MOUSE91.CAGE67.MGF3XTG.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 67,male,GF 3XTG,Sacrifice,CC3xtg_91
BOX 7,MOUSE92.CAGE67.MGF3XTG.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 67,male,GF 3XTG,Sacrifice,CC3xtg_92
BOX 7,MOUSE93.CAGE71.MGFB6.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 71,male,GF B6,Sacrifice,CC3xtg_93
BOX 7,MOUSE94.CAGE71.MGFB6.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 71,male,GF B6,Sacrifice,CC3xtg_94
BOX 7,MOUSE95.CAGE71.MGFB6.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 71,male,GF B6,Sacrifice,CC3xtg_95
BOX 8,MOUSE96.CAGE71.MGFB6.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 71,male,GF B6,Sacrifice,CC3xtg_96
BOX 7,MOUSE97.CAGE72.MGFB6.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 72,male,GF B6,Sacrifice,CC3xtg_97
BOX 7,MOUSE98.CAGE72.MGFB6.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 72,male,GF B6,Sacrifice,CC3xtg_98
BOX 8,MOUSE99.CAGE72.MGFB6.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 72,male,GF B6,Sacrifice,CC3xtg_99
BOX 7,MOUSE100.CAGE72.MGFB6.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 72,male,GF B6,Sacrifice,CC3xtg_100
BOX 7,MOUSE101.CAGE72.MGFB6.CC,caecal contents,2021-02-19T00:00:00Z,7,CAGE 72,male,GF B6,Sacrifice,CC3xtg_101
BOX 7,MOUSE102.CAGE68.MSPF3XTG.CC,caecal contents,2021-02-24T00:00:00Z,7,CAGE 68,male,SPF 3XTG,Sacrifice,CC3xtg_102
BOX 7,MOUSE103.CAGE68.MSPF3XTG.CC,caecal contents,2021-02-24T00:00:00Z,7,CAGE 68,male,SPF 3XTG,Sacrifice,CC3xtg_103
BOX 7,MOUSE104.CAGE69.MSPF3XTG.CC,caecal contents,2021-02-24T00:00:00Z,7,CAGE 69,male,SPF 3XTG,Sacrifice,CC3xtg_104
BOX 7,MOUSE105.CAGE69.MSPF3XTG.CC,caecal contents,2021-02-24T00:00:00Z,7,CAGE 69,male,SPF 3XTG,Sacrifice,CC3xtg_105
BOX 7,MOUSE106.CAGE70.MSPF3XTG.CC,caecal contents,2021-02-24T00:00:00Z,7,CAGE 70,male,SPF 3XTG,Sacrifice,CC3xtg_106
BOX 7,MOUSE107.CAGE70.MSPF3XTG.CC,caecal contents,2021-02-24T00:00:00Z,7,CAGE 70,male,SPF 3XTG,Sacrifice,CC3xtg_107
BOX 7,MOUSE108.CAGE73.MSPFB6.CC,caecal contents,2021-02-24T00:00:00Z,7,CAGE 73,male,SPF B6,Sacrifice,CC3xtg_108
BOX 7,MOUSE109.CAGE73.MSPFB6.CC,caecal contents,2021-02-24T00:00:00Z,7,CAGE 73,male,SPF B6,Sacrifice,CC3xtg_109
BOX 7,MOUSE110.CAGE74.MSPFB6.CC,caecal contents,2021-02-26T00:00:00Z,7,CAGE 74,male,SPF B6,Sacrifice,CC3xtg_110
NA,MOUSE111.CAGE74.MSPFB6.CC,caecal contents,2021-02-26T00:00:00Z,7,CAGE 74,male,SPF B6,Sacrifice,CC3xtg_111
BOX 7,MOUSE112.CAGE74.MSPFB6.CC,caecal contents,2021-02-26T00:00:00Z,7,CAGE 74,male,SPF B6,Sacrifice,CC3xtg_112
BOX 7,MOUSE113.CAGE74.MSPFB6.CC,caecal contents,2021-02-26T00:00:00Z,7,CAGE 74,male,SPF B6,Sacrifice,CC3xtg_113
NA,MOUSE114.CAGE74.MSPFB6.CC,caecal contents,2021-02-26T00:00:00Z,7,CAGE 74,male,SPF B6,Sacrifice,CC3xtg_114
BOX 7,MOUSE115.CAGE62.FSPF3XTG.CC,caecal contents,2021-02-26T00:00:00Z,7,CAGE 62,female,SPF 3XTG,Sacrifice,CC3xtg_115
BOX 7,MOUSE116.CAGE62.FSPF3XTG.CC,caecal contents,2021-02-26T00:00:00Z,7,CAGE 62,female,SPF 3XTG,Sacrifice,CC3xtg_116
BOX 7,MOUSE117.CAGE62.FSPF3XTG.CC,caecal contents,2021-02-26T00:00:00Z,7,CAGE 62,female,SPF 3XTG,Sacrifice,CC3xtg_117
BOX 7,MOUSE118.CAGE43.MGF3XTG.CC,caecal contents,2021-04-12T00:00:00Z,12,CAGE 43,male,GF 3XTG,Sacrifice,CC3xtg_118
BOX 8,MOUSE119.CAGE43.MGF3XTG.CC,caecal contents,2021-04-12T00:00:00Z,12,CAGE 43,male,GF 3XTG,Sacrifice,CC3xtg_119
BOX 8,MOUSE120.CAGE44.MGF3XTG.CC,caecal contents,2021-04-12T00:00:00Z,12,CAGE 44,male,GF 3XTG,Sacrifice,CC3xtg_120
BOX 8,MOUSE121.CAGE48.MGFB6.CC,caecal contents,2021-04-12T00:00:00Z,12,CAGE 48,male,GF B6,Sacrifice,CC3xtg_121
BOX 8,MOUSE122.CAGE48.MGFB6.CC,caecal contents,2021-04-12T00:00:00Z,12,CAGE 48,male,GF B6,Sacrifice,CC3xtg_122
BOX 8,MOUSE123.CAGE49.MGFB6.CC,caecal contents,2021-04-12T00:00:00Z,12,CAGE 49,male,GF B6,Sacrifice,CC3xtg_123
BOX 8,MOUSE124.CAGE49.MGFB6.CC,caecal contents,2021-04-12T00:00:00Z,12,CAGE 49,male,GF B6,Sacrifice,CC3xtg_124
