Order,File Name,Position,Inj Vol
1,Blank_1,R:A12,2
2,Blank_2,R:A12,2
3,Blank_3,R:A12,2
4,sixmix_1,R:B12,1
5,srm_1,R:C12,2
6,Pool_qc_liver_1,R:D12,2
7,Pool_qc_liver_2,R:D12,2
8,Pool_qc_liver_3,R:D12,2
9,Pool_qc_liver_4,R:D12,2
10,CC5xfad_59,R:F4,2
11,CC5xfad_22,R:B11,2
12,CC3xtg_9,Y:A7,2
13,CC5xfad_58,R:F3,2
14,CC5xfad_91,B:A7,2
15,CC3xtg_116,G:C4,2
16,CC5xfad_93,B:A9,2
17,CC3xtg_87,Y:H8,2
18,CC3xtg_66,Y:F9,2
19,CC3xtg_155,G:F10,2
20,Pool_qc_liver_5,R:D12,2
21,sixmix_2,R:B12,1
22,CC5xfad_111,B:C5,2
23,CC5xfad_43,R:D10,2
24,CC3xtg_91,G:A1,2
25,CC5xfad_96,B:B1,2
26,CC3xtg_23,Y:B10,2
27,CC3xtg_59,Y:F2,2
28,CC5xfad_139,B:E11,2
29,CC5xfad_123,B:D6,2
30,CC5xfad_60,R:F5,2
31,CC3xtg_126,G:D3,2
32,Pool_qc_liver_6,R:D12,2
33,sixmix_3,R:B12,1
34,CC5xfad_18,R:B7,2
35,CC3xtg_30,Y:C6,2
36,CC5xfad_28,R:C6,2
37,CC3xtg_84,Y:H5,2
38,CC3xtg_47,Y:E1,2
39,CC5xfad_115,B:C9,2
40,CC3xtg_128,G:D5,2
41,CC3xtg_134,G:D11,2
42,CC5xfad_144,B:F5,2
43,CC5xfad_41,R:D8,2
44,Pool_qc_liver_7,R:D12,2
45,srm_2,R:C12,2
46,sixmix_4,R:B12,1
47,CC5xfad_47,R:E3,2
48,CC3xtg_118,G:C6,2
49,CC3xtg_2,G:G6,2
50,CC5xfad_90,B:A6,2
51,CC3xtg_121,G:C9,2
52,CC5xfad_74,R:G8,2
53,CC5xfad_17,R:B6,2
54,CC5xfad_87,B:A3,2
55,CC3xtg_10,Y:A8,2
56,CC3xtg_33,Y:C9,2
57,Pool_qc_liver_8,R:D12,2
58,sixmix_5,R:B12,1
59,CC5xfad_109,B:C3,2
60,CC5xfad_51,R:E7,2
61,CC5xfad_106,B:B11,2
62,CC3xtg_58,Y:F1,2
63,CC3xtg_78,Y:G10,2
64,CC3xtg_43,Y:D8,2
65,CC5xfad_125,B:D8,2
66,CC5xfad_101,B:B6,2
67,CC3xtg_56,Y:E10,2
68,CC5xfad_4,R:A4,2
69,Pool_qc_liver_9,R:D12,2
70,sixmix_6,R:B12,1
71,CC3xtg_24,Y:B11,2
72,CC3xtg_83,Y:H4,2
73,CC5xfad_80,R:H3,2
74,CC3xtg_105,G:B4,2
75,CC3xtg_37,Y:D2,2
