ID1,ID2,EdgeType,Score,Annotation
54,100,MS1 annotation,3.000,[M+Na]+ [2M+Mg]+2 dm/z=0.9962
2413,2459,MS1 annotation,3.500,[M+H]+ [2M+Na]+ dm/z=252.1444
3555,3602,MS1 annotation,3.000,[M+Fe]+2 [M+Ca]+2 dm/z=7.9861
4757,5027,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9818
5027,5037,MS1 annotation,4.500,[2M+Na]+ [M+H]+ dm/z=229.0346
6328,6347,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
6449,6457,MS1 annotation,3.500,[M+H]+ [2M+Na]+ dm/z=300.0651
6451,6457,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
6538,6545,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
6989,7033,MS1 annotation,6.500,[2M+Na]+ [M+H]+ dm/z=292.0060
6989,7009,MS1 annotation,6.000,[M+K]+ [M+H]+ dm/z=37.9558
6989,7014,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9818
7009,7033,MS1 annotation,6.500,[2M+Na]+ [M+K]+ dm/z=254.0503
7009,7015,MS1 annotation,6.500,[2M+H]+ [M+K]+ dm/z=232.0685
7009,7014,MS1 annotation,6.000,[M+Na]+ [M+K]+ dm/z=15.9740
7014,7015,MS1 annotation,6.500,[2M+H]+ [M+Na]+ dm/z=248.0425
7210,7212,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
7210,7212,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
7536,7537,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0265
7537,7927,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
8001,8006,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
8453,8455,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
8846,8863,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0262
8846,8876,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
8846,8863,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0262
8846,8876,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9817
9660,10229,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
9660,10229,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
10738,10746,MS1 annotation,3.000,[M+H]+ [M+K]+ dm/z=37.9559
10738,10741,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9740
10741,10746,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
13733,13734,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
13801,13803,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
13801,13808,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9820
13803,13808,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
13823,13824,MS1 annotation,6.000,[M+H]+ [M+Na]+ dm/z=21.9819
13823,13831,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
13824,13831,MS1 annotation,6.000,[M+NH4]+ [M+H]+ dm/z=17.0267
13824,13828,MS1 annotation,6.000,[M+K]+ [M+H]+ dm/z=37.9560
14223,14229,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0265
14371,14373,MS1 annotation,6.000,[M+NH4]+ [M+H]+ dm/z=17.0265
14381,14392,MS1 annotation,4.000,[2M+NH4]+ [M+Na]+ dm/z=308.1759
14382,14392,MS1 annotation,4.000,[2M+NH4]+ [M+H]+ dm/z=330.1576
14382,14397,MS1 annotation,4.500,[2M+Na]+ [M+H]+ dm/z=335.1127
15595,15596,MS1 annotation,3.500,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
16157,16162,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
16912,16990,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
16975,16990,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0265
16975,16990,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
16990,17319,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
17986,17991,MS1 annotation,4.500,[2M+Na]+ [M+H]+ dm/z=442.3053
19914,19915,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
