sample_name,anonymized_name,cohort,collection_timestamp,description,dna_extracted,elevation,empo_1,empo_2,empo_3,env_biome,env_feature,env_material,env_package,genotype,genotype_sex,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_product,host_body_site,host_common_name,host_life_stage,host_scientific_name,host_subject_id,host_taxid,keep,latitude,longitude,physical_specimen_location,physical_specimen_remaining,qiita_study_id,sample_type,scientific_name,sex,study_type,taxon_id,title,tube_id
14748.BLANK.AGMP.1.1A,,not applicable,2020-22-12,BLANK.AGMP.1.1A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.1.1A,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.1.1A
14748.BLANK.AGMP.1.1B,,not applicable,2020-22-12,BLANK.AGMP.1.1B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.1.1B,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.1.1B
14748.BLANK.AGMP.1.1C,,not applicable,2020-22-12,BLANK.AGMP.1.1C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.1.1C,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.1.1C
14748.BLANK.AGMP.1.1D,,not applicable,2020-22-12,BLANK.AGMP.1.1D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.1.1D,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.1.1D
14748.BLANK.AGMP.1.1E,,not applicable,2020-22-12,BLANK.AGMP.1.1E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.1.1E,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.1.1E
14748.BLANK.AGMP.2.2A,,not applicable,2020-22-12,BLANK.AGMP.2.2A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.2.2A,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.2.2A
14748.BLANK.AGMP.2.2B,,not applicable,2020-22-12,BLANK.AGMP.2.2B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.2.2B,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.2.2B
14748.BLANK.AGMP.2.2C,,not applicable,2020-22-12,BLANK.AGMP.2.2C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.2.2C,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.2.2C
14748.BLANK.AGMP.2.2D,,not applicable,2020-22-12,BLANK.AGMP.2.2D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.2.2D,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.2.2D
14748.BLANK.AGMP.2.2E,,not applicable,2020-22-12,BLANK.AGMP.2.2E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.2.2E,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.2.2E
14748.BLANK.AGMP.3.3A,,not applicable,2020-22-12,BLANK.AGMP.3.3A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.3.3A,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.3.3A
14748.BLANK.AGMP.3.3B,,not applicable,2020-22-12,BLANK.AGMP.3.3B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.3.3B,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.3.3B
14748.BLANK.AGMP.3.3C,,not applicable,2020-22-12,BLANK.AGMP.3.3C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.3.3C,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.3.3C
14748.BLANK.AGMP.3.3D,,not applicable,2020-22-12,BLANK.AGMP.3.3D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.3.3D,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.3.3D
14748.BLANK.AGMP.3.3E,,not applicable,2020-22-12,BLANK.AGMP.3.3E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.3.3E,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_1-3,BLANK.AGMP.3.3E
14748.BLANK.AGMP.4.4A,,not applicable,2020-22-12,BLANK.AGMP.4.4A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.4.4A,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.4.4A
14748.BLANK.AGMP.4.4B,,not applicable,2020-22-12,BLANK.AGMP.4.4B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.4.4B,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.4.4B
14748.BLANK.AGMP.4.4C,,not applicable,2020-22-12,BLANK.AGMP.4.4C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.4.4C,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.4.4C
14748.BLANK.AGMP.4.4D,BLANK.AGMP.4.4D,not applicable,2020-22-12,BLANK.AGMP.4.4D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,not applicable,not applicable_not applicable,USA:CA:San Diego,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,BLANK.AGMP.4.4D,not applicable,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,not applicable,not applicable,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.4.4D
14748.BLANK.AGMP.4.4E,,not applicable,2020-22-12,BLANK.AGMP.4.4E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.4.4E,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.4.4E
14748.BLANK.AGMP.4.4F,,not applicable,2020-22-12,BLANK.AGMP.4.4F,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.4.4F,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.4.4F
14748.BLANK.AGMP.5.5A,,not applicable,2020-22-12,BLANK.AGMP.5.5A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.5.5A,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.5.5A
14748.BLANK.AGMP.5.5B,,not applicable,2020-22-12,BLANK.AGMP.5.5B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.5.5B,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.5.5B
14748.BLANK.AGMP.5.5C,,not applicable,2020-22-12,BLANK.AGMP.5.5C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,,nan_nan,USA:CA:San Diego,,,,,,,,,BLANK.AGMP.5.5C,,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,,,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.5.5C
14748.BLANK.AGMP.5.5D,BLANK.AGMP.5.5D,not applicable,2020-22-12,BLANK.AGMP.5.5D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,not applicable,not applicable_not applicable,USA:CA:San Diego,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,BLANK.AGMP.5.5D,not applicable,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,not applicable,not applicable,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.5.5D
14748.BLANK.AGMP.5.5E,BLANK.AGMP.5.5E,not applicable,2020-22-12,BLANK.AGMP.5.5E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,not applicable,not applicable_not applicable,USA:CA:San Diego,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,BLANK.AGMP.5.5E,not applicable,FALSE,32.5,-117.25,UCSD,FALSE,14748,control blank,metagenome,not applicable,not applicable,256318,AGMP_P3_3XTG_U19_4-5,BLANK.AGMP.5.5E
