Run_Order,Sample Type,SampleID,Position
1,Blank,IS_01,R:A1
2,QC,PoolQC_01,R:A2
3,QC,QCmix_01,R:A3
4,QC,SRM1950_01,R:A4
5,Blank,IS_02,R:A1
6,Unknown,363132224,B:G10
7,Unknown,363132186,B:B7
8,Unknown,363132156,B:C3
9,Blank,BLANK_AGMP_1_1E,B:E1
10,Unknown,363132154,B:H2
11,Unknown,363132157,B:D3
12,Unknown,363132201,B:C9
13,Unknown,363132184,B:F6
14,Unknown,363132192,B:F7
15,Blank,BLANK_AGMP_1_1B,B:B1
16,Unknown,363132232,B:C11
17,Blank,BLANK_AGMP_1_1D,B:D1
18,QC,PoolQC_02,R:A2
19,Unknown,363131274,B:E12
20,Unknown,363132218,B:H10
21,Unknown,363132168,B:E4
22,Unknown,363132151,B:D2
23,Unknown,363193395,B:F1
24,Unknown,363132171,B:H6
25,Unknown,363193393,B:H1
26,Unknown,363132146,B:B2
27,Unknown,363132159,B:F3
28,Unknown,363132170,B:H5
29,Unknown,363132181,B:B6
30,Unknown,363132163,B:D4
31,QC,PoolQC_03,R:A2
32,Unknown,363132210,B:H9
33,Unknown,363132174,B:D5
34,Unknown,363132203,B:F9
35,Unknown,363132207,B:B9
36,Unknown,363132191,B:H7
37,Unknown,363132214,B:B10
38,Unknown,363132172,B:A5
39,Unknown,363132223,B:H11
40,Unknown,363132182,B:D6
41,Unknown,363132165,B:G4
42,Unknown,363132196,B:B8
43,Unknown,363132180,B:C6
44,QC,PoolQC_04,R:A2
45,Unknown,363132166,B:G5
46,Unknown,363132231,B:B11
47,Unknown,363132183,B:E6
48,Unknown,363132202,B:G9
49,Blank,BLANK_AGMP_1_1C,B:C1
50,Unknown,363132208,B:G8
51,Unknown,363193394,B:G1
52,Unknown,363132198,B:E8
53,Unknown,363132211,B:E10
54,Unknown,363132197,B:D8
55,Blank,BLANK_AGMP_1_1A,B:A1
56,Unknown,363132148,B:H3
57,QC,PoolQC_05,R:A2
58,Unknown,363132152,B:C2
59,Unknown,363132200,B:H8
60,Unknown,363132194,B:C8
61,Unknown,363132193,B:A6
62,Unknown,363132195,B:A8
63,Unknown,363132209,B:A9
64,Unknown,363132155,B:B3
65,Unknown,363131273,B:D12
66,Unknown,363132230,B:A11
67,Unknown,363132219,B:E11
68,Unknown,363132220,B:D11
69,Unknown,363132190,B:G7
70,QC,PoolQC_06,R:A2
71,Unknown,363132188,B:D7
72,Unknown,363131276,B:H12
73,Unknown,363132175,B:E5
74,Unknown,363132217,B:F10
75,Unknown,363132158,B:E3
76,Unknown,363132204,B:E9
77,Unknown,363132150,B:F2
78,Unknown,363132164,B:F4
79,Unknown,363132222,B:G11
80,Unknown,363132161,B:B4
81,Unknown,363132173,B:B5
82,Unknown,363132162,B:C4
83,QC,PoolQC_07,R:A2
84,Unknown,363132169,B:A4
85,Unknown,363132213,B:C10
86,Unknown,363132160,B:G3
87,Unknown,363131280,B:G12
88,Unknown,363132185,B:A7
89,Unknown,363132205,B:D9
90,Unknown,363132177,B:A3
91,Unknown,363132153,B:A2
92,Unknown,363132189,B:E7
93,Unknown,363132227,B:C12
94,Unknown,363132167,B:H4
95,Unknown,363132178,B:C5
96,QC,PoolQC_08,R:A2
97,Unknown,363131275,B:F12
98,Unknown,363132212,B:D10
99,Unknown,363132199,B:F8
100,Unknown,363132147,B:E2
101,Unknown,363132221,B:F11
102,Unknown,363132228,B:B12
103,Unknown,363132149,B:G2
104,Unknown,363132229,B:A12
105,Unknown,363132187,B:C7
106,Unknown,363132215,B:A10
107,Unknown,363132176,B:F5
108,Unknown,363132179,B:G6
109,Blank,IS_03,R:A1
110,QC,PoolQC_09,R:A2
111,QC,QCmix_02,R:A3
112,QC,SRM1950_02,R:A4
113,Blank,IS_04,R:A1
114,Unknown,363193402,G:H2
115,Unknown,363131291,G:G5
116,Unknown,363131335,G:G7
117,Unknown,363131282,G:C1
118,Unknown,363131296,G:H3
119,Unknown,363131277,G:G1
120,Unknown,363131292,G:E3
121,Unknown,363131339,G:D8
122,Unknown,363131355,G:D10
123,Unknown,363131350,G:H9
124,Blank,BLANK_AGMP_2_2D,G:D2
125,Unknown,363131314,G:D5
126,QC,PoolQC_10,R:A2
127,Unknown,363131342,G:A8
128,Unknown,363131337,G:F8
129,Unknown,363131313,G:C5
130,Unknown,363131347,G:E9
131,Unknown,363131333,G:G8
132,Blank,BLANK_AGMP_2_2C,G:C2
133,Unknown,363131278,G:F1
134,Unknown,363131356,G:C10
135,Unknown,363131281,G:E1
136,Unknown,363131360,G:B10
137,Unknown,363131359,G:A10
138,Unknown,363131293,G:D3
139,QC,PoolQC_11,R:A2
140,Blank,BLANK_AGMP_2_2A,G:A2
141,Unknown,363131362,G:D11
142,Unknown,363134062,G:C12
143,Unknown,363131353,G:F10
144,Unknown,363131327,G:A7
145,Unknown,363131306,G:D4
146,Unknown,363131325,G:C7
147,Unknown,363131341,G:B9
148,Unknown,363131323,G:C6
149,Unknown,363131352,G:F9
150,Unknown,363131349,G:H10
151,Unknown,363134080,G:A12
152,QC,PoolQC_12,R:A2
153,Unknown,363131305,G:C4
154,Unknown,363131357,G:B11
155,Unknown,363131330,G:D7
156,Unknown,363131303,G:B3
157,Unknown,363131320,G:E5
158,Unknown,363131307,G:E4
159,Unknown,363131344,G:C8
160,Unknown,363131311,G:A5
161,Unknown,363131361,G:G12
162,Unknown,363131363,G:F11
163,Unknown,363131367,G:E11
164,Unknown,363131324,G:B6
165,QC,PoolQC_13,R:A2
166,Unknown,363131294,G:F3
167,Unknown,363131315,G:H5
168,Unknown,363131366,G:G11
169,Unknown,363131279,G:H1
170,Unknown,363131309,G:H4
171,Unknown,363134061,G:B12
172,Unknown,363131338,G:E8
173,Unknown,363131331,G:E7
174,Unknown,363131283,G:D1
175,Unknown,363131348,G:G10
176,Unknown,363131308,G:G4
177,Unknown,363131317,G:H6
178,QC,PoolQC_14,R:A2
179,Unknown,363131301,G:A4
180,Unknown,363131332,G:H8
181,Unknown,363131312,G:F4
182,Unknown,363131319,G:F5
183,Unknown,363131354,G:E10
184,Unknown,363131288,G:B1
185,Unknown,363131364,G:H12
186,Unknown,363131336,G:F7
187,Unknown,363131321,G:F6
188,Unknown,363131368,G:C11
189,Unknown,363193391,G:G2
190,Unknown,363131334,G:H7
191,QC,PoolQC_15,R:A2
192,Unknown,363134064,G:F12
193,Unknown,363134072,G:D12
194,Unknown,363131343,G:B8
195,Unknown,363131340,G:A9
196,Unknown,363131304,G:C3
197,Unknown,363131365,G:H11
198,Blank,BLANK_AGMP_2_2B,G:B2
199,Unknown,363134063,G:E12
200,Unknown,363131326,G:B7
201,Unknown,363131302,G:A3
202,Unknown,363131358,G:A11
203,Unknown,363193392,G:F2
204,QC,PoolQC_16,R:A2
205,Blank,BLANK_AGMP_2_2E,G:E2
206,Unknown,363131287,G:A1
207,Unknown,363131328,G:A6
208,Unknown,363131345,G:C9
209,Unknown,363131298,G:G6
210,Unknown,363131322,G:E6
211,Unknown,363131329,G:D6
212,Unknown,363131295,G:G3
