ID,comp1,GroupContrib,mz,RT,Corr_ID,SpectrumID,Compound_Name,Adduct,adduct,NPC#pathway,NPC#superclass,NPC#class,EffectSize,LowerLimitCI,UpperLimitCI
541,3.570758563162338,3XTG,131.1178485278159,0.25265682,NA,CCMSLIB00012715400,candidate putrescine-c2:0 (delta mass:42.0103),M+H,[M + H]+,Alkaloids,Ornithine alkaloids,Polyamines,0.823529411764706,0.6397437588092206,0.9182317559847586
3170,3.5226373141830054,3XTG,160.0966241031473,1.1005111,NA,CCMSLIB00012715514,candidate valine-c2:0 (delta mass:42.0102),M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.7774244833068362,0.5540809552183859,0.8963637417383968
2039,3.3443058179187304,3XTG,281.1491071454321,0.6222336,NA,CCMSLIB00003137604,tyr-val,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.8108108108108107,0.6358307458106847,0.9065191328210949
823,3.2901916684951833,3XTG,230.1859320109893,0.26936987,NA,CCMSLIB00012346142,"n1,n8-diacetylspermidine",[M+H]+,[M + H]+,Alkaloids,Ornithine alkaloids,Polyamines,0.7567567567567568,0.5366131331225308,0.8804522426265643
8558,3.2099932862407163,3XTG,247.10731950076735,2.7771049,NA,CCMSLIB00006679980,n-acetyltryptophan,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.753577106518283,0.5405412981934263,0.8757988811935323
7124,3.1941822334756216,B6,195.1378484627414,2.508245,NA,CCMSLIB00010102347,"""9,10-dihydrojasmonic acid collisionenergy:102040""",M-H2O+H,[M - H2O + H]+,Fatty acids,Octadecanoids,Jasmonic acids,-0.7790143084260731,-0.9112183268716665,-0.5013133433103426
7517,3.0711800621168734,3XTG,208.09659424647376,2.5869074,NA,CCMSLIB00012716194,candidate phenylalanine-c2:0 (delta mass:42.0105),M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.7050874403815581,0.4613630976708003,0.8498607326359328
1138,2.9676876556133105,B6,294.1181016641222,0.36082774,NA,CCMSLIB00006679958,n-acetylmuramic acid,M+H,[M + H]+,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,-0.6740858505564387,-0.8238582571524746,-0.4363215321554082
184,2.9636142967047236,B6,265.1113104081771,0.22535713,NA,CCMSLIB00005884239,thiamine,M+,[M + H]+,Alkaloids,Small peptides,Aminoacids,-0.7376788553259142,-0.8749938186074221,-0.4905142439887055
1089,2.91023258898681,3XTG,229.15432580176585,0.3787219,NA,CCMSLIB00008851507,229 tmap based onhttps://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c04378,M+H,[M + H]+,Alkaloids,Ornithine alkaloids,Dipeptides,0.6438791732909379,0.3829802659443314,0.8096446087828798
