ID,VIP,GroupContrib,mz,RT,SpectrumID,Compound_Name,EffectSize,LowerLimitCI,UpperLimitCI,Category
886,2.01,B6,189.0868,0.3114,CCMSLIB00012473699,asparagine-C3:0,-0.4515,-0.6483,-0.1981,N-Acyl Lipids
373,1.19,3XTG,159.149,0.3361,CCMSLIB00012715493,cadaverine-C3:0,0.2297,-0.0458,0.4728,N-Acyl Lipids
1414,1.8,3XTG,173.1647,0.4444,CCMSLIB00012715601,cadaverine-C4:0,0.3927,0.1286,0.6047,N-Acyl Lipids
2770,1.66,3XTG,187.1802,0.9083,CCMSLIB00012471925,cadaverine-C5:0,0.3553,0.0937,0.571,N-Acyl Lipids
1654,1.01,3XTG,146.081,0.4334,CCMSLIB00012715417,glycine-C4:0,0.2305,-0.0433,0.4721,N-Acyl Lipids
351,2.48,B6,154.0973,0.2601,CCMSLIB00012715465,histamine-C2:0,-0.6057,-0.7699,-0.3663,N-Acyl Lipids
878,2.69,B6,168.1129,0.3009,CCMSLIB00012715555,histamine-C3:0,-0.6407,-0.808,-0.3778,N-Acyl Lipids
10355,1.78,B6,468.3061,3.1323,CCMSLIB00010011040,histidine-C22:5,-0.3784,-0.5991,-0.1042,N-Acyl Lipids
7530,1.12,B6,220.0998,2.5851,CCMSLIB00012471766,methionine-C4:0,-0.0811,-0.2831,0.1279,N-Acyl Lipids
2005,1.93,3XTG,158.081,0.6058,CCMSLIB00012473822,proline-C2:0,0.4754,0.1992,0.6816,N-Acyl Lipids
541,3.57,3XTG,131.1178,0.2527,CCMSLIB00012715400,putrescine-C2:0,0.8235,0.6397,0.9182,N-Acyl Lipids
1947,1.84,3XTG,173.1646,0.5822,CCMSLIB00012471923,putrescine-C5:0,0.3211,0.0444,0.5521,N-Acyl Lipids
17875,1.05,B6,444.3113,5.9302,CCMSLIB00012718319,tyrosine-C18:2,-0.2846,-0.4892,-0.0502,N-Acyl Lipids
3837,2.35,3XTG,224.0913,1.4283,CCMSLIB00012716418,tyrosine-C2:0,0.5493,0.3003,0.7282,N-Acyl Lipids
3170,3.52,3XTG,160.0966,1.1005,CCMSLIB00012715514,valine-C2:0,0.7774,0.5541,0.8964,N-Acyl Lipids
5124,1.12,3XTG,275.1384,2.0065,CCMSLIB00012471777,tryptophan-C4:0,0.1828,-0.0498,0.3966,N-Acyl Lipids
