ID1,ID2,EdgeType,Score,Annotation
715,977,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
715,977,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
1495,1497,MS1 annotation,3.500,[M+H]+ [2M+Na]+ dm/z=241.0922
1515,1576,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9564
1515,1576,MS1 annotation,3.000,[M+K]+ [2M+2H]+2 dm/z=37.9564
1576,1596,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9749
2515,2541,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9734
2515,2540,MS1 annotation,5.000,[M+NH4]+ [M+K]+ dm/z=20.9287
2518,2541,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9820
2518,2540,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0266
2518,2541,MS1 annotation,5.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
2518,2540,MS1 annotation,5.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
2863,2872,MS1 annotation,3.500,[M+Na]+ [2M+H]+ dm/z=327.1277
3190,3191,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
3216,3230,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9818
3216,3224,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9726
3218,3230,MS1 annotation,4.500,[M+H]+ [2M+Na]+ dm/z=300.0655
3218,3224,MS1 annotation,4.500,[M+K]+ [2M+Na]+ dm/z=262.1110
3224,3230,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9544
3402,3407,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
3417,3421,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9818
3417,3426,MS1 annotation,5.500,[2M+Na]+ [M+H]+ dm/z=292.0063
3421,3422,MS1 annotation,5.500,[2M+H]+ [M+Na]+ dm/z=248.0427
3447,3658,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
3535,3658,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
3535,3658,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9822
3695,3704,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
3695,3712,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
3695,3704,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
3695,3712,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
3704,3712,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
4041,4043,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9739
4041,4050,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9818
4041,4059,MS1 annotation,5.500,[2M+H]+ [M+Na]+ dm/z=262.0312
4043,4050,MS1 annotation,5.000,[M+H]+ [M+K]+ dm/z=37.9558
4097,4105,MS1 annotation,3.500,[M+Na]+ [2M+H]+ dm/z=327.1271
4940,4942,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
4940,4946,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9559
4942,4946,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9739
5064,5324,MS1 annotation,5.000,[2M+H]+ [M+NH4]+ dm/z=498.2648
5250,5334,MS1 annotation,5.000,[2M+NH4]+ [M+H]+ dm/z=532.3171
5250,5334,MS1 annotation,3.000,[M+NH4]+ [M+2H]+2 dm/z=532.3171
5324,5334,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0260
6068,6097,MS1 annotation,4.500,[M+NH4]+ [2M+H]+ dm/z=498.2645
7598,7600,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
7887,7890,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0264
7974,7978,MS1 annotation,4.000,[M+H]+ [2M+NH4]+ dm/z=330.1577
7974,7996,MS1 annotation,4.000,[M+Na]+ [2M+NH4]+ dm/z=308.1756
7975,7978,MS1 annotation,4.500,[M+H]+ [2M+Na]+ dm/z=335.1131
8216,8220,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
8880,9021,MS1 annotation,5.500,[2M+Na]+ [M+H]+ dm/z=517.3134
9812,9819,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
10533,10540,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
10533,10540,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
