sample_name,anonymized_name,cohort,collection_timestamp,description,dna_extracted,elevation,empo_1,empo_2,empo_3,env_biome,env_feature,env_material,env_package,geo_loc_name,host_age,host_age_units,host_body_habitat,host_body_mass_index,host_body_product,host_body_site,host_common_name,host_life_stage,host_scientific_name,host_subject_id,host_taxid,host_weight,host_weight_units,intervention,latitude,longitude,mouse_strain,physical_specimen_location,physical_specimen_remaining,qiita_study_id,sample_type,scientific_name,sex,strain_sex,taxon_id,title,tube_id
14957.BLANK.FAD.1.1A,1,not applicable,2020-23-4,BLANK.FAD.1.1A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.1.1A,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.1.1B,1,not applicable,2020-23-4,BLANK.FAD.1.1B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.1.1B,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.1.1C,1,not applicable,2020-23-4,BLANK.FAD.1.1C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.1.1C,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.1.1D,1,not applicable,2020-23-4,BLANK.FAD.1.1D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.1.1D,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.1.1E,1,not applicable,2020-23-4,BLANK.FAD.1.1E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.1.1E,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.1.1F,1,not applicable,2020-23-4,BLANK.FAD.1.1F,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.1.1F,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.1.1G,1,not applicable,2020-23-4,BLANK.FAD.1.1G,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.1.1G,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.1.1H,1,not applicable,2020-23-4,BLANK.FAD.1.1H,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.1.1H,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.2.2A,1,not applicable,2020-23-4,BLANK.FAD.2.2A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.2.2A,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.2.2B,1,not applicable,2020-23-4,BLANK.FAD.2.2B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.2.2B,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.2.2C,1,not applicable,2020-23-4,BLANK.FAD.2.2C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.2.2C,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.2.2D,1,not applicable,2020-23-4,BLANK.FAD.2.2D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.2.2D,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.2.2E,1,not applicable,2020-23-4,BLANK.FAD.2.2E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.2.2E,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.2.2F,1,not applicable,2020-23-4,BLANK.FAD.2.2F,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.2.2F,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.2.2G,1,not applicable,2020-23-4,BLANK.FAD.2.2G,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.2.2G,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.2.2H,1,not applicable,2020-23-4,BLANK.FAD.2.2H,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.2.2H,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.10A,1,not applicable,2020-23-4,BLANK.FAD.3.10A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.10A,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.10B,1,not applicable,2020-23-4,BLANK.FAD.3.10B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.10B,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.10C,1,not applicable,2020-23-4,BLANK.FAD.3.10C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.10C,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.10D,1,not applicable,2020-23-4,BLANK.FAD.3.10D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.10D,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.10E,1,not applicable,2020-23-4,BLANK.FAD.3.10E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.10E,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.10F,1,not applicable,2020-23-4,BLANK.FAD.3.10F,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.10F,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.10G,1,not applicable,2020-23-4,BLANK.FAD.3.10G,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.10G,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.10H,1,not applicable,2020-23-4,BLANK.FAD.3.10H,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.10H,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.11A,1,not applicable,2020-23-4,BLANK.FAD.3.11A,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.11A,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.11B,1,not applicable,2020-23-4,BLANK.FAD.3.11B,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.11B,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.11C,1,not applicable,2020-23-4,BLANK.FAD.3.11C,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.11C,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.11D,1,not applicable,2020-23-4,BLANK.FAD.3.11D,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.11D,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.11E,1,not applicable,2020-23-4,BLANK.FAD.3.11E,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.11E,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.11F,1,not applicable,2020-23-4,BLANK.FAD.3.11F,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.11F,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.11G,1,not applicable,2020-23-4,BLANK.FAD.3.11G,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.11G,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
14957.BLANK.FAD.3.11H,1,not applicable,2020-23-4,BLANK.FAD.3.11H,TRUE,193,Control,Negative,Sterile water blank,urban biome,research facility,sterile water,misc environment,USA:CA:San Diego,1,1,1,1,1,1,1,1,1,BLANK.FAD.3.11H,1,1,1,1,32.5,-117.25,1,UCSD,FALSE,14957,control blank,metagenome,1,1_1,256318,pAGMP_5XFAD_Sarkis_Mazmanian,1
