Run_Order,Sample Type,SampleID,Position,Inj Vol,Sample Wt,Sample Vol,ISTD Amt,Dil Factor
1,Blank,IS_01,R:A1,2,0,0,0,1
2,QC,PoolQC_01,R:A2,2,0,0,0,1
3,QC,QCmix_01,R:A3,2,0,0,0,1
4,QC,SRM1950_01,R:A4,2,0,0,0,1
5,Blank,IS_02,R:A1,2,0,0,0,1
6,Unknown,363134006,G:F10,2,0,0,0,1
7,Unknown,363141435,B:C4,2,0,0,0,1
8,Unknown,363132998,G:G4,2,0,0,0,1
9,Unknown,363133995,G:B9,2,0,0,0,1
10,Unknown,363141437,B:E8,2,0,0,0,1
11,Unknown,363141434,B:E9,2,0,0,0,1
12,Unknown,363132977,G:E3,2,0,0,0,1
13,Unknown,363141419,B:E10,2,0,0,0,1
14,Unknown,363141407,B:E12,2,0,0,0,1
15,Unknown,363141402,B:B8,2,0,0,0,1
16,Unknown,363141406,B:D12,2,0,0,0,1
17,Unknown,363141412,B:B12,2,0,0,0,1
18,QC,PoolQC_02,R:A2,2,0,0,0,1
19,Unknown,363132996,G:E4,2,0,0,0,1
20,Unknown,363133971,G:F6,2,0,0,0,1
21,Unknown,363133981,G:C6,2,0,0,0,1
22,Blank,BLANK_FAD_3_11C,Y:C11,2,0,0,0,1
23,Unknown,363141422,B:F10,2,0,0,0,1
24,Unknown,363141293,B:E2,2,0,0,0,1
25,Blank,BLANK_FAD_3_12H,Y:H12,2,0,0,0,1
26,Unknown,363141278,B:D3,2,0,0,0,1
27,Blank,BLANK_FAD_2_2C,G:C2,2,0,0,0,1
28,Blank,BLANK_FAD_3_7B,Y:B7,2,0,0,0,1
29,Blank,BLANK_FAD_3_7D,Y:D7,2,0,0,0,1
30,Unknown,363133979,G:C7,2,0,0,0,1
31,QC,PoolQC_03,R:A2,2,0,0,0,1
32,Unknown,363241877,Y:G5,2,0,0,0,1
33,Unknown,363134005,G:D10,2,0,0,0,1
34,Unknown,363134025,G:A12,2,0,0,0,1
