ID1,ID2,EdgeType,Score,Annotation
2225,2228,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
3270,3619,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
3619,3621,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
4581,4608,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9739
4581,4589,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9818
4589,4608,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9557
4589,4599,MS1 annotation,4.500,[2M+Na]+ [M+H]+ dm/z=300.0657
4599,4608,MS1 annotation,4.500,[M+K]+ [2M+Na]+ dm/z=262.1100
5052,5079,MS1 annotation,6.000,[M+K]+ [M+H]+ dm/z=37.9558
5052,5054,MS1 annotation,6.500,[2M+Na]+ [M+H]+ dm/z=292.0065
5052,5058,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9818
5053,5079,MS1 annotation,6.500,[M+K]+ [2M+H]+ dm/z=232.0689
5053,5058,MS1 annotation,6.500,[M+Na]+ [2M+H]+ dm/z=248.0428
5054,5079,MS1 annotation,6.500,[M+K]+ [2M+Na]+ dm/z=254.0507
5058,5079,MS1 annotation,6.000,[M+K]+ [M+Na]+ dm/z=15.9740
5189,5206,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9824
6057,6066,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
6057,6064,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9740
6064,6066,MS1 annotation,3.000,[M+H]+ [M+K]+ dm/z=37.9558
6170,6176,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9820
8169,8175,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9741
8173,8175,MS1 annotation,5.000,[M+K]+ [M+H]+ dm/z=37.9560
8173,8204,MS1 annotation,5.000,[M-H+2Na]+ [M+H]+ dm/z=43.9638
8173,8176,MS1 annotation,5.500,[2M+Na]+ [M+H]+ dm/z=332.0553
8175,8204,MS1 annotation,5.000,[M-H+2Na]+ [M+K]+ dm/z=6.0078
8175,8176,MS1 annotation,5.500,[2M+Na]+ [M+K]+ dm/z=294.0994
