box,sample_name,sample_type,collection_timestamp,host_age,host_subject_id,sex,mouse_strain,intervention,Alias
BOX 1,CAGE4.FGF3XTG.L7.1,feces,2019-12-20T00:00:00Z,7,CAGE 4,female,GF 3XTG,Longitudinal,feces_3xtg_1
BOX 1,CAGE8.FGFB6.L7.1,feces,2019-12-20T00:00:00Z,7,CAGE 8,female,GF B6,Longitudinal,feces_3xtg_2
BOX 1,CAGE13.FGF3XTG.L4.1,feces,2019-12-20T00:00:00Z,4,CAGE 13,female,GF 3XTG,Longitudinal,feces_3xtg_3
BOX 1,CAGE14.FGF3XTG.L4.1,feces,2019-12-20T00:00:00Z,4,CAGE 14,female,GF 3XTG,Longitudinal,feces_3xtg_4
BOX 1,CAGE15.FGF3XTG.L4.1,feces,2019-12-20T00:00:00Z,4,CAGE 15,female,GF 3XTG,Longitudinal,feces_3xtg_5
BOX 1,CAGE18.FGFB6.L4.1,feces,2019-12-20T00:00:00Z,4,CAGE 18,female,GF B6,Longitudinal,feces_3xtg_6
BOX 1,CAGE19.FGFB6.L4.1,feces,2019-12-20T00:00:00Z,4,CAGE 19,female,GF B6,Longitudinal,feces_3xtg_7
BOX 1,CAGE24.FGF3XTG.L1.1,feces,2020-04-06T00:00:00Z,1,CAGE 24,female,GF 3XTG,Longitudinal,feces_3xtg_8
BOX 1,CAGE24.FGF3XTG.L1.2,feces,2020-04-06T00:00:00Z,1,CAGE 24,female,GF 3XTG,Longitudinal,feces_3xtg_9
BOX 1,CAGE25.FGF3XTG.L1.1,feces,2020-04-06T00:00:00Z,1,CAGE 25,female,GF 3XTG,Longitudinal,feces_3xtg_10
BOX 1,CAGE25.FGF3XTG.L1.2,feces,2020-04-06T00:00:00Z,1,CAGE 25,female,GF 3XTG,Longitudinal,feces_3xtg_11
BOX 1,CAGE28.FGFB6.L1.1,feces,2020-04-06T00:00:00Z,1,CAGE 28,female,GF B6,Longitudinal,feces_3xtg_12
BOX 1,CAGE28.FGFB6.L1.2,feces,2020-04-06T00:00:00Z,1,CAGE 28,female,GF B6,Longitudinal,feces_3xtg_13
BOX 1,CAGE29.FGFB6.L1.1,feces,2020-04-08T00:00:00Z,1,CAGE 29,female,GF B6,Longitudinal,feces_3xtg_14
BOX 1,CAGE29.FGFB6.L1.2,feces,2020-04-08T00:00:00Z,1,CAGE 29,female,GF B6,Longitudinal,feces_3xtg_15
BOX 1,CAGE43.MGF3XTG.L1.1,feces,2020-06-02T00:00:00Z,1,CAGE 43,male,GF 3XTG,Longitudinal,feces_3xtg_16
BOX 1,CAGE43.MGF3XTG.L1.2,feces,2020-06-02T00:00:00Z,1,CAGE 43,male,GF 3XTG,Longitudinal,feces_3xtg_17
BOX 1,CAGE44.MGF3XTG.L1.1,feces,2020-06-02T00:00:00Z,1,CAGE 44,male,GF 3XTG,Longitudinal,feces_3xtg_18
BOX 1,CAGE44.MGF3XTG.L1.2,feces,2020-06-02T00:00:00Z,1,CAGE 44,male,GF 3XTG,Longitudinal,feces_3xtg_19
BOX 1,CAGE48.MGFB6.L1.1,feces,2020-06-02T00:00:00Z,1,CAGE 48,male,GF B6,Longitudinal,feces_3xtg_20
BOX 1,CAGE48.MGFB6.L1.2,feces,2020-06-02T00:00:00Z,1,CAGE 48,male,GF B6,Longitudinal,feces_3xtg_21
BOX 1,CAGE49.MGFB6.L1.1,feces,2020-06-02T00:00:00Z,1,CAGE 49,male,GF B6,Longitudinal,feces_3xtg_22
BOX 1,CAGE49.MGFB6.L1.2,feces,2020-06-02T00:00:00Z,1,CAGE 49,male,GF B6,Longitudinal,feces_3xtg_23
BOX 1,CAGE51.FGF3XTG.L1.1,feces,2020-06-02T00:00:00Z,1,CAGE 51,female,GF 3XTG,Longitudinal,feces_3xtg_24
BOX 1,CAGE51.FGF3XTG.L1.2,feces,2020-06-02T00:00:00Z,1,CAGE 51,female,GF 3XTG,Longitudinal,feces_3xtg_25
BOX 1,CAGE52.FGF3XTG.L1.1,feces,2020-06-02T00:00:00Z,1,CAGE 52,female,GF 3XTG,Longitudinal,feces_3xtg_26
BOX 1,CAGE52.FGF3XTG.L1.2,feces,2020-06-02T00:00:00Z,1,CAGE 52,female,GF 3XTG,Longitudinal,feces_3xtg_27
BOX 1,CAGE56.FGFB6.L1.1,feces,2020-06-02T00:00:00Z,1,CAGE 56,female,GF B6,Longitudinal,feces_3xtg_28
BOX 1,CAGE56.FGFB6.L1.2,feces,2020-06-02T00:00:00Z,1,CAGE 56,female,GF B6,Longitudinal,feces_3xtg_29
BOX 1,CAGE57.FGFB6.L1.1,feces,2020-06-02T00:00:00Z,1,CAGE 57,female,GF B6,Longitudinal,feces_3xtg_30
BOX 1,CAGE57.FGFB6.L1.2,feces,2020-06-02T00:00:00Z,1,CAGE 57,female,GF B6,Longitudinal,feces_3xtg_31
BOX 1,CAGE4.FGF3XTG.L15.1,feces,2020-08-18T00:00:00Z,15,CAGE 4,female,GF 3XTG,Longitudinal,feces_3xtg_32
