Order,File Name,Position,Inj Vol
1,Blank_1,R:A12,2
2,Blank_2,R:A12,2
3,Blank_3,R:A12,2
4,sixmix_1,R:B12,1
5,srm_1,R:C12,2
6,Pool_qc_feces_1,R:D12,2
7,Pool_qc_feces_2,R:D12,2
8,Pool_qc_feces_3,R:D12,2
9,Pool_qc_feces_4,R:D12,2
10,feces_5xfad_1,R:A1,2
11,feces_3xtg_153,G:F10,2
12,feces_5xfad_23,R:C1,2
13,feces_5xfad_195,G:F12,2
14,feces_3xtg_107,G:B8,2
15,feces_3xtg_57,Y:F2,2
16,feces_3xtg_166,G:H1,2
17,feces_5xfad_131,B:E3,2
18,feces_5xfad_22,R:B11,2
19,feces_5xfad_79,R:H2,2
20,Pool_qc_feces_5,R:D12,2
21,sixmix_2,R:B12,1
22,feces_5xfad_124,B:D3,2
23,feces_5xfad_104,B:B5,2
24,feces_5xfad_57,R:F2,2
25,feces_5xfad_128,B:D7,2
26,feces_5xfad_41,R:D8,2
27,feces_3xtg_42,Y:D9,2
28,feces_5xfad_163,B:G9,2
29,feces_5xfad_155,B:G1,2
30,feces_3xtg_60,Y:F5,2
31,feces_3xtg_162,G:G8,2
32,Pool_qc_feces_6,R:D12,2
33,sixmix_3,R:B12,1
34,feces_5xfad_63,R:F8,2
35,feces_3xtg_24,Y:C2,2
36,feces_3xtg_71,Y:G5,2
37,feces_5xfad_193,G:D12,2
38,feces_3xtg_135,G:E3,2
39,feces_5xfad_51,R:E7,2
40,feces_5xfad_49,R:E5,2
41,feces_3xtg_73,Y:G7,2
42,feces_5xfad_84,R:H7,2
43,feces_3xtg_37,Y:D4,2
44,Pool_qc_feces_7,R:D12,2
45,srm_2,R:C12,2
46,sixmix_4,R:B12,1
47,feces_5xfad_14,R:B3,2
48,feces_5xfad_67,R:G1,2
49,feces_3xtg_84,Y:H7,2
50,feces_3xtg_147,G:F4,2
51,feces_3xtg_123,G:D2,2
52,feces_3xtg_19,Y:B8,2
53,feces_5xfad_110,B:B11,2
54,feces_5xfad_15,R:B4,2
55,feces_3xtg_35,Y:D2,2
56,Pool_qc_feces_8,R:D12,2
57,sixmix_5,R:B12,1
58,feces_3xtg_152,G:F9,2
59,feces_3xtg_104,G:B5,2
60,feces_3xtg_63,Y:F8,2
61,feces_5xfad_146,B:F3,2
62,feces_3xtg_18,Y:B7,2
63,feces_5xfad_85,R:H8,2
64,feces_3xtg_118,G:C8,2
65,feces_5xfad_105,B:B6,2
66,feces_5xfad_129,B:E1,2
67,feces_5xfad_96,B:A8,2
68,Pool_qc_feces_9,R:D12,2
69,sixmix_6,R:B12,1
70,feces_5xfad_186,Y:D12,2
71,feces_5xfad_166,B:H1,2
72,feces_5xfad_144,B:F1,2
73,feces_5xfad_69,R:G3,2
