ID1,ID2,EdgeType,Score,Annotation
308,317,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
527,876,MS1 annotation,4.500,[2M+H]+ [M+K]+ dm/z=230.1247
560,605,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
605,873,MS1 annotation,3.000,[2M+K]+ [M+H]+ dm/z=306.0358
1225,1239,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9739
1856,1863,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
4559,4560,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
4559,4560,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
4771,4773,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9555
4771,4780,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9818
4773,4780,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9738
4773,4781,MS1 annotation,4.500,[2M+Na]+ [M+K]+ dm/z=262.1094
5422,5425,MS1 annotation,6.500,[M+K]+ [2M+H]+ dm/z=232.0690
5422,5436,MS1 annotation,6.500,[M+Na]+ [2M+H]+ dm/z=248.0429
5425,5432,MS1 annotation,6.000,[M+H]+ [M+K]+ dm/z=37.9557
5425,5433,MS1 annotation,6.500,[2M+Na]+ [M+K]+ dm/z=254.0503
5432,5436,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9818
5432,5433,MS1 annotation,6.500,[2M+Na]+ [M+H]+ dm/z=292.0061
6230,6246,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
6706,6721,MS1 annotation,3.000,[M+H]+ [M+K]+ dm/z=37.9557
6706,6714,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9739
6714,6721,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
7307,7311,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
9061,9063,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
9276,9277,MS1 annotation,4.500,[M+H]+ [2M+Na]+ dm/z=335.1129
9277,9285,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9818
9277,9282,MS1 annotation,4.000,[2M+NH4]+ [M+H]+ dm/z=330.1572
11503,11565,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9290
13891,13911,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9544
