box,sample_name,sample_type,collection_timestamp,host_age,host_subject_id,sex,mouse_strain,intervention,Alias
BOX 4,MOUSE1.CAGE8.FGFB6.Liver,liver,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,L3xtg_1
BOX 4,MOUSE2.CAGE8.FGFB6.Liver,liver,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,L3xtg_2
BOX 4,MOUSE3.CAGE8.FGFB6.Liver,liver,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,L3xtg_3
BOX 4,MOUSE4.CAGE8.FGFB6.Liver,liver,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,L3xtg_4
BOX 4,MOUSE5.CAGE8.FGFB6.Liver,liver,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,L3xtg_5
BOX 5,MOUSE6.CAGE4.FGF3XTG.Liver,liver,2020-09-17T00:00:00Z,15,CAGE 4,female,GF 3XTG,Sacrifice,L3xtg_6
BOX 5,MOUSE7.CAGE4.FGF3XTG.Liver,liver,2020-09-17T00:00:00Z,15,CAGE 4,female,GF 3XTG,Sacrifice,L3xtg_7
BOX 5,MOUSE8.CAGE4.FGF3XTG.Liver,liver,2020-09-17T00:00:00Z,15,CAGE 4,female,GF 3XTG,Sacrifice,L3xtg_8
BOX 5,MOUSE9.CAGE3.FSPF3XTG.Liver,liver,2020-09-18T00:00:00Z,15,CAGE 3,female,SPF 3XTG,Sacrifice,L3xtg_9
BOX 5,MOUSE10.CAGE3.FSPF3XTG.Liver,liver,2020-09-18T00:00:00Z,15,CAGE 3,female,SPF 3XTG,Sacrifice,L3xtg_10
BOX 5,MOUSE11.CAGE6.FSPFB6.Liver,liver,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,L3xtg_11
BOX 5,MOUSE12.CAGE6.FSPFB6.Liver,liver,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,L3xtg_12
BOX 5,MOUSE13.CAGE6.FSPFB6.Liver,liver,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,L3xtg_13
