ID1,ID2,EdgeType,Score,Annotation
128,141,MS1 annotation,3.000,[2M+2H]+2 [M+Ca]+2 dm/z=87.0314
131,144,MS1 annotation,3.000,[2M+Fe]+2 [M+H+Na]+2 dm/z=106.0046
192,197,MS1 annotation,4.000,[2M+Fe]+2 [M+H]+ dm/z=26.9606
470,806,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
470,807,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
806,807,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
1018,1029,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
1018,1024,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
1018,1029,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9822
1018,1024,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0264
1134,1326,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
1134,1386,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
1280,1498,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
1326,1386,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
1498,1520,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9818
1520,1712,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1663,1920,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1707,1708,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9817
1708,1823,MS1 annotation,3.000,[M-H+2Na]+ [M+H]+ dm/z=43.9635
1716,1732,MS1 annotation,3.500,[2M+2H]+2 [M+Na]+ dm/z=21.9821
1716,1737,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
1732,1737,MS1 annotation,3.500,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
1732,1737,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1744,2058,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
1744,2033,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9819
1920,1922,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
2033,2058,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
2033,2058,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
2378,2380,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
2378,2601,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
2378,2380,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
2378,2601,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0264
2380,2601,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
2442,2449,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
2446,2449,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9819
2493,2503,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
2493,2503,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
2606,3069,MS1 annotation,4.000,[M+H]+ [M+K]+ dm/z=37.9559
2606,2616,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9741
2606,2615,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9295
2615,3069,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0264
2634,3258,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
2634,3193,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
3060,3460,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
3112,3481,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0266
3114,3481,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
3193,3258,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
3336,3360,MS1 annotation,5.500,[2M+K]+ [M+H]+ dm/z=316.0378
3336,3338,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9817
3338,3360,MS1 annotation,5.500,[2M+K]+ [M+Na]+ dm/z=294.0560
3397,3460,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
3397,3460,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
3481,3572,MS1 annotation,5.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
3631,3717,MS1 annotation,4.500,[M+Na]+ [2M+2H]+2 dm/z=21.9819
3631,3717,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
3671,3672,MS1 annotation,8.500,[2M+H]+ [M-H+2Na]+ dm/z=226.0602
3671,3677,MS1 annotation,8.000,[M+H]+ [M-H+2Na]+ dm/z=43.9635
3671,3675,MS1 annotation,8.000,[M+K]+ [M-H+2Na]+ dm/z=6.0079
3672,3679,MS1 annotation,8.500,[M+Na]+ [2M+H]+ dm/z=248.0419
3672,3675,MS1 annotation,8.500,[M+K]+ [2M+H]+ dm/z=232.0681
3675,3679,MS1 annotation,8.000,[M+Na]+ [M+K]+ dm/z=15.9738
3675,3682,MS1 annotation,8.500,[2M+Na]+ [M+K]+ dm/z=254.0498
3675,3677,MS1 annotation,8.000,[M+H]+ [M+K]+ dm/z=37.9556
3677,3679,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9818
3677,3682,MS1 annotation,8.500,[2M+Na]+ [M+H]+ dm/z=292.0054
3677,3690,MS1 annotation,8.000,[2M+K]+ [M+H]+ dm/z=307.9788
3679,3690,MS1 annotation,8.000,[2M+K]+ [M+Na]+ dm/z=285.9971
3751,3757,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0264
3751,4109,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9818
3751,3757,MS1 annotation,4.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0264
3751,4109,MS1 annotation,4.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
3757,4109,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
3813,4289,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
4251,4262,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
4308,5184,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
4308,4603,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
4348,5028,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
4348,4356,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
4356,5028,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
4523,4602,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
4540,4543,MS1 annotation,6.000,[M-H+2Na]+ [M+H]+ dm/z=43.9635
4540,4545,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9818
4540,4551,MS1 annotation,6.000,[M+K]+ [M+H]+ dm/z=37.9556
4543,4551,MS1 annotation,6.000,[M+K]+ [M-H+2Na]+ dm/z=6.0079
4545,4550,MS1 annotation,6.500,[2M+H]+ [M+Na]+ dm/z=262.0305
4545,4551,MS1 annotation,6.000,[M+K]+ [M+Na]+ dm/z=15.9739
4550,4551,MS1 annotation,6.500,[M+K]+ [2M+H]+ dm/z=246.0566
4603,5184,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
4763,4778,MS1 annotation,5.500,[M+K]+ [2M+Na]+ dm/z=282.1663
4783,4785,MS1 annotation,5.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
5305,5308,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
5305,5308,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
5487,5488,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
6066,6076,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
6101,6521,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
6101,6521,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
6651,6655,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9739
6651,6653,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
6653,6655,MS1 annotation,3.000,[M+K]+ [M+H]+ dm/z=37.9558
6993,7377,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9738
7034,7043,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
7061,7084,MS1 annotation,4.500,[M+K]+ [2M+Na]+ dm/z=228.2155
7061,7064,MS1 annotation,4.500,[M+H]+ [2M+Na]+ dm/z=266.1711
7437,7438,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
7437,7438,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0264
7451,7458,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9738
7455,7458,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9557
7489,7490,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
7767,7781,MS1 annotation,4.000,[M+K]+ [2M+Na]+ dm/z=311.1345
7774,7781,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9741
7780,8060,MS1 annotation,3.000,[2M+2H]+2 [M+Na]+ dm/z=21.9819
8055,8060,MS1 annotation,3.000,[2M+2H]+2 [M+K]+ dm/z=37.9556
8213,8517,MS1 annotation,7.500,[M+NH4]+ [2M+H]+ dm/z=389.2429
8388,8407,MS1 annotation,6.000,[M-H+2Na]+ [M+H]+ dm/z=43.9637
8388,9049,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9819
8401,9049,MS1 annotation,6.000,[M+Na]+ [M+K]+ dm/z=15.9738
8423,8604,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0264
8423,8601,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9557
8423,8769,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
8556,8956,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9292
8556,8980,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9737
8601,8604,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9293
8601,8769,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9738
8604,8769,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
8703,8828,MS1 annotation,8.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
8929,10105,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
8929,9590,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
9075,9076,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
9075,9076,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0264
9076,9081,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
