box,sample_name,sample_type,collection_timestamp,host_age,host_subject_id,sex,mouse_strain,intervention,Alias
BOX 3,MOUSE1.CAGE8.FGFB6.Serum,serum,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,S3xtg_1
BOX 3,MOUSE2.CAGE8.FGFB6.Serum,serum,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,S3xtg_2
BOX 3,MOUSE3.CAGE8.FGFB6.Serum,serum,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,S3xtg_3
BOX 3,MOUSE4.CAGE8.FGFB6.Serum,serum,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,S3xtg_4
BOX 3,MOUSE5.CAGE8.FGFB6.Serum,serum,2020-09-17T00:00:00Z,15,CAGE 8,female,GF B6,Sacrifice,S3xtg_5
BOX 3,MOUSE6.CAGE4.FGF3XTG.Serum,serum,2020-09-17T00:00:00Z,15,CAGE 4,female,GF 3XTG,Sacrifice,S3xtg_6
BOX 3,MOUSE7.CAGE4.FGF3XTG.Serum,serum,2020-09-17T00:00:00Z,15,CAGE 4,female,GF 3XTG,Sacrifice,S3xtg_7
BOX 3,MOUSE8.CAGE4.FGF3XTG.Serum,serum,2020-09-17T00:00:00Z,15,CAGE 4,female,GF 3XTG,Sacrifice,S3xtg_8
BOX 3,MOUSE9.CAGE3.FSPF3XTG.Serum,serum,2020-09-18T00:00:00Z,15,CAGE 3,female,SPF 3XTG,Sacrifice,S3xtg_9
BOX 3,MOUSE10.CAGE3.FSPF3XTG.Serum,serum,2020-09-18T00:00:00Z,15,CAGE 3,female,SPF 3XTG,Sacrifice,S3xtg_10
BOX 3,MOUSE11.CAGE6.FSPFB6.Serum,serum,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,S3xtg_11
BOX 3,MOUSE12.CAGE6.FSPFB6.Serum,serum,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,S3xtg_12
BOX 3,MOUSE13.CAGE6.FSPFB6.Serum,serum,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,S3xtg_13
BOX 3,MOUSE14.CAGE6.FSPFB6.Serum,serum,2020-09-18T00:00:00Z,15,CAGE 6,female,SPF B6,Sacrifice,S3xtg_14
BOX 3,MOUSE15.CAGE7.FSPFB6.Serum,serum,2020-09-18T00:00:00Z,15,CAGE 7,female,SPF B6,Sacrifice,S3xtg_15
BOX 3,MOUSE18.CAGE1.FSPF3XTG.Serum,serum,2020-09-18T00:00:00Z,15,CAGE 1,female,SPF 3XTG,Sacrifice,S3xtg_18
BOX 3,MOUSE19.CAGE2.FSPF3XTG.Serum,serum,2020-09-18T00:00:00Z,15,CAGE 2,female,SPF 3XTG,Sacrifice,S3xtg_19
BOX 3,MOUSE20.CAGE13.FGF3XTG.Serum,serum,2020-10-26T00:00:00Z,15,CAGE 13,female,GF 3XTG,Sacrifice,S3xtg_20
BOX 3,MOUSE21.CAGE13.FGF3XTG.Serum,serum,2020-10-26T00:00:00Z,15,CAGE 13,female,GF 3XTG,Sacrifice,S3xtg_21
BOX 3,MOUSE22.CAGE14.FGF3XTG.Serum,serum,2020-10-26T00:00:00Z,15,CAGE 14,female,GF 3XTG,Sacrifice,S3xtg_22
BOX 3,MOUSE23.CAGE14.FGF3XTG.Serum,serum,2020-10-26T00:00:00Z,15,CAGE 14,female,GF 3XTG,Sacrifice,S3xtg_23
BOX 3,MOUSE26.CAGE15.FGF3XTG.Serum,serum,2020-10-26T00:00:00Z,15,CAGE 15,female,GF 3XTG,Sacrifice,S3xtg_26
BOX 3,MOUSE27.CAGE15.FGF3XTG.Serum,serum,2020-10-26T00:00:00Z,15,CAGE 15,female,GF 3XTG,Sacrifice,S3xtg_27
BOX 3,MOUSE28.CAGE18.FGFB6.Serum,serum,2020-10-28T00:00:00Z,15,CAGE 18,female,GF B6,Sacrifice,S3xtg_28
BOX 3,MOUSE29.CAGE18.FGFB6.Serum,serum,2020-10-28T00:00:00Z,15,CAGE 18,female,GF B6,Sacrifice,S3xtg_29
BOX 3,MOUSE30.CAGE19.FGFB6.Serum,serum,2020-10-28T00:00:00Z,15,CAGE 19,female,GF B6,Sacrifice,S3xtg_30
BOX 3,MOUSE32.CAGE12.FSPF3XTG.Serum,serum,2020-10-28T00:00:00Z,15,CAGE 12,female,SPF 3XTG,Sacrifice,S3xtg_32
