Order,File Name,Position,Inj Vol
1,Blank_7,R:A12,5
2,Blank_8,R:A12,5
3,Blank_9,R:A12,5
4,sixmix_32,R:B12,1
5,srm_13,R:C12,5
6,Pool_qc_serum_1,R:D12,5
7,Pool_qc_serum_2,R:D12,5
8,Pool_qc_serum_3,R:D12,5
9,Pool_qc_serum_4,R:D12,5
10,S5xfad_1,R:A1,5
11,S5xfad_32,R:C9,5
12,S5xfad_49,R:E4,5
13,S3xtg_133,G:D3,5
14,S5xfad_63,R:F6,5
15,S5xfad_127,B:D11,5
16,S5xfad_148,B:F6,5
17,S3xtg_103,G:A7,5
18,S3xtg_36,Y:C9,5
19,S3xtg_106,G:A10,5
20,Pool_qc_serum_5,R:D12,5
21,sixmix_33,R:B12,1
22,S3xtg_61,Y:E11,5
23,S5xfad_121,B:D5,5
24,S3xtg_43,Y:D5,5
25,S3xtg_40,Y:D2,5
26,S3xtg_97,G:A1,5
27,S5xfad_41,R:D7,5
28,S5xfad_2,R:A2,5
29,S5xfad_21,R:B9,5
30,S5xfad_6,R:A5,5
31,S5xfad_54,R:E9,5
32,Pool_qc_serum_6,R:D12,5
33,sixmix_34,R:B12,1
34,S5xfad_44,R:D10,5
35,S3xtg_91,Y:H7,5
36,S3xtg_127,G:C8,5
37,S5xfad_5,R:A4,5
38,S3xtg_122,G:C3,5
39,S3xtg_159,G:F7,5
40,S5xfad_99,B:B5,5
41,S3xtg_76,Y:G3,5
42,S3xtg_3,Y:A3,5
43,S5xfad_98,B:B4,5
44,Pool_qc_serum_7,R:D12,5
45,srm_14,R:C12,5
46,sixmix_35,R:B12,1
47,S3xtg_68,Y:F7,5
48,S3xtg_70,Y:F8,5
49,S5xfad_96,B:B2,5
50,S5xfad_147,B:F5,5
51,S5xfad_75,R:G7,5
52,S3xtg_62,Y:F1,5
53,S5xfad_62,R:F5,5
54,S3xtg_156,G:F4,5
55,S3xtg_71,Y:F9,5
56,S3xtg_94,Y:H10,5
57,Pool_qc_serum_8,R:D12,5
58,sixmix_36,R:B12,1
59,S3xtg_56,Y:E6,5
60,S3xtg_157,G:F5,5
61,S3xtg_148,G:E7,5
62,S5xfad_103,B:B9,5
63,S3xtg_26,Y:B11,5
64,S3xtg_34,Y:C7,5
65,S3xtg_121,G:C2,5
66,S3xtg_84,Y:G11,5
67,S3xtg_143,G:E2,5
68,S5xfad_8,R:A7,5
69,Pool_qc_serum_9,R:D12,5
70,sixmix_37,R:B12,1
71,S3xtg_108,G:B1,5
72,S3xtg_75,Y:G2,5
73,S5xfad_129,B:E2,5
74,S5xfad_94,B:A11,5
75,S5xfad_35,R:D1,5
76,S5xfad_116,B:C11,5
77,S3xtg_116,G:B8,5
78,S5xfad_79,R:G11,5
79,S3xtg_125,G:C6,5
80,S3xtg_112,G:B5,5
81,Pool_qc_serum_10,R:D12,5
82,srm_15,R:C12,5
83,sixmix_38,R:B12,1
84,S3xtg_64,Y:F3,5
85,S3xtg_27,Y:C1,5
86,S5xfad_138,B:E9,5
87,S5xfad_22,R:B10,5
88,S5xfad_23,R:B11,5
89,S5xfad_107,B:C2,5
90,S5xfad_16,R:B4,5
91,S5xfad_52,R:E7,5
92,S5xfad_136,B:E7,5
93,S3xtg_13,Y:B2,5
94,Pool_qc_serum_11,R:D12,5
95,sixmix_39,R:B12,1
96,S5xfad_70,R:G2,5
97,S5xfad_37,R:D3,5
98,S3xtg_105,G:A9,5
99,S5xfad_57,R:F1,5
100,S3xtg_88,Y:H4,5
101,S3xtg_152,G:E11,5
102,S3xtg_39,Y:D1,5
103,S5xfad_26,R:C3,5
104,S3xtg_22,Y:B9,5
105,S5xfad_149,B:F7,5
106,Pool_qc_serum_12,R:D12,5
107,sixmix_40,R:B12,1
108,S5xfad_33,R:C10,5
109,S3xtg_137,G:D7,5
110,S3xtg_29,Y:C3,5
111,S5xfad_68,R:F11,5
112,S3xtg_118,G:B10,5
113,S5xfad_43,R:D9,5
114,S5xfad_80,R:H1,5
115,S3xtg_129,G:C10,5
116,S5xfad_106,B:C1,5
117,S3xtg_155,G:F3,5
118,Pool_qc_serum_13,R:D12,5
119,srm_16,R:C12,5
120,sixmix_41,R:B12,1
121,S3xtg_6,Y:A6,5
122,S5xfad_38,R:D4,5
123,S3xtg_57,Y:E7,5
124,S5xfad_137,B:E8,5
125,S3xtg_136,G:D6,5
126,S3xtg_72,Y:F10,5
127,S3xtg_67,Y:F6,5
128,S3xtg_65,Y:F4,5
129,S3xtg_141,G:D11,5
130,S3xtg_60,Y:E10,5
131,Pool_qc_serum_14,R:D12,5
132,sixmix_42,R:B12,1
133,S3xtg_78,Y:G5,5
134,S3xtg_28,Y:C2,5
135,S3xtg_146,G:E5,5
136,S3xtg_153,G:F1,5
137,S3xtg_85,Y:H1,5
138,S5xfad_13,R:B1,5
139,S5xfad_89,B:A6,5
140,S3xtg_83,Y:G10,5
141,S5xfad_55,R:E10,5
142,S5xfad_101,B:B7,5
143,Pool_qc_serum_15,R:D12,5
144,sixmix_43,R:B12,1
145,S5xfad_122,B:D6,5
146,S3xtg_20,Y:B7,5
147,S5xfad_51,R:E6,5
148,S3xtg_82,Y:G9,5
149,S5xfad_39,R:D5,5
150,S3xtg_89,Y:H5,5
151,S5xfad_45,R:D11,5
152,S3xtg_8,Y:A8,5
153,S3xtg_130,G:C11,5
154,Pool_qc_serum_16,R:D12,5
155,srm_17,R:C12,5
156,sixmix_44,R:B12,1
157,S5xfad_141,B:E11,5
158,S5xfad_47,R:E2,5
159,S5xfad_15,R:B3,5
160,S5xfad_145,B:F3,5
161,S5xfad_114,B:C9,5
162,S5xfad_50,R:E5,5
163,S5xfad_14,R:B2,5
164,S5xfad_77,R:G9,5
165,S3xtg_107,G:A11,5
166,S3xtg_134,G:D4,5
167,Pool_qc_serum_17,R:D12,5
168,sixmix_45,R:B12,1
169,S3xtg_32,Y:C5,5
170,S5xfad_72,R:G4,5
171,S3xtg_147,G:E6,5
172,S3xtg_37,Y:C10,5
173,S3xtg_30,Y:C4,5
174,S5xfad_119,B:D3,5
175,S5xfad_36,R:D2,5
176,S3xtg_123,G:C4,5
177,S5xfad_126,B:D10,5
178,S5xfad_90,B:A7,5
179,Pool_qc_serum_18,R:D12,5
180,sixmix_46,R:B12,1
181,S5xfad_10,R:A9,5
182,S3xtg_109,G:B2,5
183,S3xtg_110,G:B3,5
184,S3xtg_138,G:D8,5
185,S3xtg_54,Y:E4,5
186,S3xtg_19,Y:B6,5
187,S3xtg_73,Y:F11,5
188,S3xtg_55,Y:E5,5
189,Pool_qc_serum_19,R:D12,5
190,srm_18,R:C12,5
191,sixmix_47,R:B12,1
192,S3xtg_77,Y:G4,5
193,S5xfad_140,B:E10,5
194,S5xfad_9,R:A8,5
195,S5xfad_65,R:F8,5
196,S5xfad_108,B:C3,5
197,S5xfad_3,R:A3,5
198,S5xfad_78,R:G10,5
199,S3xtg_135,G:D5,5
200,S5xfad_102,B:B8,5
201,S3xtg_131,G:D1,5
202,Pool_qc_serum_20,R:D12,5
