sample_name	anonymized_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	study_type	taxon_id	title	tube_id	keep	genotype_sex	cohort	genotype_tp
14748.BLANK.AGMP.1.1A		2020-22-12	BLANK.AGMP.1.1A	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.1.1A		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.1.1A	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.1.1B		2020-22-12	BLANK.AGMP.1.1B	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.1.1B		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.1.1B	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.1.1C		2020-22-12	BLANK.AGMP.1.1C	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.1.1C		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.1.1C	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.1.1D		2020-22-12	BLANK.AGMP.1.1D	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.1.1D		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.1.1D	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.1.1E		2020-22-12	BLANK.AGMP.1.1E	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.1.1E		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.1.1E	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.2.2A		2020-22-12	BLANK.AGMP.2.2A	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.2.2A		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.2.2A	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.2.2B		2020-22-12	BLANK.AGMP.2.2B	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.2.2B		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.2.2B	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.2.2C		2020-22-12	BLANK.AGMP.2.2C	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.2.2C		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.2.2C	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.2.2D		2020-22-12	BLANK.AGMP.2.2D	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.2.2D		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.2.2D	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.2.2E		2020-22-12	BLANK.AGMP.2.2E	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.2.2E		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.2.2E	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.3.3A		2020-22-12	BLANK.AGMP.3.3A	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.3.3A		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.3.3A	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.3.3B		2020-22-12	BLANK.AGMP.3.3B	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.3.3B		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.3.3B	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.3.3C		2020-22-12	BLANK.AGMP.3.3C	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.3.3C		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.3.3C	FALSE	nan_nan	not applicable	
14748.BLANK.AGMP.3.3D		2020-22-12	BLANK.AGMP.3.3D	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.3.3D		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_1-3	BLANK.AGMP.3.3D	FALSE	nan_nan	not applicable	
