"Sample ID"	Current_Natural_Log_Ratio
14748.CAGE41.FSPF3XTG.L10.1	-0.23618279341728154
14748.CAGE21.FSPF3XTG.L9.2	-1.967352162452599
14748.CAGE41.FSPF3XTG.L2.2	-1.1464231336070707
14748.CAGE40.FSPF3XTG.L10.1	-2.647649892055311
14748.CAGE41.FSPF3XTG.L7.1	-1.3220851065041632
14748.CAGE68.MSPF3XTG.L5.1	-4.286240945007262
14748.CAGE45.MSPFB6.L9.1	-1.4540874724149386
14748.CAGE62.FSPF3XTG.L4.2	-1.5290000208993195
14748.CAGE42.MSPF3XTG.L8.2	-3.804547588091829
14748.CAGE40.FSPF3XTG.L7.2	-1.869104786943014
14748.CAGE66.FSPFB6.L5.2	5.49685558959808
14748.CAGE66.FSPFB6.L6.1	6.016287813183721
14748.CAGE74.MSPFB6.L4.2	5.718572164418417
14748.CAGE41.FSPF3XTG.L9.1	-1.951884683683705
14748.CAGE20.FSPF3XTG.L10.2	-1.1407057786070673
14748.CAGE66.FSPFB6.L4.2	5.88578569374905
14748.CAGE41.FSPF3XTG.L7.2	-1.3688145375850027
14748.CAGE45.MSPFB6.L9.2	-2.7342426062544583
14748.CAGE40.FSPF3XTG.L10.2	-1.9972876632494412
14748.CAGE40.FSPF3XTG.L9.2	-1.50563476199199
14748.CAGE69.MSPF3XTG.L5.1	-2.159723617804797
14748.CAGE46.MSPFB6.L9.1	1.850420917313624
14748.CAGE3.FSPF3XTG.L13.1	-3.765236448116023
14748.CAGE27.FSPFB6.L4.1	5.596330504675785
14748.CAGE41.FSPF3XTG.L10.2	-0.9413165927312406
14748.CAGE21.FSPF3XTG.L4.2	-3.9444661939335344
14748.CAGE27.FSPFB6.L3.1	5.858589620989814
14748.CAGE3.FSPF3XTG.L13.2	-1.1027632380245294
14748.CAGE45.MSPFB6.L3.2	7.5844935670080345
14748.CAGE7.FSPFB6.L13.1	-0.6605169637128512
14748.CAGE22.FSPF3XTG.L4.2	-2.6245485563756006
14748.CAGE50.FSPF3XTG.L2.1	-1.8449204466833926
14748.CAGE1.FSPF3XTG.L15.2	-0.6209602518915798
14748.CAGE50.FSPF3XTG.L2.2	-1.8412618131247704
14748.CAGE42.MSPF3XTG.L8.1	-2.235127045902468
14748.CAGE40.FSPF3XTG.L9.1	-1.6744567956221932
14748.CAGE40.FSPF3XTG.L7.1	-1.4801703163090352
14748.CAGE6.FSPF3XTG.L14.2	1.1285840712805584
14748.CAGE41.FSPF3XTG.L9.2	-3.092513091461937
14748.CAGE27.FSPFB6.L1.2	5.112115952406702
14748.CAGE66.FSPFB6.L5.1	5.006194807892117
14748.CAGE12.FSPF3XTG.L8.2	-2.7890179400958566
14748.CAGE40.FSPF3XTG.L1.2	-3.3870264077790715
14748.CAGE74.MSPFB6.L4.1	5.798082042954602
14748.CAGE66.FSPFB6.L6.2	3.148234148391065
14748.CAGE12.FSPF3XTG.L9.2	-1.8390100794230406
14748.CAGE6.FSPF3XTG.L13.2	-0.2618737878779154
14748.CAGE12.FSPF3XTG.L9.1	-0.9253635051118501
14748.CAGE40.FSPF3XTG.L2.1	-3.4249692798963203
14748.CAGE40.FSPF3XTG.L2.2	-2.9076746998620493
14748.CAGE62.FSPF3XTG.L4.1	-2.0774311519864312
14748.CAGE16.FSPFB6.L12.1	4.94062458877483
14748.CAGE45.MSPFB6.L3.1	6.389430058696261
14748.CAGE47.MSPFB6.L2.1	5.0793360336673405
14748.CAGE21.FSPF3XTG.L4.1	-3.573052158250473
14748.CAGE50.FSPF3XTG.L1.2	-2.7775090300801732
14748.CAGE22.FSPF3XTG.L5.1	-3.587091530758739
14748.CAGE12.FSPF3XTG.L10.1	-0.8185322318892698
14748.CAGE3.FSPF3XTG.L15.1	1.4398509785460227
14748.CAGE3.FSPF3XTG.L15.2	0.660441585995585
14748.CAGE40.FSPF3XTG.L3.1	-4.962149878006958
14748.CAGE20.FSPF3XTG.L6.1	-0.01717649145548883
14748.CAGE46.MSPFB6.L3.1	7.467260273608195
14748.CAGE1.FSPF3XTG.L15.1	-1.4617815796078641
14748.CAGE22.FSPF3XTG.L4.1	-1.9900431374749328
14748.CAGE6.FSPF3XTG.L14.1	1.7377298505492664
14748.CAGE7.FSPFB6.L13.2	-1.2832758520748158
14748.CAGE27.FSPFB6.L4.2	7.538761063004232
14748.CAGE47.MSPFB6.L3.2	7.167724851539256
14748.CAGE21.FSPF3XTG.L5.2	-4.279470017874985
14748.CAGE16.FSPFB6.L10.2	-0.3771595217767185
14748.CAGE20.FSPF3XTG.L3.1	-2.9566299870078687
14748.CAGE42.MSPF3XTG.L2.1	-2.453289255631379
14748.CAGE54.FSPFB6.L2.1	6.899558990292535
14748.CAGE27.FSPFB6.L6.2	5.197756584319395
14748.CAGE27.FSPFB6.L6.1	6.270805477139082
14748.CAGE7.FSPFB6.L15.2	-1.8234947833365718
14748.CAGE45.MSPFB6.L2.1	6.006882055998058
14748.CAGE12.FSPF3XTG.L10.2	-3.898283502886179
14748.CAGE21.FSPF3XTG.L3.1	-1.9658255800019493
14748.CAGE40.FSPF3XTG.L3.2	-5.3775531247938195
14748.CAGE50.FSPF3XTG.L3.2	-1.9049997640196086
14748.CAGE50.FSPF3XTG.L3.1	-2.399856963518392
14748.CAGE46.MSPFB6.L3.2	7.0853004899103995
14748.CAGE16.FSPFB6.L10.1	-0.232568843629112
14748.CAGE41.FSPF3XTG.L2.1	-2.010253210012129
14748.CAGE21.FSPF3XTG.L5.1	-4.437453660642221
14748.CAGE7.FSPFB6.L15.1	-1.7768558091473707
14748.CAGE42.MSPF3XTG.L9.2	-4.450442898852028
14748.CAGE20.FSPF3XTG.L9.2	-1.8726195242281953
14748.CAGE42.MSPF3XTG.L10.1	-2.1201740753295777
14748.CAGE45.MSPFB6.L10.1	1.290866752247366
14748.CAGE1.FSPF3XTG.L14.1	-2.9973091027947723
14748.CAGE20.FSPF3XTG.L3.2	-3.4007331171262063
14748.CAGE16.FSPFB6.L11.1	0.5758847969909429
14748.CAGE41.FSPF3XTG.L3.1	-3.1248171439548056
14748.CAGE42.MSPF3XTG.L2.2	-1.9056577365760035
14748.CAGE1.FSPF3XTG.L14.2	-1.802643530195704
14748.CAGE22.FSPF3XTG.L3.1	-2.8138087639924247
14748.CAGE16.FSPFB6.L11.2	-0.7148511996048352
14748.CAGE46.MSPFB6.L2.1	6.780541550164803
14748.CAGE41.FSPF3XTG.L3.2	-3.9860575346908664
14748.CAGE47.MSPFB6.L10.1	3.7409163743822376
14748.CAGE40.FSPF3XTG.L4.1	-2.5854317230228734
14748.CAGE40.FSPF3XTG.L4.2	-2.332212098945563
14748.CAGE20.FSPF3XTG.L4.1	-4.088398835851012
14748.CAGE12.FSPF3XTG.L12.2	-2.7445543155524295
14748.CAGE45.MSPFB6.L2.2	6.776896270544154
14748.CAGE54.FSPFB6.L3.1	6.158361633576305
