genotype,host_age,tube_id2,read_count_matches
3XTG,7.0,363141325.0,74
3XTG,7.0,363141326.0,20
3XTG,7.0,363141328.0,177
3XTG,7.0,363141329.0,1508
3XTG,7.0,363141338.0,307
3XTG,7.0,363141347.0,700
3XTG,7.0,363141770.0,768
3XTG,7.0,363141779.0,6
3XTG,7.0,363192935.0,813
3XTG,7.0,363192944.0,246
3XTG,7.0,363192951.0,6
3XTG,7.0,363192952.0,1
3XTG,7.0,363192954.0,2186
3XTG,7.0,363192955.0,10
3XTG,7.0,363192956.0,1016
3XTG,7.0,363193395.0,691
3XTG,12.0,363192926.0,318
3XTG,12.0,363192928.0,107
3XTG,12.0,363192937.0,7
3XTG,12.0,363192940.0,672
3XTG,12.0,363192949.0,714
3XTG,12.0,363192950.0,234
3XTG,12.0,363192960.0,152
3XTG,12.0,363192961.0,594
3XTG,12.0,363192966.0,144
3XTG,12.0,363192982.0,208
3XTG,12.0,363193382.0,2906
3XTG,12.0,363193391.0,2855
3XTG,12.0,363193394.0,42
3XTG,12.0,363193400.0,135
3XTG,12.0,363193410.0,38
3XTG,15.0,363141305.0,26
3XTG,15.0,363141306.0,12
3XTG,15.0,363141310.0,47
3XTG,15.0,363141315.0,28
3XTG,15.0,363141774.0,34
3XTG,15.0,363141777.0,9
B6,7.0,363192927.0,117
B6,7.0,363192929.0,31
B6,7.0,363192939.0,671
B6,7.0,363192942.0,223
B6,7.0,363192943.0,57
B6,7.0,363192957.0,752
B6,7.0,363192964.0,40
B6,7.0,363192965.0,244
B6,7.0,363193392.0,66
B6,12.0,363192934.0,65
B6,12.0,363192936.0,98
B6,12.0,363192945.0,3438
B6,12.0,363192947.0,386
B6,12.0,363192948.0,18
B6,12.0,363192959.0,19
B6,12.0,363192962.0,33
B6,12.0,363192963.0,415
B6,12.0,363192970.0,84
B6,12.0,363192973.0,173
B6,12.0,363192992.0,24
B6,12.0,363193393.0,21
B6,12.0,363193402.0,32
B6,12.0,363193420.0,50
B6,15.0,363141277.0,20
B6,15.0,363141307.0,154
B6,15.0,363141308.0,79
B6,15.0,363141336.0,37
B6,15.0,363141345.0,7
B6,15.0,363141350.0,20
B6,15.0,363141745.0,5
B6,15.0,363141752.0,9
B6,15.0,363141765.0,32
