,stitle,genotype,host_subject_id,read_count_matches
0,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 1,38
1,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 12,2
2,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 2,4
3,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 20,46
4,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 21,34
5,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 22,18
6,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 3,34
7,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 40,63
8,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 41,29
9,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 42,126
10,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 50,71
11,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 53,125
12,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 62,46
13,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 68,24
14,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 69,34
15,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],3XTG,CAGE 70,47
16,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 16,29
17,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 27,144
18,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 45,100
19,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 46,53
20,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 47,94
21,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 54,100
22,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 6,57
23,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 66,54
24,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 7,54
25,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 73,13
26,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium],B6,CAGE 74,114
