#OTU ID	14748.MOUSE34.CAGE16.FSPFB6.S15	14748.MOUSE10.CAGE3.FSPF3XTG.S15	14748.MOUSE17.CAGE1.FSPF3XTG.S15	14748.MOUSE13.CAGE6.FSPFB6.S15	14748.MOUSE14.CAGE6.FSPFB6.S15	14748.MOUSE33.CAGE12.FSPF3XTG.S15	14748.MOUSE9.CAGE3.FSPF3XTG.S15	14748.MOUSE35.CAGE16.FSPFB6.S15	14748.MOUSE50.CAGE50.FSPF3XTG.S7	14748.MOUSE56.CAGE53.FSPF3XTG.S7	14748.MOUSE53.CAGE50.FSPF3XTG.S7	14748.MOUSE58.CAGE53.FSPF3XTG.S7	14748.MOUSE19.CAGE2.FSPF3XTG.S15	14748.MOUSE51.CAGE50.FSPF3XTG.S7	14748.MOUSE59.CAGE54.FSPFB6.S7	14748.MOUSE60.CAGE54.FSPFB6.S7	14748.MOUSE89.CAGE22.FSPF3XTG.S12	14748.MOUSE32.CAGE12.FSPF3XTG.S15	14748.MOUSE87.CAGE21.FSPF3XTG.S12	14748.MOUSE11.CAGE6.FSPFB6.S15	14748.MOUSE18.CAGE1.FSPF3XTG.S15	14748.MOUSE54.CAGE50.FSPF3XTG.S7	14748.MOUSE106.CAGE70.MSPF3XTG.S7	14748.MOUSE117.CAGE62.FSPF3XTG.S7	14748.MOUSE55.CAGE53.FSPF3XTG.S7	14748.MOUSE116.CAGE62.FSPF3XTG.S7	14748.MOUSE105.CAGE69.MSPF3XTG.S7	14748.MOUSE72.CAGE20.FSPF3XTG.S12	14748.MOUSE126.CAGE40.MSPF3XTG.S12	14748.MOUSE90.CAGE22.FSPF3XTG.S12	14748.MOUSE79.CAGE27.FSPFB6.S12	14748.MOUSE77.CAGE27.FSPFB6.S12	14748.MOUSE88.CAGE21.FSPF3XTG.S12	14748.MOUSE61.CAGE54.FSPFB6.S7	14748.MOUSE102.CAGE68.MSPF3XTG.S7	14748.MOUSE104.CAGE69.MSPF3XTG.S7	14748.MOUSE78.CAGE27.FSPFB6.S12	14748.MOUSE113.CAGE74.MSPFB6.S7	14748.MOUSE110.CAGE74.MSPFB6.S7	14748.MOUSE80.CAGE27.FSPFB6.S12	14748.MOUSE81.CAGE27.FSPFB6.S12	14748.MOUSE137.CAGE46.MSPFB6.S12	14748.MOUSE103.CAGE68.MSPF3XTG.S7	14748.MOUSE134.CAGE45.MSPFB6.S12	14748.MOUSE111.CAGE74.MSPFB6.S7	14748.MOUSE115.CAGE62.FSPF3XTG.S7	14748.MOUSE132.CAGE42.MSPF3XTG.S12	14748.MOUSE130.CAGE41.MSPF3XTG.S12	14748.MOUSE143.CAGE66.FSPFB6.S12	14748.MOUSE144.CAGE66.FSPFB6.S12	14748.MOUSE84.CAGE20.FSPF3XTG.S12	14748.MOUSE145.CAGE66.FSPFB6.S12	14748.MOUSE138.CAGE46.MSPFB6.S12	14748.MOUSE36.CAGE16.FSPFB6.S15	14748.MOUSE16.CAGE7.FSPFB6.S15	14748.MOUSE12.CAGE6.FSPFB6.S15	14748.MOUSE108.CAGE73.MSPFB6.S7	14748.MOUSE128.CAGE41.MSPF3XTG.S12	14748.MOUSE127.CAGE40.MSPF3XTG.S12	14748.MOUSE52.CAGE50.FSPF3XTG.S7	14748.MOUSE15.CAGE7.FSPFB6.S15	14748.MOUSE85.CAGE20.FSPF3XTG.S12	14748.MOUSE139.CAGE46.MSPFB6.S12	14748.MOUSE107.CAGE70.MSPF3XTG.S7	14748.MOUSE129.CAGE41.MSPF3XTG.S12	14748.MOUSE109.CAGE73.MSPFB6.S7	14748.MOUSE141.CAGE47.MSPFB6.S12	14748.MOUSE140.CAGE47.MSPFB6.S12	14748.MOUSE86.CAGE21.FSPF3XTG.S12	14748.MOUSE112.CAGE74.MSPFB6.S7	14748.MOUSE114.CAGE74.MSPFB6.S7	14748.MOUSE135.CAGE45.MSPFB6.S12	14748.MOUSE136.CAGE45.MSPFB6.S12	14748.MOUSE133.CAGE42.MSPF3XTG.S12	14748.MOUSE131.CAGE42.MSPF3XTG.S12
"K00001 -  E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00003 -  hom; homoserine dehydrogenase [EC:1.1.1.3]	6	181	139	241	125	251	230	11	154	24	231	363	10	58	61	44	111	0	292	32	190	324	0	5	257	47	275	231	207	9	115	84	590	99	539	37	41	163	83	299	501	0	177	36	1640	70	757	0	0	34	147	188	384	121	31	44	99	284	138	422	98	472	142	333	10	48	231	436	705	110	99	81	142	127	3714
"K00004 -  BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	26	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	0	4	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
K00005 -  gldA; glycerol dehydrogenase [EC:1.1.1.6]	1	6	6	14	10	213	6	2	2	11	6	203	0	0	0	14	10	0	19	0	4	13	0	0	95	0	95	9	4	0	2	0	19	47	33	0	1	0	0	16	37	0	9	3	4	2	31	0	0	0	12	2	54	2	0	6	2	25	9	16	2	23	8	11	5	0	1	4	35	0	0	0	56	13	121
K00007 -  dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00008 -  SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]"	1	32	63	30	55	52	57	0	4	55	2	19	2	75	4	7	41	0	108	65	98	65	0	17	182	53	15	103	63	4	67	70	40	3	132	7	11	43	102	19	22	0	23	33	10	115	50	0	0	49	12	37	120	2	24	58	55	13	95	36	63	5	132	139	0	34	48	62	106	28	32	15	19	60	264
K00009 -  mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	3	36	19	55	19	181	84	12	109	2	7	13	0	0	0	0	12	0	90	2	1	158	0	2	10	0	73	27	49	1	2	1	281	0	142	15	0	26	1	2	8	0	37	3	61	10	80	0	0	4	38	12	20	75	6	0	4	100	39	258	9	117	1	52	0	5	6	29	183	46	34	4	5	32	468
K00010 -  iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	0	0	0	7	4	43	2	2	2	0	2	4	0	0	2	0	0	0	0	2	6	0	0	0	0	0	32	0	0	0	2	6	0	5	3	0	0	0	3	4	13	0	2	0	4	0	3	0	0	0	6	0	17	2	0	0	0	4	2	0	0	0	1	6	1	1	6	6	12	2	1	0	8	1	2
"K00012 -  UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"	6	279	505	543	528	71	570	3	84	180	100	148	8	171	97	99	678	0	1156	664	384	312	0	35	574	122	208	206	948	34	225	356	650	67	1698	34	114	313	553	423	673	1	110	162	304	178	492	0	0	118	96	176	410	37	579	560	203	207	517	283	666	256	427	475	9	111	645	268	317	236	346	123	40	451	740
K00013 -  hisD; histidinol dehydrogenase [EC:1.1.1.23]	16	107	38	331	431	157	192	13	11	282	297	405	18	223	318	439	496	0	851	257	187	528	0	6	1687	62	176	548	797	32	247	702	674	638	1380	108	171	505	616	492	694	0	247	89	2225	520	1146	0	0	502	126	390	708	101	280	353	250	132	367	464	489	340	433	841	10	125	305	588	650	340	411	132	179	584	3897
