	Axis1_50.7	Axis2_44.7	Axis3_4.7
14748.CAGE41.FSPF3XTG.L10.1	-0.068239709	0.059616525491168804	0.044093305554858395
14748.CAGE21.FSPF3XTG.L9.2	-0.021795558	0.000301223	-0.042395114
14748.CAGE41.FSPF3XTG.L2.2	-0.016519707	0.033998494	0.000851634
14748.CAGE40.FSPF3XTG.L10.1	-0.029530839	-0.02206869	-0.042449701
14748.CAGE41.FSPF3XTG.L7.1	-0.0664104	0.040776811	-0.030091755
14748.CAGE68.MSPF3XTG.L5.1	0.03505451	-0.071204156	0.013965520921953918
14748.CAGE45.MSPFB6.L9.1	-0.074779076	0.029631711499985735	-0.05647219
14748.CAGE62.FSPF3XTG.L4.2	0.003840468	0.009636929	-0.002099988
14748.CAGE42.MSPF3XTG.L8.2	-0.065078923	-0.046263931	-0.000758628
14748.CAGE40.FSPF3XTG.L7.2	-0.025599815	0.039035104	-0.024094138
14748.CAGE66.FSPFB6.L5.2	0.065491424	0.047916469	-0.015169573
14748.CAGE66.FSPFB6.L6.1	0.025759205160769547	0.088368469	-0.007580015
14748.CAGE74.MSPFB6.L4.2	0.047416229953443606	0.067181195	-0.018095456
14748.CAGE41.FSPF3XTG.L9.1	-0.032747279	0.007675831	-0.033993883
14748.CAGE20.FSPF3XTG.L10.2	-0.071893453	0.076960517	0.043255174
14748.CAGE66.FSPFB6.L4.2	0.049116923	0.10182068362341035	0.048355522332843556
14748.CAGE41.FSPF3XTG.L7.2	-0.055628896	0.046643697	-0.041899342
14748.CAGE45.MSPFB6.L9.2	-0.091792697	-0.032937105	-0.026012218
14748.CAGE40.FSPF3XTG.L10.2	-0.036535426	0.002300628	-0.037055356
14748.CAGE40.FSPF3XTG.L9.2	-0.067239018	0.050286754252206606	-0.008684174
14748.CAGE69.MSPF3XTG.L5.1	-0.058583048	-0.00797211	-0.027628485
14748.CAGE46.MSPFB6.L9.1	0.009754729	0.059335195	-0.056758696
14748.CAGE3.FSPF3XTG.L13.1	0.041262759	-0.042156014	-0.037759921
14748.CAGE27.FSPFB6.L4.1	0.023892403	0.074206368	0.017658835479931422
14748.CAGE41.FSPF3XTG.L10.2	-0.062830062	0.062009404	0.032309513861110785
14748.CAGE21.FSPF3XTG.L4.2	0.069927817	-0.052434377	0.031964044
14748.CAGE27.FSPFB6.L3.1	0.000431904	0.053092803	0.020657471112956474
14748.CAGE3.FSPF3XTG.L13.2	-0.01986441	0.000744451	-0.00034124
14748.CAGE45.MSPFB6.L3.2	0.10531739799323117	0.063218008	0.088774048
14748.CAGE7.FSPFB6.L13.1	0.022634634	0.002315373	-0.051302955
14748.CAGE22.FSPF3XTG.L4.2	-0.046759314	0.009743431	-0.014823465
14748.CAGE50.FSPF3XTG.L2.1	-0.077928554	0.014826770461552886	-0.02329002
14748.CAGE1.FSPF3XTG.L15.2	-0.056454048	0.016769425	-0.039486964
14748.CAGE50.FSPF3XTG.L2.2	-0.032355385	-0.003630098	-0.029154674
14748.CAGE42.MSPF3XTG.L8.1	-0.074002673	0.019556178	-0.015959429
14748.CAGE40.FSPF3XTG.L9.1	-0.070075822	0.026970708704238105	-0.048422094
14748.CAGE40.FSPF3XTG.L7.1	-0.059803788	0.012535693946540881	-0.064119908
14748.CAGE6.FSPF3XTG.L14.2	0.009530672	-0.005491932	-0.115665345
14748.CAGE41.FSPF3XTG.L9.2	-0.037561947	0.030719615770751545	-0.017955042
14748.CAGE27.FSPFB6.L1.2	0.001518769	0.12034010687882861	0.06482407
14748.CAGE66.FSPFB6.L5.1	0.088218862	0.041423798	0.013602783856493522
14748.CAGE12.FSPF3XTG.L8.2	-0.019415949	0.007878984	-0.040716973
14748.CAGE40.FSPF3XTG.L1.2	-0.005910428	-0.039694939	-0.016780584
14748.CAGE74.MSPFB6.L4.1	0.076980578	0.035050010106251604	-0.023078861
14748.CAGE66.FSPFB6.L6.2	-0.014707004	0.08719323	-0.042870968
14748.CAGE12.FSPF3XTG.L9.2	-0.027178517	-0.042604606	-0.03860396
14748.CAGE6.FSPF3XTG.L13.2	-0.079469213	-0.023325128	-0.055799716
14748.CAGE12.FSPF3XTG.L9.1	-0.081797589	-0.018540392	-0.055700947
14748.CAGE40.FSPF3XTG.L2.1	-0.009898794	-0.038445266	-0.094853916
14748.CAGE40.FSPF3XTG.L2.2	-0.028533334	-0.050923935	-0.083673068
14748.CAGE62.FSPF3XTG.L4.1	-0.033419888	-0.012918897	-0.136508372
14748.CAGE16.FSPFB6.L12.1	-0.045848767	0.10657359821791489	0.061005051
14748.CAGE45.MSPFB6.L3.1	0.038436875023668195	0.054395273	0.008454205
14748.CAGE47.MSPFB6.L2.1	0.089974295	0.051064915548996136	0.079805245
14748.CAGE21.FSPF3XTG.L4.1	-0.003881572	-0.082356708	-0.03807909
14748.CAGE50.FSPF3XTG.L1.2	-0.06910356	-0.047948155	0.028550061
14748.CAGE22.FSPF3XTG.L5.1	-0.045629097	-0.034297042	-0.015031098
14748.CAGE12.FSPF3XTG.L10.1	-0.044083144	0.013486774953267458	-0.037520253
14748.CAGE3.FSPF3XTG.L15.1	-0.068977985	0.041200998	-0.030731788
14748.CAGE3.FSPF3XTG.L15.2	-0.106630554	0.034084043	-0.000574431
14748.CAGE40.FSPF3XTG.L3.1	0.081720903	-0.084102646	0.024791766979299867
14748.CAGE20.FSPF3XTG.L6.1	-0.065216823	0.058359341	0.013998943076346882
14748.CAGE46.MSPFB6.L3.1	-0.012005016	0.083666665	0.028663938508073132
14748.CAGE1.FSPF3XTG.L15.1	-0.124838671	0.016287033344380315	-0.012704468
14748.CAGE22.FSPF3XTG.L4.1	-0.053147306	-0.053417655	-0.030902421
14748.CAGE6.FSPF3XTG.L14.1	0.028667817	0.012404034	-0.033957144
14748.CAGE7.FSPFB6.L13.2	0.030465354	0.008273466	-0.043948321
14748.CAGE27.FSPFB6.L4.2	0.026210987	0.065205715	0.00453885
14748.CAGE47.MSPFB6.L3.2	0.035592938	0.11637240852142337	0.047702947
14748.CAGE21.FSPF3XTG.L5.2	0.021301085648051762	-0.061328865	-0.071312878
14748.CAGE16.FSPFB6.L10.2	0.042098584322256216	0.015127035165793978	-0.029039921
14748.CAGE20.FSPF3XTG.L3.1	-0.008743299	-0.059648458	-0.035964913
14748.CAGE42.MSPF3XTG.L2.1	-0.040640664	-0.027227518	-0.064922353
14748.CAGE54.FSPFB6.L2.1	0.017856182954431178	0.11116434132951726	0.080298338
14748.CAGE27.FSPFB6.L6.2	-0.118753534	0.074888866	0.11966825963263605
14748.CAGE27.FSPFB6.L6.1	0.000152876	0.080690265	0.015039811
14748.CAGE7.FSPFB6.L15.2	0.041274761860596476	-0.008455088	-0.073279489
14748.CAGE45.MSPFB6.L2.1	0.045725679616299815	0.080938861	0.029797864489343937
14748.CAGE12.FSPF3XTG.L10.2	-0.002725344	-0.079804393	-0.043869866
14748.CAGE21.FSPF3XTG.L3.1	-0.052112005	-0.024913577	-0.053913956
14748.CAGE40.FSPF3XTG.L3.2	0.040189474	-0.105409361	0.036119888
14748.CAGE50.FSPF3XTG.L3.2	-0.111665983	-0.037723763	0.008082386
14748.CAGE50.FSPF3XTG.L3.1	-0.113939616	-0.030869524	-0.035676071
14748.CAGE46.MSPFB6.L3.2	0.021160430844847766	0.048830506	0.058276913802339805
14748.CAGE16.FSPFB6.L10.1	-0.029951695	0.020880115	-0.030056555
14748.CAGE41.FSPF3XTG.L2.1	-0.046098324	-0.013407551	-0.052079902
14748.CAGE21.FSPF3XTG.L5.1	-0.036648486	-0.081314003	-0.059805314
14748.CAGE7.FSPFB6.L15.1	0.013573620494253594	-0.019746545	-0.102951136
14748.CAGE42.MSPF3XTG.L9.2	0.044826424213152034	-0.033772007	-0.024771422
14748.CAGE20.FSPF3XTG.L9.2	-0.019437697	0.048129148268305555	0.038780101
14748.CAGE42.MSPF3XTG.L10.1	0.017037072848384936	-0.016556242	-0.024139839
14748.CAGE45.MSPFB6.L10.1	0.003675599	0.079138503	-0.020093435
14748.CAGE1.FSPF3XTG.L14.1	0.022140861808331296	-0.030303578	-0.03402058
14748.CAGE20.FSPF3XTG.L3.2	-0.01135987	-0.012396381	-0.032625849
14748.CAGE16.FSPFB6.L11.1	-0.027370371	0.03652342	-0.052786314
14748.CAGE41.FSPF3XTG.L3.1	-0.027382043	-0.072536616	-0.051970938
14748.CAGE42.MSPF3XTG.L2.2	-0.05685664	-0.01454213	-0.053821949
14748.CAGE1.FSPF3XTG.L14.2	-0.048119381	-0.035837861	-0.038919645
14748.CAGE22.FSPF3XTG.L3.1	-0.016886585	-0.051492196	-0.064841432
