	Axis1_62.5	Axis2_34.4	Axis3_3.1
14748.CAGE41.FSPF3XTG.L10.1	-0.055864679	0.032925393	0.000208102
14748.CAGE21.FSPF3XTG.L9.2	-0.035436205	-0.030916442	-0.026498594
14748.CAGE41.FSPF3XTG.L2.2	-0.042683254	0.008633713	-0.015240513
14748.CAGE40.FSPF3XTG.L10.1	-0.003422141	-0.014551243	-0.078892826
14748.CAGE41.FSPF3XTG.L7.1	-0.047660308	0.010850166393593538	-0.016599115
14748.CAGE68.MSPF3XTG.L5.1	0.025233833483472145	-0.093438216	0.018659792228451128
14748.CAGE45.MSPFB6.L9.1	0.003917495	0.007789466	-0.06344894
14748.CAGE62.FSPF3XTG.L4.2	-0.055735184	-0.004745167	-0.01031986
14748.CAGE42.MSPF3XTG.L8.2	0.066594322	-0.040684535	0.091959678
14748.CAGE40.FSPF3XTG.L7.2	-0.053664074	-0.010850113	-0.030066612
14748.CAGE66.FSPFB6.L5.2	-0.070763641	0.012165213	0.003312654
14748.CAGE66.FSPFB6.L6.1	-0.071526266	0.045143308	0.008343147
14748.CAGE74.MSPFB6.L4.2	-0.087605711	0.018382187	0.047163798248930654
14748.CAGE41.FSPF3XTG.L9.1	-0.026039721	-0.018200821	-0.02534001
14748.CAGE20.FSPF3XTG.L10.2	-0.031069753	0.060783325270238484	-0.034303584
14748.CAGE66.FSPFB6.L4.2	-0.091253927	0.034981320157621586	0.074307195
14748.CAGE41.FSPF3XTG.L7.2	-0.047321734	0.015430499255841544	-0.044695911
14748.CAGE45.MSPFB6.L9.2	0.061968111	-0.011693159	0.031769241
14748.CAGE40.FSPF3XTG.L10.2	-0.027784473	-0.011566866	-0.05007597
14748.CAGE40.FSPF3XTG.L9.2	-0.037352829	0.023127058960151096	-0.039223203
14748.CAGE69.MSPF3XTG.L5.1	0.001840586	-0.006853472	-0.057585652
14748.CAGE46.MSPFB6.L9.1	-0.041428864	0.042883319451949196	-0.050371682
14748.CAGE3.FSPF3XTG.L13.1	-0.045756533	-0.032505821	0.009313471
14748.CAGE27.FSPFB6.L4.1	-0.019919361	0.058849305	-0.011305889
14748.CAGE41.FSPF3XTG.L10.2	-0.059169501	0.035696153	0.008131441
14748.CAGE21.FSPF3XTG.L4.2	-0.02373938	-0.075675899	0.041251082592090184
14748.CAGE27.FSPFB6.L3.1	0.008364356	0.054552310464074126	-0.053288773
14748.CAGE3.FSPF3XTG.L13.2	-0.013042314	-0.042657286	-0.040093066
14748.CAGE45.MSPFB6.L3.2	-0.065125861	0.017212596842578733	0.056749076
14748.CAGE7.FSPFB6.L13.1	-0.000214828	-0.053895899	-0.047508256
14748.CAGE22.FSPF3XTG.L4.2	-0.004974051	0.016254926	-0.042609423
14748.CAGE50.FSPF3XTG.L2.1	0.001425407	0.031205582448181054	-0.05956427
14748.CAGE1.FSPF3XTG.L15.2	0.000379419	0.067403657	-0.044146758
14748.CAGE50.FSPF3XTG.L2.2	0.009855693	0.015333918409990386	-0.057527981
14748.CAGE42.MSPF3XTG.L8.1	-0.016414806	0.007769122	-0.034323793
14748.CAGE40.FSPF3XTG.L9.1	-0.025519797	0.019295107	-0.058825816
14748.CAGE40.FSPF3XTG.L7.1	-0.031351866	0.002284937	-0.063139689
14748.CAGE6.FSPF3XTG.L14.2	0.004951904	-0.001500541	-0.123836494
14748.CAGE41.FSPF3XTG.L9.2	-0.049166332	-0.002546849	-0.022149892
14748.CAGE27.FSPFB6.L1.2	-0.070208985	0.075159182	0.065285928
14748.CAGE66.FSPFB6.L5.1	-0.068197648	0.006321316	0.011643010817089376
14748.CAGE12.FSPF3XTG.L8.2	-0.041197495	0.014407844870797203	-0.049609754
14748.CAGE40.FSPF3XTG.L1.2	0.013768303345662465	0.020789438	-0.086651035
14748.CAGE74.MSPFB6.L4.1	-0.088251191	-0.009054906	0.05761624
14748.CAGE66.FSPFB6.L6.2	-0.02520876	0.081768188	-0.044155155
14748.CAGE12.FSPF3XTG.L9.2	0.023222082	-0.047803806	-0.008548539
14748.CAGE6.FSPF3XTG.L13.2	0.07937089	0.11367759897752683	-0.021350497
14748.CAGE12.FSPF3XTG.L9.1	0.043563717	-0.019361548	0.019931511306640896
14748.CAGE40.FSPF3XTG.L2.1	0.017045798	-0.019874304	-0.028691506
14748.CAGE40.FSPF3XTG.L2.2	0.039115251	-0.056462732	0.019240538070835866
14748.CAGE62.FSPF3XTG.L4.1	0.016268017	0.046717548	-0.124720472
14748.CAGE16.FSPFB6.L12.1	-0.053617922	0.065557473	0.014357541732804008
14748.CAGE45.MSPFB6.L3.1	-0.020033141	0.028480883174902702	-0.042511508
14748.CAGE47.MSPFB6.L2.1	-0.034920904	0.025202593724579357	-0.010213284
14748.CAGE21.FSPF3XTG.L4.1	0.056078814	-0.05828724	0.097817274
14748.CAGE50.FSPF3XTG.L1.2	0.062535379	0.098609895	-0.02081486
14748.CAGE22.FSPF3XTG.L5.1	0.056741408089540986	0.046777901	-0.07879908
14748.CAGE12.FSPF3XTG.L10.1	-0.029144962	0.007218083	-0.019751438
14748.CAGE3.FSPF3XTG.L15.1	0.008897065	0.1036764221305327	-0.03450155
14748.CAGE3.FSPF3XTG.L15.2	0.032125347	0.13983577418834592	0.005814387
14748.CAGE40.FSPF3XTG.L3.1	0.021742615651178823	-0.088502069	-0.021115574
14748.CAGE20.FSPF3XTG.L6.1	-0.040147471	0.032121502	-0.000397929
14748.CAGE46.MSPFB6.L3.1	-0.016974204	0.072887214	-0.015499151
14748.CAGE1.FSPF3XTG.L15.1	0.044635663	0.1195873896958643	-0.045416206
14748.CAGE22.FSPF3XTG.L4.1	0.068034489	-0.02415876	0.061644455452676515
14748.CAGE6.FSPF3XTG.L14.1	-0.009779995	0.018964667374000953	-0.076662406
14748.CAGE7.FSPFB6.L13.2	-0.02536838	-0.02177471	-0.045120073
14748.CAGE27.FSPFB6.L4.2	-0.035716072	0.049644552300396876	-0.00344933
14748.CAGE47.MSPFB6.L3.2	-0.065197228	0.059669109	0.028469167989339385
14748.CAGE21.FSPF3XTG.L5.2	0.026158181020972088	-0.070500906	-0.013234872
14748.CAGE16.FSPFB6.L10.2	-0.01822564	-0.022326606	-0.066075008
14748.CAGE20.FSPF3XTG.L3.1	0.031638551	-0.072367259	0.036375728285788896
14748.CAGE42.MSPF3XTG.L2.1	0.046125228054088196	-0.033169474	-0.091106157
14748.CAGE54.FSPFB6.L2.1	-0.064089055	0.052515133	0.039102479
14748.CAGE27.FSPFB6.L6.2	0.062622326	0.17693983862896165	0.052016056
14748.CAGE27.FSPFB6.L6.1	-0.061026821	0.044639435134721676	0.008421179
14748.CAGE7.FSPFB6.L15.2	-0.020316025	-0.024321977	-0.058789978
14748.CAGE45.MSPFB6.L2.1	-0.048337516	0.031349286	-0.000502986
14748.CAGE12.FSPF3XTG.L10.2	0.046420172679302256	-0.075886136	0.063971695
14748.CAGE21.FSPF3XTG.L3.1	0.031722933	-0.049429326	-0.0352212
14748.CAGE40.FSPF3XTG.L3.2	0.070405341	-0.074230065	0.032701035
14748.CAGE50.FSPF3XTG.L3.2	0.094929587	0.07714178	-0.007618675
14748.CAGE50.FSPF3XTG.L3.1	0.082380574	0.093081465	-0.043890071
14748.CAGE46.MSPFB6.L3.2	-0.025392729	0.057592406	0.023260637
14748.CAGE16.FSPFB6.L10.1	0.009340617	0.002783112	-0.071624129
14748.CAGE41.FSPF3XTG.L2.1	0.019307328148298414	-0.03126563	-0.055082986
14748.CAGE21.FSPF3XTG.L5.1	0.082370372	0.015157183374619135	-0.009523832
14748.CAGE7.FSPFB6.L15.1	-0.001359543	-0.023934295	-0.037580738
14748.CAGE42.MSPF3XTG.L9.2	-0.027307856	-0.046030453	0.008124894
14748.CAGE20.FSPF3XTG.L9.2	-0.055189767	-0.001354802	0.020720165270423117
14748.CAGE42.MSPF3XTG.L10.1	-0.054724139	-0.01212851	0.042913188
14748.CAGE45.MSPFB6.L10.1	-0.068770135	0.027412856	0.00020035
14748.CAGE1.FSPF3XTG.L14.1	-0.01110104	-0.062183312	-0.023569062
14748.CAGE20.FSPF3XTG.L3.2	-0.022699494	-0.025142298	-0.024873693
14748.CAGE16.FSPFB6.L11.1	0.003198329	0.032790332	-0.057783437
14748.CAGE41.FSPF3XTG.L3.1	0.056412697	-0.062077085	0.070730042
14748.CAGE42.MSPF3XTG.L2.2	0.042010737	-0.023062752	-0.086557511
14748.CAGE1.FSPF3XTG.L14.2	0.046320139	-0.064236655	-0.007859049
14748.CAGE22.FSPF3XTG.L3.1	0.017701063	-0.062018593	0.024543665
14748.CAGE16.FSPFB6.L11.2	0.043877879	-0.04147617	-0.062323153
14748.CAGE46.MSPFB6.L2.1	-0.085423816	0.019758798947205697	0.1036183608563076
14748.CAGE41.FSPF3XTG.L3.2	0.060387506	-0.062325559	0.05943627
14748.CAGE47.MSPFB6.L10.1	-0.067298544	0.013228705558294132	0.009075686
14748.CAGE40.FSPF3XTG.L4.1	0.058132354631689274	0.059173026	-0.065864547
14748.CAGE40.FSPF3XTG.L4.2	0.11680528151302623	0.14631794107734244	0.10495038598587461
14748.CAGE20.FSPF3XTG.L4.1	0.039252398	-0.081443998	0.040023801
14748.CAGE12.FSPF3XTG.L12.2	-0.04590924	-0.016714923	-0.034646228
14748.CAGE45.MSPFB6.L2.2	-0.073542374	0.042808392	0.058497252
