	Axis1_63.9	Axis2_30.7	Axis3_5.3
14748.MOUSE103.CAGE68.MSPF3XTG.S7	-0.092612109	-0.061681246	0.17953554569376515
14748.MOUSE10.CAGE3.FSPF3XTG.S15	0.121381262	-0.221237943	-0.120037609
14748.MOUSE17.CAGE1.FSPF3XTG.S15	0.045354796	-0.113836001	-0.042349552
14748.MOUSE13.CAGE6.FSPFB6.S15	-0.102746277	0.064657444	-0.051230367
14748.MOUSE14.CAGE6.FSPFB6.S15	-0.042721579	0.10054701538327564	-0.210868545
14748.MOUSE9.CAGE3.FSPF3XTG.S15	0.005365826	-0.158757288	-0.158270981
14748.MOUSE33.CAGE12.FSPF3XTG.S15	-0.018053342	-0.139211922	0.36052966483729565
14748.MOUSE50.CAGE50.FSPF3XTG.S7	-0.020265753	-0.14593574	-0.000354696
14748.MOUSE56.CAGE53.FSPF3XTG.S7	-0.012311615	0.1702951584282793	0.2736363933875778
14748.MOUSE53.CAGE50.FSPF3XTG.S7	0.091093958	-0.159890168	0.018190444
14748.MOUSE58.CAGE53.FSPF3XTG.S7	-0.215091173	0.1684625265917488	0.15050159175985503
14748.MOUSE51.CAGE50.FSPF3XTG.S7	0.28424618163394144	-0.138073444	0.079979208
14748.MOUSE59.CAGE54.FSPFB6.S7	0.1634512480792352	0.18678733124294883	0.050696513
14748.MOUSE60.CAGE54.FSPFB6.S7	0.01791103	0.12055868440106937	-0.04798931
14748.MOUSE89.CAGE22.FSPF3XTG.S12	0.005903354	-0.098032684	0.053228797
14748.MOUSE87.CAGE21.FSPF3XTG.S12	-0.070956773	-0.138110315	-0.072704898
14748.MOUSE11.CAGE6.FSPFB6.S15	0.17254325582680216	0.12375262001447347	-0.102328164
14748.MOUSE18.CAGE1.FSPF3XTG.S15	0.081208885	0.014040652332396306	-0.052477626
14748.MOUSE54.CAGE50.FSPF3XTG.S7	-0.108854295	-0.141114415	-0.072985194
14748.MOUSE116.CAGE62.FSPF3XTG.S7	0.3264825024783155	-0.162729896	0.27273760165699834
14748.MOUSE105.CAGE69.MSPF3XTG.S7	-0.113328102	-0.086401123	0.082713484
14748.MOUSE72.CAGE20.FSPF3XTG.S12	-0.076863404	-0.112031857	-0.018934841
14748.MOUSE126.CAGE40.MSPF3XTG.S12	-0.032279084	-0.202476492	-0.259795853
14748.MOUSE79.CAGE27.FSPFB6.S12	0.12288020816884317	0.1473568526810642	0.039658579120873165
14748.MOUSE77.CAGE27.FSPFB6.S12	0.061987218136327904	0.17196461684249598	-0.171188347
14748.MOUSE61.CAGE54.FSPFB6.S7	-0.077517216	0.097761242	-0.04902433
14748.MOUSE88.CAGE21.FSPF3XTG.S12	-0.12577936	-0.129263653	-0.00798417
14748.MOUSE102.CAGE68.MSPF3XTG.S7	-0.120414469	-0.124454344	0.024506339340352026
14748.MOUSE113.CAGE74.MSPFB6.S7	-0.037481636	-0.007280454	-0.062765292
14748.MOUSE110.CAGE74.MSPFB6.S7	0.11502338165105062	0.064348955	-0.160893363
14748.MOUSE80.CAGE27.FSPFB6.S12	-0.04414826	0.18833764008778509	0.017121324994242196
14748.MOUSE81.CAGE27.FSPFB6.S12	-0.145755283	0.20040017242409497	0.037519747
14748.MOUSE115.CAGE62.FSPF3XTG.S7	0.16500379309266572	-0.198340938	-0.02961054
14748.MOUSE132.CAGE42.MSPF3XTG.S12	-0.172190102	-0.024797909	-0.048722098
