	shannon_entropy
14748.CAGE41.FSPF3XTG.L10.1	5.353452887231529
14748.CAGE21.FSPF3XTG.L9.2	4.149889205333816
14748.CAGE41.FSPF3XTG.L2.2	3.8500895321160646
14748.CAGE40.FSPF3XTG.L10.1	4.574566496840083
14748.CAGE41.FSPF3XTG.L7.1	4.265983327797578
14748.CAGE68.MSPF3XTG.L5.1	3.8869375660942054
14748.CAGE45.MSPFB6.L9.1	4.013241834833651
14748.CAGE62.FSPF3XTG.L4.2	4.2769902099229915
14748.CAGE42.MSPF3XTG.L8.2	4.514937112658286
14748.CAGE40.FSPF3XTG.L7.2	4.57491777914652
14748.CAGE66.FSPFB6.L5.2	2.888453689052017
14748.CAGE66.FSPFB6.L6.1	3.772630742851702
14748.CAGE74.MSPFB6.L4.2	3.619329469240365
14748.CAGE41.FSPF3XTG.L9.1	3.9980460755984204
14748.CAGE20.FSPF3XTG.L10.2	4.42235460969576
14748.CAGE66.FSPFB6.L4.2	3.6097572663062536
14748.CAGE41.FSPF3XTG.L7.2	3.6951471151269883
14748.CAGE45.MSPFB6.L9.2	4.788096392085943
14748.CAGE40.FSPF3XTG.L10.2	4.688266163448775
14748.CAGE40.FSPF3XTG.L9.2	4.890317814117311
14748.CAGE69.MSPF3XTG.L5.1	4.588502578071732
14748.CAGE46.MSPFB6.L9.1	3.815466632821829
14748.CAGE3.FSPF3XTG.L13.1	4.365611761037377
14748.CAGE27.FSPFB6.L4.1	3.7390245571957603
14748.CAGE41.FSPF3XTG.L10.2	5.235094320726754
14748.CAGE21.FSPF3XTG.L4.2	2.961441606581679
14748.CAGE27.FSPFB6.L3.1	3.680236637670716
14748.CAGE3.FSPF3XTG.L13.2	3.548377828552022
14748.CAGE45.MSPFB6.L3.2	2.298114959300422
14748.CAGE7.FSPFB6.L13.1	4.012935070298181
14748.CAGE22.FSPF3XTG.L4.2	3.4510245963915454
14748.CAGE50.FSPF3XTG.L2.1	4.527608569324085
14748.CAGE1.FSPF3XTG.L15.2	4.5266032806638545
14748.CAGE50.FSPF3XTG.L2.2	3.729025747228343
14748.CAGE42.MSPF3XTG.L8.1	4.603621015473283
14748.CAGE40.FSPF3XTG.L9.1	4.823312424585095
14748.CAGE40.FSPF3XTG.L7.1	4.910455585709952
14748.CAGE6.FSPF3XTG.L14.2	2.987322950246313
14748.CAGE41.FSPF3XTG.L9.2	4.49236820458565
14748.CAGE27.FSPFB6.L1.2	4.710292842048429
14748.CAGE66.FSPFB6.L5.1	2.7923013496656814
