"Sample ID"	Current_Natural_Log_Ratio
14957.MOUSE67.CAGE112.FSPFWT.S5	1.1786549963416462
14957.CAGE147.FSPFHET.L1.1	-0.36290549368936853
14957.CAGE97.FSPFHET.L3.2	1.0647107369924282
14957.CAGE189.MSPFHET.L4.1	-1.7346010553881066
14957.MOUSE74.CAGE114.FSPFWT.S5	-2.70805020110221
14957.CAGE147.FSPFHET.L5.2	null
14957.CAGE113.FSPFHET.L3.2	-0.810930216216329
14957.CAGE78.MSPFHET.L3.1	-0.47000362924573547
14957.CAGE189.MSPFHET.L3.1	0
14957.MOUSE25.CAGE79.MSPFWT.S8	-1.921812597476253
14957.CAGE114.FSPFWT.L3.2	-1.3862943611198906
14957.MOUSE28.CAGE80.MSFPWT.S8	-3.2188758248682006
14957.CAGE98.FSPFWT.L3.2	2.197224577336219
14957.MOUSE46.CAGE98.FSPFWT.S5	-0.25131442828090633
14957.MOUSE20.CAGE78.MSPFHET.S8	-0.09531017980432477
14957.CAGE97.FSPFHET.L2.2	-0.5596157879354227
14957.CAGE114.FSPFWT.L2.1	-0.15415067982725827
14957.CAGE113.FSPFHET.L2.2	2.3978952727983707
14957.CAGE98.FSPFWT.L2.1	0.10536051565782634
14957.CAGE80.MSPFWT.L5.2	1.9459101490553132
14957.MOUSE69.CAGE112.FSPFWT.S5	null
14957.MOUSE90.CAGE144.MSPFWT.S5	2.0794415416798357
14957.MOUSE68.CAGE112.FSPFWT.S5	1.4663370687934272
14957.CAGE175.MSPFHET.L4.1	null
14957.CAGE96.FSPFHET.L1.1	null
14957.CAGE162.FSPFWT.L7.2	2.3353749158170367
14957.MOUSE21.CAGE78.MSPFHET.S8	-1.4350845252893227
14957.CAGE78.MSPFHET.L6.1	null
14957.MOUSE33.CAGE96.FSPFHET.S5	-0.47000362924573547
14957.MOUSE37.CAGE97.FSPFHET.S5	0.5877866649021193
14957.CAGE77.MSPFHET.L5.2	null
14957.MOUSE38.CAGE97.FSPFHET.S5	-0.18232155679395468
14957.CAGE98.FSPFWT.L1.1	null
14957.MOUSE82.CAGE142.MSPFWT.S5	-1.4250088733005812
14957.CAGE96.FSPFHET.L2.2	null
14957.CAGE112.FSPFWT.L2.1	1.7917594692280552
14957.CAGE79.MSPFWT.L5.2	null
14957.MOUSE30.CAGE80.MSFPWT.S8	-2.517696472610991
14957.CAGE147.FSPFHET.L5.1	1.6094379124341005
14957.CAGE98.FSPFWT.L1.2	1.2039728043259363
14957.CAGE96.FSPFHET.L2.1	null
14957.CAGE79.MSPFWT.L5.1	2.3978952727983707
14957.CAGE78.MSPFHET.L5.2	0
14957.MOUSE83.CAGE142.MSPFWT.S5	-4.046553898385752
14957.MOUSE17.CAGE77.MSPFHET.S8	-2.3150076129926034
14957.MOUSE47.CAGE98.FSPFWT.S5	0
14957.MOUSE29.CAGE80.MSFPWT.S8	-1.4350845252893225
14957.CAGE97.FSPFHET.L2.1	1.252762968495368
14957.CAGE80.MSPFWT.L5.1	null
14957.CAGE113.FSPFHET.L2.1	0.916290731874155
14957.MOUSE87.CAGE144.MSPFWT.S5	null
14957.CAGE112.FSPFWT.L2.2	1.09861228866811
14957.CAGE162.FSPFWT.L7.1	0.4700036292457357
14957.MOUSE88.CAGE144.MSPFWT.S5	1.4663370687934272
14957.MOUSE89.CAGE144.MSPFWT.S5	0.6931471805599454
14957.CAGE113.FSPFHET.L3.1	-1.09861228866811
14957.CAGE189.MSPFHET.L3.2	null
14957.CAGE114.FSPFWT.L3.1	2.302585092994046
14957.CAGE78.MSPFHET.L5.1	null
14957.CAGE77.MSPFHET.L5.1	null
14957.MOUSE15.CAGE77.MSPFHET.S8	-1.9187591599893623
14957.CAGE97.FSPFHET.L1.1	null
14957.MOUSE26.CAGE79.MSPFWT.S8	-3.5388867844353413
14957.CAGE97.FSPFHET.L3.1	null
14957.MOUSE75.CAGE114.FSPFWT.S5	null
14957.MOUSE27.CAGE80.MSFPWT.S8	null
14957.CAGE97.FSPFHET.L1.2	1.01160091167848
14957.CAGE98.FSPFWT.L3.1	2.70805020110221
14957.MOUSE45.CAGE98.FSPFWT.S5	2.0794415416798357
14957.CAGE136.MSPFWT.L5.2	0.9162907318741553
14957.CAGE78.MSPFHET.L4.2	-1.1700712526502546
14957.CAGE154.FSPFHET.L5.1	-0.6931471805599454
14957.CAGE150.FSPFHET.L7.2	1.6094379124341005
14957.CAGE98.FSPFWT.L2.2	0.9162907318741553
14957.MOUSE34.CAGE96.FSPFHET.S5	2.8903717578961645
14957.CAGE114.FSPFWT.L2.2	0.7884573603642704
14957.CAGE175.MSPFHET.L4.2	1.203972804325936
14957.MOUSE70.CAGE113.FSPFHET.S5	null
14957.MOUSE94.CAGE148.FSPFHET.S8	null
14957.CAGE112.FSPFWT.L3.1	1.9459101490553132
14957.CAGE96.FSPFHET.L3.1	3.4965075614664802
14957.MOUSE23.CAGE79.MSPFWT.S8	-3.4339872044851463
14957.CAGE185.MSPFWT.L3.1	-0.5596157879354227
14957.MOUSE71.CAGE113.FSPFHET.S5	1.8718021769015913
14957.MOUSE35.CAGE97.FSPFHET.S5	null
14957.CAGE96.FSPFHET.L1.2	2.6741486494265287
14957.MOUSE72.CAGE113.FSPFHET.S5	0.6931471805599452
14957.MOUSE95.CAGE148.FSPFHET.S8	null
14957.MOUSE96.CAGE148.FSPFHET.S8	null
14957.MOUSE24.CAGE79.MSPFWT.S8	-2.9177707320842785
14957.MOUSE36.CAGE97.FSPFHET.S5	0.8754687373539001
14957.CAGE185.MSPFWT.L3.2	null
14957.CAGE112.FSPFWT.L3.2	0.2231435513142097
14957.MOUSE73.CAGE114.FSPFWT.S5	1.4906543764441333
14957.MOUSE91.CAGE144.MSPFWT.S5	null
14957.MOUSE107.CAGE154.FSPFHET.S8	1.6739764335716716
14957.CAGE184.MSPFHET.L2.1	-0.47000362924573524
14957.CAGE148.FSPFHET.L7.1	2.8903717578961645
14957.CAGE80.MSPFWT.L2.2	-2.4423470353692043
14957.CAGE147.FSPFHET.L2.1	1.3862943611198904
14957.CAGE142.MSPFWT.L3.1	-1.3862943611198904
14957.CAGE136.MSPFWT.L5.1	0.47000362924573547
14957.CAGE150.FSPFHET.L5.2	0
14957.CAGE80.MSPFWT.L4.1	null
14957.CAGE151.MSPFWT.L5.1	null
14957.CAGE151.MSPFWT.L7.1	1.0986122886681096
14957.CAGE79.MSPFWT.L3.1	null
14957.CAGE147.FSPFHET.L7.1	null
14957.CAGE80.MSPFWT.L4.2	null
14957.CAGE136.MSPFWT.L4.1	-0.4054651081081644
14957.CAGE148.FSPFHET.L7.2	null
14957.CAGE184.MSPFHET.L2.2	null
14957.CAGE142.MSPFWT.L2.2	0.8472978603872034
14957.CAGE78.MSPFHET.L4.1	-2.0794415416798357
14957.CAGE189.MSPFHET.L2.2	-0.11778303565638382
14957.CAGE145.FSPFWT.L2.2	-1.0055218656020979
14957.CAGE147.FSPFHET.L2.2	2.9444389791664403
14957.CAGE148.FSPFHET.L5.1	-0.13353139262452252
14957.CAGE189.MSPFHET.L4.2	-0.09531017980432477
14957.CAGE173.MSPFWT.L4.2	null
14957.CAGE145.FSPFWT.L7.2	-1.4469189829363256
14957.CAGE162.FSPFWT.L4.2	0.13353139262452252
14957.CAGE162.FSPFWT.L4.1	0.4054651081081643
