"Sample ID"	Current_Natural_Log_Ratio	strain_sex	strain_sex
14957.MOUSE67.CAGE112.FSPFWT.S5	-2.311375475776064	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE147.FSPFHET.L1.1	-3.448173419904702	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE97.FSPFHET.L3.2	-1.1935540484185942	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE189.MSPFHET.L4.1	0.26504435271622384	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE74.CAGE114.FSPFWT.S5	-0.7524872861205623	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE147.FSPFHET.L5.2	-7.471015164743967	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE113.FSPFHET.L3.2	1.2498880223593378	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE78.MSPFHET.L3.1	1.3493957458668273	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE189.MSPFHET.L3.1	0.06832649526729995	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE25.CAGE79.MSPFWT.S8	-0.7548350534420667	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE16.CAGE77.MSPFHET.S8	2.6648971335584815	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE114.FSPFWT.L3.2	-0.1415116735086741	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE28.CAGE80.MSFPWT.S8	0.03385740059066222	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE98.FSPFWT.L3.2	-3.639099553548002	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE46.CAGE98.FSPFWT.S5	-1.036534844373639	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE20.CAGE78.MSPFHET.S8	-1.6698049800411052	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE19.CAGE78.MSPFHET.S8	1.8143168328278527	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE77.MSPFHET.L6.1	-1.4198260782983052	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE97.FSPFHET.L2.2	2.1442512012543915	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE32.CAGE96.FSPFHET.S5	-0.20670076246544689	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE114.FSPFWT.L2.1	0.1216138487140288	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE113.FSPFHET.L2.2	-2.156742509569776	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE98.FSPFWT.L2.1	-1.6048717093263551	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE80.MSPFWT.L5.2	-1.2331368534976885	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE69.CAGE112.FSPFWT.S5	-3.3254572453176543	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE90.CAGE144.MSPFWT.S5	-0.24467672638252402	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE68.CAGE112.FSPFWT.S5	-2.776161962439245	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE175.MSPFHET.L4.1	-3.2530123675404603	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE96.FSPFHET.L1.1	-2.305487964101042	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE162.FSPFWT.L7.2	-1.2416984497306505	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE21.CAGE78.MSPFHET.S8	0.72607669974259	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE78.MSPFHET.L6.1	-2.747543748767006	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE31.CAGE96.FSPFHET.S5	-1.4654248616777874	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE33.CAGE96.FSPFHET.S5	-0.5263204034999145	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE37.CAGE97.FSPFHET.S5	-2.6956716864723145	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE77.MSPFHET.L5.2	-1.472029300706966	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE38.CAGE97.FSPFHET.S5	-0.7511712965555546	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE98.FSPFWT.L1.1	-3.5299845861080765	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE82.CAGE142.MSPFWT.S5	-3.81902152242108	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE96.FSPFHET.L2.2	-2.5654966361278344	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE112.FSPFWT.L2.1	-4.292536870983932	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE79.MSPFWT.L5.2	-1.173862673069884	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE30.CAGE80.MSFPWT.S8	0.7936722989206864	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE147.FSPFHET.L5.1	-3.7036208824329453	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE98.FSPFWT.L1.2	-1.7014599651172908	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE96.FSPFHET.L2.1	-0.7512411275515838	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE79.MSPFWT.L5.1	-2.140375945987186	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE78.MSPFHET.L5.2	-0.467643850681128	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE83.CAGE142.MSPFWT.S5	-2.05186903603909	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE17.CAGE77.MSPFHET.S8	2.7027428240669575	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE47.CAGE98.FSPFWT.S5	-1.37711050305224	"WT 5XFAD_female"	"WT 5XFAD_female"
