sample_name	Axis1_0.790	Axis2_0.193	Axis3_0.017
14957.MOUSE67.CAGE112.FSPFWT.S5	-0.01212152	-0.044176413	-0.07298662
14957.CAGE147.FSPFHET.L1.1	-0.054707412	-0.125361638	0.13015835559093653
14957.CAGE97.FSPFHET.L3.2	-0.063782055	0.057528476	-0.057723273
14957.CAGE189.MSPFHET.L4.1	0.041136013	-0.073013235	-0.068572019
14957.MOUSE74.CAGE114.FSPFWT.S5	0.044581260379162435	-0.054442469	0.043940727
14957.CAGE147.FSPFHET.L5.2	-0.14296167	0.022107123	0.014491859662020322
14957.CAGE113.FSPFHET.L3.2	0.039621902047331146	0.019540363747982067	-0.037329821
14957.CAGE78.MSPFHET.L3.1	0.045003599	0.014593886905855395	-0.033740761
14957.CAGE189.MSPFHET.L3.1	0.026417890510834555	-0.017691465	-0.032803408
14957.MOUSE25.CAGE79.MSPFWT.S8	0.003895426	0.044544499	0.078472548
14957.MOUSE16.CAGE77.MSPFHET.S8	0.075297941	0.12296535004575003	0.20505054367880085
14957.CAGE114.FSPFWT.L3.2	0.009452694	0.020146666188135424	-0.053676084
14957.MOUSE28.CAGE80.MSFPWT.S8	0.044829104	0.038165446	-0.006114112
14957.CAGE98.FSPFWT.L3.2	-0.118808973	0.069106146	0.019456127090883974
14957.MOUSE46.CAGE98.FSPFWT.S5	0.012762974163772211	0.007310627	-0.054829289
14957.MOUSE20.CAGE78.MSPFHET.S8	-0.046320531	0.11443531288668705	0.030750795
14957.MOUSE19.CAGE78.MSPFHET.S8	0.085292262	0.089541359	0.097952887
14957.CAGE77.MSPFHET.L6.1	-0.004669381	-0.006513387	0.058044968516729904
14957.CAGE97.FSPFHET.L2.2	0.076809616	0.012456605409817967	-0.032599903
14957.MOUSE32.CAGE96.FSPFHET.S5	0.030596823	-0.014321638	-0.041268721
14957.CAGE114.FSPFWT.L2.1	0.041330347	-0.033456521	-0.029122075
14957.CAGE113.FSPFHET.L2.2	-0.086606948	0.082978653	-0.0372484
14957.CAGE98.FSPFWT.L2.1	-0.021243111	0.043140194036657364	-0.047511102
14957.CAGE80.MSPFWT.L5.2	-0.000464361	-0.03728014	-0.130060874
14957.MOUSE69.CAGE112.FSPFWT.S5	-0.058232245	-0.00813622	-0.0228521
14957.MOUSE90.CAGE144.MSPFWT.S5	-0.000727105	0.034030767859096624	0.013401212268747974
14957.MOUSE68.CAGE112.FSPFWT.S5	-0.031912557	-0.033729331	-0.078722358
14957.CAGE175.MSPFHET.L4.1	-0.114797044	0.087192443	0.097720652
14957.CAGE96.FSPFHET.L1.1	-0.107812429	0.06488695	-0.00278058
14957.CAGE162.FSPFWT.L7.2	-0.03731957	-0.012023553	-0.071497314
14957.MOUSE21.CAGE78.MSPFHET.S8	0.035023711	0.076278307	0.025665474
14957.CAGE78.MSPFHET.L6.1	-0.082500285	0.026169103427157198	-0.102579929
14957.MOUSE31.CAGE96.FSPFHET.S5	-0.006491408	-0.001705319	-0.00243344
14957.MOUSE33.CAGE96.FSPFHET.S5	0.041111169	-0.031945319	-0.020903881
14957.MOUSE37.CAGE97.FSPFHET.S5	-0.059307568	0.012125715858452743	-0.021150782
14957.CAGE77.MSPFHET.L5.2	-0.070385551	0.1209765591310211	0.12515609957815474
14957.MOUSE38.CAGE97.FSPFHET.S5	0.0338738	-0.02714397	-0.044933898
14957.CAGE98.FSPFWT.L1.1	-0.131498681	0.13334627738076066	0.059730026
14957.MOUSE82.CAGE142.MSPFWT.S5	-0.047927385	-0.105912477	0.11721047388351245
14957.CAGE96.FSPFHET.L2.2	-0.104731406	0.054849790807634635	0.013834705
14957.CAGE112.FSPFWT.L2.1	-0.103932809	0.008165383	0.003377873
14957.CAGE79.MSPFWT.L5.2	-0.032495934	0.027731224	-0.131645851
14957.MOUSE30.CAGE80.MSFPWT.S8	0.068643779	0.091632301	0.072898178
14957.CAGE147.FSPFHET.L5.1	-0.05158739	-0.172900143	-0.011790853
14957.CAGE98.FSPFWT.L1.2	-0.033088368	0.050540913	-0.048998937
14957.CAGE96.FSPFHET.L2.1	-0.016974037	0.039717162	-0.030520449
14957.CAGE79.MSPFWT.L5.1	-0.036928389	0.025052451961851817	-0.082216606
14957.CAGE78.MSPFHET.L5.2	0.003807408	0.008450159	-0.192210153
14957.MOUSE83.CAGE142.MSPFWT.S5	0.002855153	-0.045213985	0.084025093
14957.MOUSE17.CAGE77.MSPFHET.S8	0.076833445	0.068143508	0.074137578
14957.MOUSE47.CAGE98.FSPFWT.S5	0.006516746	0.001093619	-0.037130291
14957.MOUSE29.CAGE80.MSFPWT.S8	0.035170271	0.054028535160179324	0.030285039448497152
14957.CAGE97.FSPFHET.L2.1	0.023275153	-0.004260186	-0.059732865
14957.CAGE80.MSPFWT.L5.1	0.080220878	-0.017961559	-0.09759315
14957.CAGE113.FSPFHET.L2.1	0.003124128	0.042571769529855856	-0.035281403
14957.MOUSE87.CAGE144.MSPFWT.S5	-0.143970469	0.092360441	0.037960476974251686
14957.CAGE112.FSPFWT.L2.2	-0.009340807	0.020686207058842384	-0.093453116
14957.CAGE162.FSPFWT.L7.1	-0.04573911	-0.011235576	0.01193187
14957.MOUSE18.CAGE77.MSPFHET.S8	0.090049767	0.055732368	0.1380354958314532
14957.MOUSE88.CAGE144.MSPFWT.S5	0.000882926	0.015839176032034642	-0.046143149
14957.MOUSE89.CAGE144.MSPFWT.S5	-0.004813874	0.049551602338920316	-0.032367142
14957.CAGE113.FSPFHET.L3.1	0.038221409	-0.015913692	-0.02775582
14957.CAGE189.MSPFHET.L3.2	-0.025647525	0.036222646258543025	-0.059602921
14957.CAGE114.FSPFWT.L3.1	-0.032397499	0.000270524	-0.068553809
14957.CAGE78.MSPFHET.L5.1	-0.026538583	-0.017155293	-0.156760796
14957.CAGE77.MSPFHET.L5.1	-0.137098327	0.11090982730651537	0.053394498
14957.MOUSE15.CAGE77.MSPFHET.S8	0.066716333	0.1271303138176038	0.13124332189305862
14957.CAGE97.FSPFHET.L1.1	-0.107816911	0.11710928930350456	0.027633872200311802
14957.MOUSE26.CAGE79.MSPFWT.S8	0.13710858506405701	7.734139188638149e-05	0.097914094
14957.CAGE97.FSPFHET.L3.1	-0.081798801	0.08332321	-0.00455212
14957.MOUSE75.CAGE114.FSPFWT.S5	0.1314322715853442	-0.008134165	-0.000266633
14957.MOUSE27.CAGE80.MSFPWT.S8	0.11878260591969358	0.025638352	0.10075266766233035
14957.CAGE97.FSPFHET.L1.2	0.00642264	-0.017368747	-0.104300803
14957.CAGE98.FSPFWT.L3.1	-0.141795781	0.11378842718148016	0.077737757
14957.MOUSE45.CAGE98.FSPFWT.S5	-0.041272683	0.002797431	-0.048535438
14957.CAGE136.MSPFWT.L5.2	-0.034762297	-0.110173803	-0.005979121
