	Axis1_66.8	Axis2_31.8	Axis3_1.4
14957.MOUSE67.CAGE112.FSPFWT.S5	-0.085608072	-0.048838625	0.19092895707666055
14957.MOUSE74.CAGE114.FSPFWT.S5	0.065806758	-0.176520845	-0.092824137
14957.MOUSE25.CAGE79.MSPFWT.S8	0.095850913	-0.038014895	-0.02540625
14957.MOUSE28.CAGE80.MSFPWT.S8	0.082055029	-0.18802968	0.040875796
14957.MOUSE46.CAGE98.FSPFWT.S5	0.003030273	-0.03380945	0.2687062789867069
14957.MOUSE20.CAGE78.MSPFHET.S8	-0.104518073	-0.070127992	-0.040780186
14957.MOUSE69.CAGE112.FSPFWT.S5	-0.190221899	-0.070500575	-0.118726564
14957.MOUSE90.CAGE144.MSPFWT.S5	-0.116266198	-0.11803611	-0.143443761
14957.MOUSE68.CAGE112.FSPFWT.S5	-0.130350853	-0.023139775	0.17517008656675268
14957.MOUSE21.CAGE78.MSPFHET.S8	0.079891212	-0.078506266	0.000290387
14957.MOUSE33.CAGE96.FSPFHET.S5	-0.020066101	-0.15721814	0.1586523644203345
14957.MOUSE37.CAGE97.FSPFHET.S5	-0.157313997	-0.092030753	-0.037429553
14957.MOUSE38.CAGE97.FSPFHET.S5	0.010702609132815708	-0.145276521	0.13983583195436122
14957.MOUSE82.CAGE142.MSPFWT.S5	-0.012085632	0.093094004	0.094298784
14957.MOUSE30.CAGE80.MSFPWT.S8	0.15621296010975155	-0.078491851	-0.153061611
14957.MOUSE83.CAGE142.MSPFWT.S5	0.057022384012235035	0.15771118621604416	-0.147577728
14957.MOUSE17.CAGE77.MSPFHET.S8	0.1536352446385753	0.031377101	-0.103527593
14957.MOUSE47.CAGE98.FSPFWT.S5	-0.005339188	-0.040815903	0.19288016853935824
14957.MOUSE29.CAGE80.MSFPWT.S8	0.10790690167447724	0.047503555	0.063467133
14957.MOUSE87.CAGE144.MSPFWT.S5	-0.279630437	0.042132275	-0.351307193
14957.MOUSE88.CAGE144.MSPFWT.S5	-0.117089667	-0.113653091	0.005099997
14957.MOUSE89.CAGE144.MSPFWT.S5	-0.114866222	-0.026372196	0.058986948
14957.MOUSE15.CAGE77.MSPFHET.S8	0.13950916623281928	0.10027203858006067	-0.184715129
14957.MOUSE26.CAGE79.MSPFWT.S8	0.19316253257172356	-0.002395751	-0.241154452
14957.MOUSE75.CAGE114.FSPFWT.S5	0.06986024	-0.288372674	-0.079509627
14957.MOUSE27.CAGE80.MSFPWT.S8	0.1810918984194511	-0.132369958	-0.078325578
14957.MOUSE45.CAGE98.FSPFWT.S5	-0.159454812	-0.0732303	0.004877937
14957.MOUSE34.CAGE96.FSPFHET.S5	-0.213874865	0.037327726	-0.050687714
14957.MOUSE70.CAGE113.FSPFHET.S5	-0.187823036	0.080080935	0.008241039
14957.MOUSE94.CAGE148.FSPFHET.S8	-0.248561665	0.046286536	-0.16831089
14957.MOUSE23.CAGE79.MSPFWT.S8	0.12069892123878681	-0.069572168	-0.040536975
14957.MOUSE71.CAGE113.FSPFHET.S5	-0.148643835	-0.064452976	0.07603072
14957.MOUSE35.CAGE97.FSPFHET.S5	-0.035038507	-0.237859112	-0.061150631
14957.MOUSE72.CAGE113.FSPFHET.S5	-0.132558972	0.098394038	0.14373916303846904
14957.MOUSE95.CAGE148.FSPFHET.S8	-0.256167201	0.09163707	-0.304674997
14957.MOUSE96.CAGE148.FSPFHET.S8	-0.193058497	0.019182676972558294	-0.058679004
14957.MOUSE24.CAGE79.MSPFWT.S8	0.1788768338365598	-0.040840666	-0.072360798
14957.MOUSE36.CAGE97.FSPFHET.S5	-0.076090758	0.085749956	0.12439731649334859
14957.MOUSE73.CAGE114.FSPFWT.S5	0.017358794386454064	0.18316284202496275	-0.087309399
14957.MOUSE91.CAGE144.MSPFWT.S5	-0.135002361	-0.14449421	-0.054782076
14957.MOUSE107.CAGE154.FSPFHET.S8	-0.037261121	-1.34E-05	0.1816955165227149
14957.MOUSE113.CAGE162.FSPFWT.S8	0.12206856418575268	-0.061634188	-0.037318689
14957.MOUSE108.CAGE173.MSPFWT.S8	0.053553525	-0.06666955	0.033863718
14957.MOUSE122.CAGE184.MSPFHETS5	0.126633694	-0.138260483	-0.099907462
14957.MOUSE104.CAGE136.MSPFWT.S8	0.026173809	-0.181237974	0.084837604
14957.MOUSE139.CAGE145.FSPFWT.S8	0.11535160438035022	0.098115998	-0.121151051
14957.MOUSE124.CAGE185.MSPFWT.S5	0.10226435976635323	0.15452961546209973	0.033895921727880765
14957.MOUSE103.CAGE136.MSPFWT.S8	-0.014789063	-0.103146247	0.17621475088124128
14957.MOUSE114.CAGE162.FSPFWT.S8	0.023780171471604168	0.095664553	0.028496612085489304
14957.MOUSE100.CAGE151.MSPFWT.S8	0.082677521	0.089379812	0.169440747
14957.MOUSE115.CAGE175.MSPFHET.S5	0.11740070292500247	0.099015471	-0.084132259
14957.MOUSE135.CAGE145.FSPFWT.S8	0.007574291	0.23675243442472396	0.069711479
14957.MOUSE136.CAGE145.FSPFWT.S8	0.11358574316460894	0.080936842	0.024157717
14957.MOUSE98.CAGE150.FSPFHET.S8	0.12381660566083041	-0.105132187	0.013392868667902003
14957.MOUSE116.CAGE175.MSPFHET.S5	-0.11958344	0.11221300568647652	0.023141475989994102
14957.MOUSE137.CAGE145.FSPFWT.S8	0.1442885201446299	0.078972177	-0.093352244
14957.MOUSE121.CAGE184.MSPFHETS5	0.097023684	0.097411735	0.092200944
14957.MOUSE138.CAGE145.FSPFWT.S8	0.13435256706141183	0.095420803	-0.104583196
14957.MOUSE131.CAGE189.MSPFHET.S5	0.093530921	0.010546225329074987	0.022347181477350046
14957.MOUSE109.CAGE173.MSPFWT.S8	-0.127679706	0.05218205	0.1020610543942772
14957.MOUSE97.CAGE150.FSPFHET.S8	0.02365535	-0.03810562	0.15354138640046844
14957.MOUSE132.CAGE189.MSPFHET.S5	0.033312895246038164	0.22365108607891118	-0.035242879
14957.MOUSE106.CAGE154.FSPFHET.S8	0.010656182	-0.034075377	0.11660136443494601
14957.MOUSE130.CAGE189.MSPFHET.S5	0.12006560377351685	-0.008412092	0.009355043
14957.MOUSE126.CAGE185.MSPFWT.S5	-0.026692673	0.33968049541993417	0.11822901951064124
14957.MOUSE125.CAGE185.MSPFWT.S5	0.061197866130516476	0.31127336024293883	0.072306315
