	shannon_entropy
14957.MOUSE67.CAGE112.FSPFWT.S5	3.942761636041868
14957.CAGE147.FSPFHET.L1.1	4.419647702339899
14957.CAGE97.FSPFHET.L3.2	5.196695668633165
14957.CAGE189.MSPFHET.L4.1	2.5570829577280842
14957.MOUSE74.CAGE114.FSPFWT.S5	3.709412233327254
14957.CAGE147.FSPFHET.L5.2	5.049996153025295
14957.CAGE113.FSPFHET.L3.2	4.523406894325647
14957.CAGE78.MSPFHET.L3.1	4.86974365510077
14957.CAGE189.MSPFHET.L3.1	2.7148841934469834
14957.MOUSE25.CAGE79.MSPFWT.S8	4.139500402030044
14957.CAGE114.FSPFWT.L3.2	4.4150382015083665
14957.MOUSE28.CAGE80.MSFPWT.S8	3.0674823775734463
14957.CAGE98.FSPFWT.L3.2	5.375794302979377
14957.MOUSE46.CAGE98.FSPFWT.S5	4.335434540538672
14957.MOUSE20.CAGE78.MSPFHET.S8	5.193521181948635
14957.CAGE97.FSPFHET.L2.2	4.063381338786513
14957.CAGE114.FSPFWT.L2.1	4.280008194579161
14957.CAGE113.FSPFHET.L2.2	5.2335560120155575
14957.CAGE98.FSPFWT.L2.1	4.871451158841808
14957.CAGE80.MSPFWT.L5.2	3.4891094143514096
14957.MOUSE69.CAGE112.FSPFWT.S5	4.850451596742516
14957.MOUSE90.CAGE144.MSPFWT.S5	4.920740088127757
14957.MOUSE68.CAGE112.FSPFWT.S5	4.737635999042243
14957.CAGE175.MSPFHET.L4.1	5.30289014982691
14957.CAGE96.FSPFHET.L1.1	5.577221940853726
14957.CAGE162.FSPFWT.L7.2	4.8906366860452914
14957.MOUSE21.CAGE78.MSPFHET.S8	4.144811638074954
14957.CAGE78.MSPFHET.L6.1	4.727225794896206
14957.MOUSE33.CAGE96.FSPFHET.S5	5.069414333592749
14957.MOUSE37.CAGE97.FSPFHET.S5	5.462261721229621
14957.CAGE77.MSPFHET.L5.2	5.556004009961272
14957.MOUSE38.CAGE97.FSPFHET.S5	4.1762808891701315
14957.CAGE98.FSPFWT.L1.1	5.508218137181891
14957.MOUSE82.CAGE142.MSPFWT.S5	5.0366452887281925
14957.CAGE96.FSPFHET.L2.2	5.483181421688009
14957.CAGE112.FSPFWT.L2.1	5.312852510182811
14957.CAGE79.MSPFWT.L5.2	3.589909207502688
14957.MOUSE30.CAGE80.MSFPWT.S8	3.1850368580071935
14957.CAGE147.FSPFHET.L5.1	4.409385556184954
14957.CAGE98.FSPFWT.L1.2	5.139400552176736
14957.CAGE96.FSPFHET.L2.1	5.199256871122573
14957.CAGE79.MSPFWT.L5.1	3.686271401418589
14957.CAGE78.MSPFHET.L5.2	3.766221968676334
14957.MOUSE83.CAGE142.MSPFWT.S5	3.652488412393666
14957.MOUSE17.CAGE77.MSPFHET.S8	5.216525803132358
14957.MOUSE47.CAGE98.FSPFWT.S5	4.236824474077213
14957.MOUSE29.CAGE80.MSFPWT.S8	3.089241625833141
14957.CAGE97.FSPFHET.L2.1	4.200486500542149
14957.CAGE80.MSPFWT.L5.1	3.0848002764260456
14957.CAGE113.FSPFHET.L2.1	4.540735052337664
14957.MOUSE87.CAGE144.MSPFWT.S5	4.773531762084655
14957.CAGE112.FSPFWT.L2.2	5.080251675064235
14957.CAGE162.FSPFWT.L7.1	5.363438073879184
14957.MOUSE88.CAGE144.MSPFWT.S5	4.728699504274777
14957.MOUSE89.CAGE144.MSPFWT.S5	4.812129010764748
14957.CAGE113.FSPFHET.L3.1	4.274048808888705
14957.CAGE189.MSPFHET.L3.2	4.339351683201802
14957.CAGE114.FSPFWT.L3.1	5.088267389273426
14957.CAGE78.MSPFHET.L5.1	3.9800403002366567
14957.CAGE77.MSPFHET.L5.1	5.381674664548352
14957.MOUSE15.CAGE77.MSPFHET.S8	5.57037607489844
14957.CAGE97.FSPFHET.L1.1	5.614603879293795
14957.MOUSE26.CAGE79.MSPFWT.S8	2.6451992261678496
14957.CAGE97.FSPFHET.L3.1	5.382420296222396
14957.MOUSE75.CAGE114.FSPFWT.S5	3.6090291542559236
14957.MOUSE27.CAGE80.MSFPWT.S8	2.4807549432096927
14957.CAGE97.FSPFHET.L1.2	4.909043072453191
14957.CAGE98.FSPFWT.L3.1	5.328673560856915
14957.MOUSE45.CAGE98.FSPFWT.S5	4.9964670848252615
14957.CAGE136.MSPFWT.L5.2	5.135529811560568
14957.CAGE78.MSPFHET.L4.2	4.228657525606124
14957.CAGE154.FSPFHET.L5.1	2.4018649860184107
14957.CAGE150.FSPFHET.L7.2	4.821187183621028
14957.CAGE98.FSPFWT.L2.2	4.783484340597675
14957.MOUSE34.CAGE96.FSPFHET.S5	5.675452404152674
14957.CAGE114.FSPFWT.L2.2	4.474279934804173
14957.CAGE175.MSPFHET.L4.2	5.114954127883653
14957.MOUSE70.CAGE113.FSPFHET.S5	5.509980559735329
14957.MOUSE94.CAGE148.FSPFHET.S8	5.171842166850287
14957.CAGE112.FSPFWT.L3.1	4.280691081089313
14957.CAGE96.FSPFHET.L3.1	5.39709488175831
14957.MOUSE23.CAGE79.MSPFWT.S8	3.1779204533482566
14957.CAGE185.MSPFWT.L3.1	3.8089759902675944
14957.MOUSE71.CAGE113.FSPFHET.S5	4.919745637589753
14957.MOUSE35.CAGE97.FSPFHET.S5	3.9251000525901834
14957.CAGE96.FSPFHET.L1.2	5.557253161337833
14957.MOUSE72.CAGE113.FSPFHET.S5	4.431072606451925
14957.MOUSE95.CAGE148.FSPFHET.S8	5.109293178226072
14957.MOUSE96.CAGE148.FSPFHET.S8	5.309977148478796
14957.MOUSE24.CAGE79.MSPFWT.S8	3.0865891275923483
14957.MOUSE36.CAGE97.FSPFHET.S5	5.274235371244996
14957.CAGE185.MSPFWT.L3.2	3.462812072870387
14957.CAGE112.FSPFWT.L3.2	4.548135070376431
14957.MOUSE73.CAGE114.FSPFWT.S5	4.819997861384049
14957.MOUSE91.CAGE144.MSPFWT.S5	4.578057350931813
14957.MOUSE107.CAGE154.FSPFHET.S8	2.610576755135505
14957.CAGE184.MSPFHET.L2.1	3.7646764131795196
14957.CAGE148.FSPFHET.L7.1	5.193884109179936
14957.CAGE80.MSPFWT.L2.2	4.056629234117313
14957.CAGE147.FSPFHET.L2.1	4.582565041682008
14957.CAGE142.MSPFWT.L3.1	2.744148515961179
14957.CAGE136.MSPFWT.L5.1	5.276005186909125
14957.CAGE150.FSPFHET.L5.2	4.794177220806905
14957.CAGE80.MSPFWT.L4.1	3.5890554657907647
14957.CAGE151.MSPFWT.L5.1	5.249450667801275
14957.CAGE151.MSPFWT.L7.1	4.518631298746245
14957.CAGE79.MSPFWT.L3.1	4.337232185862555
14957.CAGE147.FSPFHET.L7.1	4.535430877323083
14957.CAGE80.MSPFWT.L4.2	3.5734082794226927
14957.CAGE136.MSPFWT.L4.1	5.0876725503691755
14957.CAGE148.FSPFHET.L7.2	5.121352682163195
14957.CAGE184.MSPFHET.L2.2	2.519729634312539
14957.CAGE142.MSPFWT.L2.2	3.022305897946488
14957.CAGE78.MSPFHET.L4.1	4.833910845161944
14957.CAGE189.MSPFHET.L2.2	3.15521512931071
14957.CAGE145.FSPFWT.L2.2	4.300309613901988
14957.CAGE147.FSPFHET.L2.2	5.093504582375569
14957.CAGE148.FSPFHET.L5.1	4.396598604186478
14957.CAGE189.MSPFHET.L4.2	2.8196410224038737
14957.CAGE173.MSPFWT.L4.2	3.557762372779004
14957.CAGE145.FSPFWT.L7.2	4.945392427698413
14957.CAGE162.FSPFWT.L4.2	3.4813607634749166
14957.CAGE162.FSPFWT.L4.1	3.634089561303432
14957.CAGE184.MSPFHET.L4.2	3.1416924954112266
14957.CAGE154.FSPFHET.L7.2	5.069931317494529
14957.CAGE185.MSPFWT.L2.2	3.4375693808769974
14957.MOUSE113.CAGE162.FSPFWT.S8	3.6302452127652436
14957.MOUSE108.CAGE173.MSPFWT.S8	4.383686395337634
14957.CAGE147.FSPFHET.L4.1	4.950757838040933
14957.CAGE144.MSPFWT.L2.2	3.9121841136837054
14957.CAGE145.FSPFWT.L2.1	4.859677718541617
14957.CAGE173.MSPFWT.L4.1	3.6395813967664123
14957.CAGE77.MSPFHET.L2.2	4.309043665436997
14957.CAGE77.MSPFHET.L4.2	5.553886601948838
14957.CAGE147.FSPFHET.L7.2	4.0298760759256655
14957.CAGE150.FSPFHET.L5.1	4.826748022983035
14957.CAGE185.MSPFWT.L2.1	3.0361489392890846
14957.CAGE79.MSPFWT.L4.1	4.626131280821674
14957.CAGE79.MSPFWT.L4.2	4.728901135391265
14957.CAGE145.FSPFWT.L7.1	5.241461747871107
14957.CAGE147.FSPFHET.L4.2	4.632388385918747
14957.CAGE147.FSPFHET.L1.2	5.195135471868156
14957.CAGE147.FSPFHET.L6.1	3.725124319555385
14957.CAGE150.FSPFHET.L7.1	5.457253419851096
14957.CAGE147.FSPFHET.L6.2	4.560717661573987
14957.CAGE77.MSPFHET.L2.1	5.022466982328913
14957.CAGE77.MSPFHET.L3.2	4.542431066982366
14957.CAGE78.MSPFHET.L2.2	4.912380417422355
14957.CAGE144.MSPFWT.L3.1	4.237355333721435
14957.MOUSE122.CAGE184.MSPFHETS5	2.959774226725746
14957.MOUSE104.CAGE136.MSPFWT.S8	3.757304484889207
14957.MOUSE139.CAGE145.FSPFWT.S8	4.235405958173677
14957.MOUSE124.CAGE185.MSPFWT.S5	3.019171381834014
14957.CAGE154.FSPFHET.L5.2	1.9685915650048456
14957.CAGE162.FSPFWT.L6.1	3.399621244793999
14957.CAGE185.MSPFWT.L4.1	3.335724941305128
14957.CAGE144.MSPFWT.L3.2	4.420200415536378
14957.CAGE80.MSPFWT.L3.2	3.818852721770183
14957.CAGE144.MSPFWT.L2.1	3.5664068620327845
14957.CAGE145.FSPFWT.L3.2	4.87938929174756
14957.CAGE145.FSPFWT.L5.2	4.047696317311332
14957.CAGE136.MSPFWT.L7.1	5.367009167699937
14957.CAGE185.MSPFWT.L4.2	3.7994329248877423
14957.CAGE162.FSPFWT.L6.2	4.359950896601541
14957.CAGE136.MSPFWT.L4.2	4.753968752573562
14957.CAGE151.MSPFWT.L7.2	4.670683915289385
14957.CAGE184.MSPFHET.L4.1	3.403955127838278
14957.CAGE77.MSPFHET.L3.1	5.341206475858738
14957.MOUSE103.CAGE136.MSPFWT.S8	5.130916495191227
14957.CAGE189.MSPFHET.L2.1	3.0738369419460168
14957.CAGE80.MSPFWT.L3.1	4.018847662052709
14957.MOUSE114.CAGE162.FSPFWT.S8	4.65709930168845
14957.MOUSE100.CAGE151.MSPFWT.S8	5.119902392952899
14957.MOUSE115.CAGE175.MSPFHET.S5	2.6678661681788225
14957.MOUSE135.CAGE145.FSPFWT.S8	3.4248989242615315
14957.MOUSE136.CAGE145.FSPFWT.S8	2.873526829965039
14957.MOUSE98.CAGE150.FSPFHET.S8	4.605133181938304
14957.MOUSE116.CAGE175.MSPFHET.S5	4.7199202241893925
14957.MOUSE137.CAGE145.FSPFWT.S8	2.035878113383158
14957.MOUSE121.CAGE184.MSPFHETS5	3.041313984636582
14957.MOUSE138.CAGE145.FSPFWT.S8	3.07739025429612
14957.CAGE151.MSPFWT.L5.2	4.326752939108834
14957.CAGE142.MSPFWT.L3.2	2.6782042989147055
14957.CAGE154.FSPFHET.L7.1	5.103850965462355
14957.CAGE142.MSPFWT.L2.1	4.017494707630442
14957.CAGE78.MSPFHET.L2.1	5.015921127891675
14957.CAGE79.MSPFWT.L3.2	3.9089871780467926
14957.MOUSE131.CAGE189.MSPFHET.S5	2.9642766875872293
14957.MOUSE109.CAGE173.MSPFWT.S8	4.4676106833518245
14957.MOUSE97.CAGE150.FSPFHET.S8	5.176292395707071
14957.MOUSE132.CAGE189.MSPFHET.S5	5.268057283330386
14957.CAGE148.FSPFHET.L5.2	5.630540711530215
14957.CAGE145.FSPFWT.L5.1	3.920729900730399
14957.CAGE136.MSPFWT.L7.2	5.457460818411648
14957.CAGE145.FSPFWT.L3.1	4.845912751773327
14957.CAGE79.MSPFWT.L2.1	5.474761751310526
14957.CAGE77.MSPFHET.L4.1	5.15190929615949
14957.MOUSE106.CAGE154.FSPFHET.S8	2.294302568271156
14957.MOUSE130.CAGE189.MSPFHET.S5	3.1583004421434793
14957.MOUSE126.CAGE185.MSPFWT.S5	4.613729940908506
14957.MOUSE125.CAGE185.MSPFWT.S5	2.725400034280601
