bitscore,evalue,gapopen,identification,length,mismatch,pident,qend,qlen,qseqid,qstart,qtitle,send,slen,sseqid,sstart,stitle
25.0,6.03e-05,0,363131347,21,9,57.1,94,151,A00953:711:H3W2YDSX7:4:1163:25093:6308,32,A00953:711:H3W2YDSX7:4:1163:25093:6308,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131347,21,9,57.1,100,151,A00953:711:H3W2YDSX7:4:1173:10348:11021,38,A00953:711:H3W2YDSX7:4:1173:10348:11021,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363131347,21,9,57.1,140,151,A00953:711:H3W2YDSX7:4:1229:18611:34820,78,A00953:711:H3W2YDSX7:4:1229:18611:34820,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,4e-05,0,363131347,21,9,57.1,109,125,A00953:711:H3W2YDSX7:4:1375:21106:29997,47,A00953:711:H3W2YDSX7:4:1375:21106:29997,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363131347,21,9,57.1,91,151,A00953:711:H3W2YDSX7:4:1423:15989:25895,29,A00953:711:H3W2YDSX7:4:1423:15989:25895,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363131347,21,9,57.1,39,151,A00953:711:H3W2YDSX7:4:1430:13512:27774,101,A00953:711:H3W2YDSX7:4:1430:13512:27774,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363131347,21,9,57.1,89,151,A00953:711:H3W2YDSX7:4:1446:14262:21433,27,A00953:711:H3W2YDSX7:4:1446:14262:21433,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131347,21,9,57.1,58,151,A00953:711:H3W2YDSX7:4:1530:9679:31939,120,A00953:711:H3W2YDSX7:4:1530:9679:31939,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363131347,21,9,57.1,11,151,A00953:711:H3W2YDSX7:4:1562:2347:24032,73,A00953:711:H3W2YDSX7:4:1562:2347:24032,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131347,21,9,57.1,103,151,A00953:711:H3W2YDSX7:4:1610:23936:29888,41,A00953:711:H3W2YDSX7:4:1610:23936:29888,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363131347,21,9,57.1,56,151,A00953:711:H3W2YDSX7:4:1673:25861:31156,118,A00953:711:H3W2YDSX7:4:1673:25861:31156,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131347,21,9,57.1,49,151,A00953:711:H3W2YDSX7:4:2277:2944:29418,111,A00953:711:H3W2YDSX7:4:2277:2944:29418,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131347,21,9,57.1,120,151,A00953:711:H3W2YDSX7:4:2336:5430:22169,58,A00953:711:H3W2YDSX7:4:2336:5430:22169,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.8,3.18e-05,0,363131347,21,9,57.1,26,151,A00953:711:H3W2YDSX7:4:2437:8296:7592,88,A00953:711:H3W2YDSX7:4:2437:8296:7592,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363131347,21,9,57.1,140,151,A00953:711:H3W2YDSX7:4:2539:25075:4147,78,A00953:711:H3W2YDSX7:4:2539:25075:4147,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363131347,21,9,57.1,80,151,A00953:711:H3W2YDSX7:4:2557:19090:11068,142,A00953:711:H3W2YDSX7:4:2557:19090:11068,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363131347,21,9,57.1,87,151,A00953:711:H3W2YDSX7:4:2632:14479:3239,25,A00953:711:H3W2YDSX7:4:2632:14479:3239,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,4e-05,0,363131347,21,9,57.1,17,125,A00953:711:H3W2YDSX7:4:1375:21106:29997,79,A00953:711:H3W2YDSX7:4:1375:21106:29997,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
24.6,8.3e-05,0,363131347,21,9,57.1,64,151,A00953:711:H3W2YDSX7:4:1423:15989:25895,126,A00953:711:H3W2YDSX7:4:1423:15989:25895,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
